1 saved {'val_OrigRecLoss': 0.0117, 'val_FeatRecLoss': 0.00212, 'val_kl_Loss_Z': 1.22504, 'val_kl_Loss_FC': 0.00352, 'val_kl_Loss_TC': 0.0016, 'val_kl_Loss_DTC': 0.13899}
2 saved {'val_OrigRecLoss': 0.01152, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 0.65159, 'val_kl_Loss_FC': 0.00737, 'val_kl_Loss_TC': 0.00431, 'val_kl_Loss_DTC': 0.02318}
3 not saved {'val_OrigRecLoss': 0.01153, 'val_FeatRecLoss': 0.00202, 'val_kl_Loss_Z': 0.41285, 'val_kl_Loss_FC': 0.00317, 'val_kl_Loss_TC': 0.0025, 'val_kl_Loss_DTC': 0.00982}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00203, 'val_kl_Loss_Z': 0.38904, 'val_kl_Loss_FC': 0.00203, 'val_kl_Loss_TC': 0.00292, 'val_kl_Loss_DTC': 0.00158}
5 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_Z': 0.41842, 'val_kl_Loss_FC': 0.00697, 'val_kl_Loss_TC': 0.00278, 'val_kl_Loss_DTC': 0.00732}
6 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 0.38006, 'val_kl_Loss_FC': 0.0043, 'val_kl_Loss_TC': 0.00099, 'val_kl_Loss_DTC': 0.0018}
7 not saved {'val_OrigRecLoss': 0.01151, 'val_FeatRecLoss': 0.00157, 'val_kl_Loss_Z': 0.80669, 'val_kl_Loss_FC': 0.01812, 'val_kl_Loss_TC': 0.00231, 'val_kl_Loss_DTC': 0.02099}
8 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 0.4438, 'val_kl_Loss_FC': 0.00355, 'val_kl_Loss_TC': 0.00091, 'val_kl_Loss_DTC': 0.01401}
9 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.0013, 'val_kl_Loss_Z': 0.6061, 'val_kl_Loss_FC': 0.03134, 'val_kl_Loss_TC': 0.0028, 'val_kl_Loss_DTC': 0.00072}
10 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00151, 'val_kl_Loss_Z': 0.5259, 'val_kl_Loss_FC': 0.01885, 'val_kl_Loss_TC': 0.00246, 'val_kl_Loss_DTC': 0.00425}
11 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 0.36215, 'val_kl_Loss_FC': 0.00452, 'val_kl_Loss_TC': 0.00159, 'val_kl_Loss_DTC': 0.00904}
12 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00179, 'val_kl_Loss_Z': 0.38075, 'val_kl_Loss_FC': 0.0066, 'val_kl_Loss_TC': 0.00075, 'val_kl_Loss_DTC': 0.00316}
13 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00104, 'val_kl_Loss_Z': 0.69484, 'val_kl_Loss_FC': 0.04943, 'val_kl_Loss_TC': 0.0003, 'val_kl_Loss_DTC': 0.00149}
14 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00085, 'val_kl_Loss_Z': 0.67287, 'val_kl_Loss_FC': 0.06542, 'val_kl_Loss_TC': 0.00059, 'val_kl_Loss_DTC': 0.00233}
15 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.0016, 'val_kl_Loss_Z': 0.45324, 'val_kl_Loss_FC': 0.01441, 'val_kl_Loss_TC': 0.00023, 'val_kl_Loss_DTC': 0.00109}
16 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 0.64235, 'val_kl_Loss_FC': 0.07557, 'val_kl_Loss_TC': 0.00128, 'val_kl_Loss_DTC': 0.00222}
17 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00188, 'val_kl_Loss_Z': 0.36198, 'val_kl_Loss_FC': 0.00483, 'val_kl_Loss_TC': 0.00285, 'val_kl_Loss_DTC': 0.00429}
18 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00188, 'val_kl_Loss_Z': 0.32537, 'val_kl_Loss_FC': 0.00469, 'val_kl_Loss_TC': 0.00103, 'val_kl_Loss_DTC': 0.00403}
19 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 0.41444, 'val_kl_Loss_FC': 0.02338, 'val_kl_Loss_TC': 0.0011, 'val_kl_Loss_DTC': 0.0011}
20 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00167, 'val_kl_Loss_Z': 0.33345, 'val_kl_Loss_FC': 0.01091, 'val_kl_Loss_TC': 0.00067, 'val_kl_Loss_DTC': 0.00235}
21 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00111, 'val_kl_Loss_Z': 0.43839, 'val_kl_Loss_FC': 0.04184, 'val_kl_Loss_TC': 0.00169, 'val_kl_Loss_DTC': 0.00128}
22 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00186, 'val_kl_Loss_Z': 0.27425, 'val_kl_Loss_FC': 0.00515, 'val_kl_Loss_TC': 0.0008, 'val_kl_Loss_DTC': 0.0081}
23 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.0012, 'val_kl_Loss_Z': 0.41855, 'val_kl_Loss_FC': 0.03553, 'val_kl_Loss_TC': 0.00057, 'val_kl_Loss_DTC': 0.001}
24 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 0.38528, 'val_kl_Loss_FC': 0.03243, 'val_kl_Loss_TC': 0.00195, 'val_kl_Loss_DTC': 0.00148}
25 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00188, 'val_kl_Loss_Z': 0.25927, 'val_kl_Loss_FC': 0.00456, 'val_kl_Loss_TC': 0.00083, 'val_kl_Loss_DTC': 0.00984}
26 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00122, 'val_kl_Loss_Z': 0.38098, 'val_kl_Loss_FC': 0.03447, 'val_kl_Loss_TC': 0.00012, 'val_kl_Loss_DTC': 0.00165}
27 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00085, 'val_kl_Loss_Z': 0.49612, 'val_kl_Loss_FC': 0.06627, 'val_kl_Loss_TC': 0.00045, 'val_kl_Loss_DTC': 0.00355}
28 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00142, 'val_kl_Loss_Z': 0.35948, 'val_kl_Loss_FC': 0.0225, 'val_kl_Loss_TC': 8e-05, 'val_kl_Loss_DTC': 0.00161}
29 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_Z': 0.45266, 'val_kl_Loss_FC': 0.07321, 'val_kl_Loss_TC': 0.00051, 'val_kl_Loss_DTC': 0.00146}
30 saved {'val_OrigRecLoss': 0.01136, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.32053, 'val_kl_Loss_FC': 0.01722, 'val_kl_Loss_TC': 0.0009, 'val_kl_Loss_DTC': 0.00174}
31 saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.3134, 'val_kl_Loss_FC': 0.01923, 'val_kl_Loss_TC': 0.00035, 'val_kl_Loss_DTC': 0.0015}
