1 saved {'val_OrigRecLoss': 0.01178, 'val_FeatRecLoss': 0.00177, 'val_kl_Loss_Z': 0.56666, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 0.00052, 'val_kl_Loss_DTC': 0.13435}
2 saved {'val_OrigRecLoss': 0.01154, 'val_FeatRecLoss': 0.00109, 'val_kl_Loss_Z': 0.8691, 'val_kl_Loss_FC': 0.04434, 'val_kl_Loss_TC': 0.00347, 'val_kl_Loss_DTC': 0.04908}
3 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00169, 'val_kl_Loss_Z': 0.37387, 'val_kl_Loss_FC': 0.00143, 'val_kl_Loss_TC': 0.00179, 'val_kl_Loss_DTC': 0.03229}
4 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00159, 'val_kl_Loss_Z': 0.30973, 'val_kl_Loss_FC': 0.00409, 'val_kl_Loss_TC': 0.00035, 'val_kl_Loss_DTC': 0.01687}
5 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00122, 'val_kl_Loss_Z': 0.4392, 'val_kl_Loss_FC': 0.02807, 'val_kl_Loss_TC': 0.00029, 'val_kl_Loss_DTC': 0.00219}
6 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.40678, 'val_kl_Loss_FC': 0.03122, 'val_kl_Loss_TC': 0.00192, 'val_kl_Loss_DTC': 0.00085}
7 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00158, 'val_kl_Loss_Z': 0.24761, 'val_kl_Loss_FC': 0.00436, 'val_kl_Loss_TC': 0.00126, 'val_kl_Loss_DTC': 0.01179}
8 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 0.23937, 'val_kl_Loss_FC': 0.00279, 'val_kl_Loss_TC': 0.00323, 'val_kl_Loss_DTC': 0.00396}
9 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00167, 'val_kl_Loss_Z': 0.19747, 'val_kl_Loss_FC': 0.00062, 'val_kl_Loss_TC': 0.00106, 'val_kl_Loss_DTC': 0.00969}
10 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.30836, 'val_kl_Loss_FC': 0.03141, 'val_kl_Loss_TC': 0.00035, 'val_kl_Loss_DTC': 0.00088}
11 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00107, 'val_kl_Loss_Z': 0.43988, 'val_kl_Loss_FC': 0.03341, 'val_kl_Loss_TC': 0.00108, 'val_kl_Loss_DTC': 0.00325}
12 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 0.22293, 'val_kl_Loss_FC': 0.00156, 'val_kl_Loss_TC': 0.0017, 'val_kl_Loss_DTC': 0.00656}
13 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.2141, 'val_kl_Loss_FC': 0.0037, 'val_kl_Loss_TC': 0.00198, 'val_kl_Loss_DTC': 0.00668}
14 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 0.18693, 'val_kl_Loss_FC': 0.00063, 'val_kl_Loss_TC': 0.00084, 'val_kl_Loss_DTC': 0.00581}
15 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.0011, 'val_kl_Loss_Z': 0.36243, 'val_kl_Loss_FC': 0.02965, 'val_kl_Loss_TC': 0.00108, 'val_kl_Loss_DTC': 0.0018}
16 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 0.20606, 'val_kl_Loss_FC': 0.00098, 'val_kl_Loss_TC': 0.00065, 'val_kl_Loss_DTC': 0.00435}
17 saved {'val_OrigRecLoss': 0.01132, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_Z': 0.2903, 'val_kl_Loss_FC': 0.02169, 'val_kl_Loss_TC': 0.00059, 'val_kl_Loss_DTC': 0.00159}
18 saved {'val_OrigRecLoss': 0.0113, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 0.25124, 'val_kl_Loss_FC': 0.01323, 'val_kl_Loss_TC': 0.00019, 'val_kl_Loss_DTC': 0.00142}
19 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.00101, 'val_kl_Loss_Z': 0.30125, 'val_kl_Loss_FC': 0.03621, 'val_kl_Loss_TC': 0.00219, 'val_kl_Loss_DTC': 0.0011}
20 saved {'val_OrigRecLoss': 0.01123, 'val_FeatRecLoss': 0.00169, 'val_kl_Loss_Z': 0.16015, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00132, 'val_kl_Loss_DTC': 0.01313}
21 saved {'val_OrigRecLoss': 0.0112, 'val_FeatRecLoss': 0.00095, 'val_kl_Loss_Z': 0.69697, 'val_kl_Loss_FC': 0.04549, 'val_kl_Loss_TC': 0.00084, 'val_kl_Loss_DTC': 0.0027}
22 saved {'val_OrigRecLoss': 0.01104, 'val_FeatRecLoss': 0.0017, 'val_kl_Loss_Z': 0.26868, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00083, 'val_kl_Loss_DTC': 0.00491}
23 saved {'val_OrigRecLoss': 0.01076, 'val_FeatRecLoss': 0.00107, 'val_kl_Loss_Z': 0.54102, 'val_kl_Loss_FC': 0.03756, 'val_kl_Loss_TC': 0.002, 'val_kl_Loss_DTC': 0.00088}
24 saved {'val_OrigRecLoss': 0.01005, 'val_FeatRecLoss': 0.00164, 'val_kl_Loss_Z': 0.24122, 'val_kl_Loss_FC': 0.00185, 'val_kl_Loss_TC': 0.00034, 'val_kl_Loss_DTC': 0.00589}
25 saved {'val_OrigRecLoss': 0.00894, 'val_FeatRecLoss': 0.00132, 'val_kl_Loss_Z': 0.43429, 'val_kl_Loss_FC': 0.02246, 'val_kl_Loss_TC': 0.00109, 'val_kl_Loss_DTC': 0.0015}
26 saved {'val_OrigRecLoss': 0.00642, 'val_FeatRecLoss': 0.00175, 'val_kl_Loss_Z': 0.28346, 'val_kl_Loss_FC': 0.02385, 'val_kl_Loss_TC': 0.00015, 'val_kl_Loss_DTC': 0.00707}
27 saved {'val_OrigRecLoss': 0.00516, 'val_FeatRecLoss': 0.0012, 'val_kl_Loss_Z': 0.5197, 'val_kl_Loss_FC': 0.07305, 'val_kl_Loss_TC': 0.00049, 'val_kl_Loss_DTC': 0.00158}
28 saved {'val_OrigRecLoss': 0.00465, 'val_FeatRecLoss': 0.00138, 'val_kl_Loss_Z': 0.38097, 'val_kl_Loss_FC': 0.0473, 'val_kl_Loss_TC': 0.00168, 'val_kl_Loss_DTC': 0.00097}
29 saved {'val_OrigRecLoss': 0.00422, 'val_FeatRecLoss': 0.00163, 'val_kl_Loss_Z': 0.2647, 'val_kl_Loss_FC': 0.03177, 'val_kl_Loss_TC': 0.00027, 'val_kl_Loss_DTC': 0.00596}
30 saved {'val_OrigRecLoss': 0.00356, 'val_FeatRecLoss': 0.00091, 'val_kl_Loss_Z': 0.41321, 'val_kl_Loss_FC': 0.13401, 'val_kl_Loss_TC': 0.00027, 'val_kl_Loss_DTC': 0.00288}
31 not saved {'val_OrigRecLoss': 0.00364, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.35965, 'val_kl_Loss_FC': 0.07491, 'val_kl_Loss_TC': 0.00011, 'val_kl_Loss_DTC': 0.0013}
32 saved {'val_OrigRecLoss': 0.00337, 'val_FeatRecLoss': 0.00106, 'val_kl_Loss_Z': 0.36225, 'val_kl_Loss_FC': 0.09241, 'val_kl_Loss_TC': 0.00025, 'val_kl_Loss_DTC': 0.0022}
33 saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00107, 'val_kl_Loss_Z': 0.35736, 'val_kl_Loss_FC': 0.08851, 'val_kl_Loss_TC': 0.00015, 'val_kl_Loss_DTC': 0.00139}
34 saved {'val_OrigRecLoss': 0.00286, 'val_FeatRecLoss': 0.00095, 'val_kl_Loss_Z': 0.34088, 'val_kl_Loss_FC': 0.11863, 'val_kl_Loss_TC': 0.00015, 'val_kl_Loss_DTC': 0.00283}
35 saved {'val_OrigRecLoss': 0.00282, 'val_FeatRecLoss': 0.001, 'val_kl_Loss_Z': 0.34416, 'val_kl_Loss_FC': 0.10171, 'val_kl_Loss_TC': 0.00017, 'val_kl_Loss_DTC': 0.00248}
36 not saved {'val_OrigRecLoss': 0.00284, 'val_FeatRecLoss': 0.00106, 'val_kl_Loss_Z': 0.32585, 'val_kl_Loss_FC': 0.08786, 'val_kl_Loss_TC': 0.00026, 'val_kl_Loss_DTC': 0.00578}
37 saved {'val_OrigRecLoss': 0.00274, 'val_FeatRecLoss': 0.00105, 'val_kl_Loss_Z': 0.34857, 'val_kl_Loss_FC': 0.08093, 'val_kl_Loss_TC': 0.00118, 'val_kl_Loss_DTC': 0.00092}
38 not saved {'val_OrigRecLoss': 0.00291, 'val_FeatRecLoss': 0.00165, 'val_kl_Loss_Z': 0.21253, 'val_kl_Loss_FC': 0.01784, 'val_kl_Loss_TC': 0.00094, 'val_kl_Loss_DTC': 0.01028}
