1 saved {'val_OrigRecLoss': 0.01163, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.97306, 'val_kl_Loss_FC': 0.0122}
2 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00174, 'val_kl_Loss_Z': 0.48859, 'val_kl_Loss_FC': 0.01689}
3 not saved {'val_OrigRecLoss': 0.01151, 'val_FeatRecLoss': 0.00171, 'val_kl_Loss_Z': 0.39852, 'val_kl_Loss_FC': 0.01634}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00167, 'val_kl_Loss_Z': 0.34721, 'val_kl_Loss_FC': 0.01855}
5 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 0.44975, 'val_kl_Loss_FC': 0.01973}
6 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.39229, 'val_kl_Loss_FC': 0.02201}
7 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.33061, 'val_kl_Loss_FC': 0.01897}
8 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00151, 'val_kl_Loss_Z': 0.3126, 'val_kl_Loss_FC': 0.0192}
9 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.29468, 'val_kl_Loss_FC': 0.01962}
10 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00139, 'val_kl_Loss_Z': 0.28371, 'val_kl_Loss_FC': 0.02536}
11 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 0.28391, 'val_kl_Loss_FC': 0.02293}
12 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 0.27031, 'val_kl_Loss_FC': 0.01459}
13 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.25806, 'val_kl_Loss_FC': 0.01769}
14 saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 0.24423, 'val_kl_Loss_FC': 0.02326}
15 saved {'val_OrigRecLoss': 0.01134, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 0.23567, 'val_kl_Loss_FC': 0.02151}
16 saved {'val_OrigRecLoss': 0.01132, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 0.23533, 'val_kl_Loss_FC': 0.02129}
17 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.00151, 'val_kl_Loss_Z': 0.22733, 'val_kl_Loss_FC': 0.01892}
18 saved {'val_OrigRecLoss': 0.01127, 'val_FeatRecLoss': 0.00144, 'val_kl_Loss_Z': 0.22251, 'val_kl_Loss_FC': 0.02237}
19 saved {'val_OrigRecLoss': 0.01124, 'val_FeatRecLoss': 0.00139, 'val_kl_Loss_Z': 0.2168, 'val_kl_Loss_FC': 0.02502}
20 saved {'val_OrigRecLoss': 0.01119, 'val_FeatRecLoss': 0.00151, 'val_kl_Loss_Z': 0.21816, 'val_kl_Loss_FC': 0.01878}
21 saved {'val_OrigRecLoss': 0.01112, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.21246, 'val_kl_Loss_FC': 0.02061}
22 saved {'val_OrigRecLoss': 0.01099, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 0.21414, 'val_kl_Loss_FC': 0.01862}
23 saved {'val_OrigRecLoss': 0.0108, 'val_FeatRecLoss': 0.0017, 'val_kl_Loss_Z': 0.20963, 'val_kl_Loss_FC': 0.01352}
24 saved {'val_OrigRecLoss': 0.01047, 'val_FeatRecLoss': 0.00171, 'val_kl_Loss_Z': 0.21139, 'val_kl_Loss_FC': 0.01471}
25 saved {'val_OrigRecLoss': 0.00993, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 0.21618, 'val_kl_Loss_FC': 0.01081}
26 saved {'val_OrigRecLoss': 0.00925, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 0.22626, 'val_kl_Loss_FC': 0.01553}
27 saved {'val_OrigRecLoss': 0.00872, 'val_FeatRecLoss': 0.00226, 'val_kl_Loss_Z': 0.22133, 'val_kl_Loss_FC': 0.00763}
28 saved {'val_OrigRecLoss': 0.00816, 'val_FeatRecLoss': 0.00213, 'val_kl_Loss_Z': 0.25735, 'val_kl_Loss_FC': 0.0143}
29 saved {'val_OrigRecLoss': 0.00776, 'val_FeatRecLoss': 0.0022, 'val_kl_Loss_Z': 0.21118, 'val_kl_Loss_FC': 0.01382}
30 saved {'val_OrigRecLoss': 0.00718, 'val_FeatRecLoss': 0.00243, 'val_kl_Loss_Z': 0.20517, 'val_kl_Loss_FC': 0.01323}
31 saved {'val_OrigRecLoss': 0.00676, 'val_FeatRecLoss': 0.00246, 'val_kl_Loss_Z': 0.18591, 'val_kl_Loss_FC': 0.00923}
32 saved {'val_OrigRecLoss': 0.0065, 'val_FeatRecLoss': 0.00228, 'val_kl_Loss_Z': 0.19985, 'val_kl_Loss_FC': 0.01257}
33 saved {'val_OrigRecLoss': 0.00602, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 0.18735, 'val_kl_Loss_FC': 0.01253}
34 saved {'val_OrigRecLoss': 0.00581, 'val_FeatRecLoss': 0.0024, 'val_kl_Loss_Z': 0.1742, 'val_kl_Loss_FC': 0.01209}
35 saved {'val_OrigRecLoss': 0.00559, 'val_FeatRecLoss': 0.00237, 'val_kl_Loss_Z': 0.19027, 'val_kl_Loss_FC': 0.01131}
36 not saved {'val_OrigRecLoss': 0.00562, 'val_FeatRecLoss': 0.00232, 'val_kl_Loss_Z': 0.17538, 'val_kl_Loss_FC': 0.01034}
37 saved {'val_OrigRecLoss': 0.00531, 'val_FeatRecLoss': 0.00229, 'val_kl_Loss_Z': 0.18489, 'val_kl_Loss_FC': 0.01369}
38 saved {'val_OrigRecLoss': 0.0051, 'val_FeatRecLoss': 0.00234, 'val_kl_Loss_Z': 0.16183, 'val_kl_Loss_FC': 0.00881}
39 saved {'val_OrigRecLoss': 0.00493, 'val_FeatRecLoss': 0.00234, 'val_kl_Loss_Z': 0.17953, 'val_kl_Loss_FC': 0.00867}
40 saved {'val_OrigRecLoss': 0.00491, 'val_FeatRecLoss': 0.00212, 'val_kl_Loss_Z': 0.17636, 'val_kl_Loss_FC': 0.01581}
41 saved {'val_OrigRecLoss': 0.00479, 'val_FeatRecLoss': 0.00226, 'val_kl_Loss_Z': 0.16879, 'val_kl_Loss_FC': 0.01123}
42 saved {'val_OrigRecLoss': 0.00462, 'val_FeatRecLoss': 0.00219, 'val_kl_Loss_Z': 0.17052, 'val_kl_Loss_FC': 0.01109}
43 saved {'val_OrigRecLoss': 0.00459, 'val_FeatRecLoss': 0.00217, 'val_kl_Loss_Z': 0.17146, 'val_kl_Loss_FC': 0.01146}
44 saved {'val_OrigRecLoss': 0.00445, 'val_FeatRecLoss': 0.00218, 'val_kl_Loss_Z': 0.16429, 'val_kl_Loss_FC': 0.01094}
45 saved {'val_OrigRecLoss': 0.00441, 'val_FeatRecLoss': 0.00211, 'val_kl_Loss_Z': 0.17336, 'val_kl_Loss_FC': 0.01144}
46 saved {'val_OrigRecLoss': 0.0044, 'val_FeatRecLoss': 0.0021, 'val_kl_Loss_Z': 0.14729, 'val_kl_Loss_FC': 0.00883}
47 saved {'val_OrigRecLoss': 0.00433, 'val_FeatRecLoss': 0.00205, 'val_kl_Loss_Z': 0.16044, 'val_kl_Loss_FC': 0.01207}
48 saved {'val_OrigRecLoss': 0.00415, 'val_FeatRecLoss': 0.00219, 'val_kl_Loss_Z': 0.15797, 'val_kl_Loss_FC': 0.01065}
49 not saved {'val_OrigRecLoss': 0.00417, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_Z': 0.16625, 'val_kl_Loss_FC': 0.01127}
50 saved {'val_OrigRecLoss': 0.00403, 'val_FeatRecLoss': 0.00219, 'val_kl_Loss_Z': 0.16679, 'val_kl_Loss_FC': 0.00718}
51 not saved {'val_OrigRecLoss': 0.00405, 'val_FeatRecLoss': 0.00214, 'val_kl_Loss_Z': 0.16432, 'val_kl_Loss_FC': 0.00741}
52 not saved {'val_OrigRecLoss': 0.00404, 'val_FeatRecLoss': 0.00209, 'val_kl_Loss_Z': 0.14118, 'val_kl_Loss_FC': 0.0053}
53 saved {'val_OrigRecLoss': 0.00401, 'val_FeatRecLoss': 0.00209, 'val_kl_Loss_Z': 0.14171, 'val_kl_Loss_FC': 0.0071}
54 saved {'val_OrigRecLoss': 0.00391, 'val_FeatRecLoss': 0.00212, 'val_kl_Loss_Z': 0.15651, 'val_kl_Loss_FC': 0.00553}
55 not saved {'val_OrigRecLoss': 0.00392, 'val_FeatRecLoss': 0.00208, 'val_kl_Loss_Z': 0.1524, 'val_kl_Loss_FC': 0.00488}
56 saved {'val_OrigRecLoss': 0.00382, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.16324, 'val_kl_Loss_FC': 0.00679}
57 saved {'val_OrigRecLoss': 0.00381, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.16446, 'val_kl_Loss_FC': 0.00643}
58 saved {'val_OrigRecLoss': 0.0037, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.1419, 'val_kl_Loss_FC': 0.00626}
59 saved {'val_OrigRecLoss': 0.0037, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.15169, 'val_kl_Loss_FC': 0.00512}
60 saved {'val_OrigRecLoss': 0.00361, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.14787, 'val_kl_Loss_FC': 0.00434}
61 not saved {'val_OrigRecLoss': 0.00367, 'val_FeatRecLoss': 0.00208, 'val_kl_Loss_Z': 0.14799, 'val_kl_Loss_FC': 0.00179}
62 not saved {'val_OrigRecLoss': 0.00379, 'val_FeatRecLoss': 0.00173, 'val_kl_Loss_Z': 0.17016, 'val_kl_Loss_FC': 0.01379}
63 saved {'val_OrigRecLoss': 0.00349, 'val_FeatRecLoss': 0.00207, 'val_kl_Loss_Z': 0.14082, 'val_kl_Loss_FC': 0.00308}
64 saved {'val_OrigRecLoss': 0.00345, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_Z': 0.13713, 'val_kl_Loss_FC': 0.00524}
65 saved {'val_OrigRecLoss': 0.00343, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.14972, 'val_kl_Loss_FC': 0.00396}
66 saved {'val_OrigRecLoss': 0.00341, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.16662, 'val_kl_Loss_FC': 0.00268}
67 saved {'val_OrigRecLoss': 0.0034, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_Z': 0.14406, 'val_kl_Loss_FC': 0.00782}
68 not saved {'val_OrigRecLoss': 0.0034, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_Z': 0.14552, 'val_kl_Loss_FC': 0.00526}
69 not saved {'val_OrigRecLoss': 0.00343, 'val_FeatRecLoss': 0.00179, 'val_kl_Loss_Z': 0.14258, 'val_kl_Loss_FC': 0.00824}
70 saved {'val_OrigRecLoss': 0.00332, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.15168, 'val_kl_Loss_FC': 0.00361}
71 saved {'val_OrigRecLoss': 0.00327, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_Z': 0.13719, 'val_kl_Loss_FC': 0.00751}
72 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 0.13377, 'val_kl_Loss_FC': 0.00523}
73 not saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_Z': 0.12901, 'val_kl_Loss_FC': 0.00711}
74 saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.14371, 'val_kl_Loss_FC': 0.00359}
75 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_Z': 0.13094, 'val_kl_Loss_FC': 0.00745}
76 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_Z': 0.1405, 'val_kl_Loss_FC': 0.00638}
77 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_Z': 0.12951, 'val_kl_Loss_FC': 0.00771}
78 saved {'val_OrigRecLoss': 0.00301, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_Z': 0.13795, 'val_kl_Loss_FC': 0.00684}
79 not saved {'val_OrigRecLoss': 0.00308, 'val_FeatRecLoss': 0.00177, 'val_kl_Loss_Z': 0.14157, 'val_kl_Loss_FC': 0.00856}
80 not saved {'val_OrigRecLoss': 0.00301, 'val_FeatRecLoss': 0.00178, 'val_kl_Loss_Z': 0.13426, 'val_kl_Loss_FC': 0.00919}
81 not saved {'val_OrigRecLoss': 0.00305, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_Z': 0.1374, 'val_kl_Loss_FC': 0.00725}
82 saved {'val_OrigRecLoss': 0.00299, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 0.13204, 'val_kl_Loss_FC': 0.0057}
83 saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.00178, 'val_kl_Loss_Z': 0.12801, 'val_kl_Loss_FC': 0.00911}
84 not saved {'val_OrigRecLoss': 0.00295, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_Z': 0.12925, 'val_kl_Loss_FC': 0.00749}
85 saved {'val_OrigRecLoss': 0.00287, 'val_FeatRecLoss': 0.00188, 'val_kl_Loss_Z': 0.12892, 'val_kl_Loss_FC': 0.00602}
86 not saved {'val_OrigRecLoss': 0.00288, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_Z': 0.12913, 'val_kl_Loss_FC': 0.00735}
87 saved {'val_OrigRecLoss': 0.00284, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_Z': 0.13013, 'val_kl_Loss_FC': 0.0069}
88 saved {'val_OrigRecLoss': 0.0028, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_Z': 0.14422, 'val_kl_Loss_FC': 0.00661}
89 saved {'val_OrigRecLoss': 0.00279, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_Z': 0.13363, 'val_kl_Loss_FC': 0.00662}
90 not saved {'val_OrigRecLoss': 0.00282, 'val_FeatRecLoss': 0.00173, 'val_kl_Loss_Z': 0.1389, 'val_kl_Loss_FC': 0.01024}
91 not saved {'val_OrigRecLoss': 0.00281, 'val_FeatRecLoss': 0.00172, 'val_kl_Loss_Z': 0.14173, 'val_kl_Loss_FC': 0.01133}
92 saved {'val_OrigRecLoss': 0.00274, 'val_FeatRecLoss': 0.00187, 'val_kl_Loss_Z': 0.12655, 'val_kl_Loss_FC': 0.00507}
93 saved {'val_OrigRecLoss': 0.00273, 'val_FeatRecLoss': 0.00174, 'val_kl_Loss_Z': 0.13482, 'val_kl_Loss_FC': 0.00973}
94 saved {'val_OrigRecLoss': 0.00272, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_Z': 0.12593, 'val_kl_Loss_FC': 0.0076}
95 saved {'val_OrigRecLoss': 0.00269, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 0.13053, 'val_kl_Loss_FC': 0.00511}
96 saved {'val_OrigRecLoss': 0.00268, 'val_FeatRecLoss': 0.00178, 'val_kl_Loss_Z': 0.13192, 'val_kl_Loss_FC': 0.00864}
97 not saved {'val_OrigRecLoss': 0.0027, 'val_FeatRecLoss': 0.00175, 'val_kl_Loss_Z': 0.11734, 'val_kl_Loss_FC': 0.00983}
98 saved {'val_OrigRecLoss': 0.00265, 'val_FeatRecLoss': 0.00176, 'val_kl_Loss_Z': 0.12737, 'val_kl_Loss_FC': 0.0101}
99 saved {'val_OrigRecLoss': 0.00263, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 0.11936, 'val_kl_Loss_FC': 0.00536}
100 not saved {'val_OrigRecLoss': 0.00267, 'val_FeatRecLoss': 0.00175, 'val_kl_Loss_Z': 0.11683, 'val_kl_Loss_FC': 0.01043}
101 not saved {'val_OrigRecLoss': 0.00266, 'val_FeatRecLoss': 0.00177, 'val_kl_Loss_Z': 0.11562, 'val_kl_Loss_FC': 0.00946}
102 saved {'val_OrigRecLoss': 0.00263, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_Z': 0.11225, 'val_kl_Loss_FC': 0.00684}
103 saved {'val_OrigRecLoss': 0.0026, 'val_FeatRecLoss': 0.00175, 'val_kl_Loss_Z': 0.12013, 'val_kl_Loss_FC': 0.00956}
104 not saved {'val_OrigRecLoss': 0.00261, 'val_FeatRecLoss': 0.00177, 'val_kl_Loss_Z': 0.12473, 'val_kl_Loss_FC': 0.00919}
105 saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00176, 'val_kl_Loss_Z': 0.13421, 'val_kl_Loss_FC': 0.00917}
106 not saved {'val_OrigRecLoss': 0.00265, 'val_FeatRecLoss': 0.00172, 'val_kl_Loss_Z': 0.12534, 'val_kl_Loss_FC': 0.01119}
107 saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00177, 'val_kl_Loss_Z': 0.12943, 'val_kl_Loss_FC': 0.00901}
108 not saved {'val_OrigRecLoss': 0.00263, 'val_FeatRecLoss': 0.00173, 'val_kl_Loss_Z': 0.12166, 'val_kl_Loss_FC': 0.0099}
109 not saved {'val_OrigRecLoss': 0.00258, 'val_FeatRecLoss': 0.00169, 'val_kl_Loss_Z': 0.11855, 'val_kl_Loss_FC': 0.01171}
