1 saved {'val_OrigRecLoss': 0.01172, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 12.4162, 'val_kl_Loss_FC': 0.09911, 'val_kl_Loss_TC': 128.07501, 'val_kl_Loss_MI': 5.6269}
2 saved {'val_OrigRecLoss': 0.01153, 'val_FeatRecLoss': 0.00168, 'val_kl_Loss_Z': 3.74382, 'val_kl_Loss_FC': 0.01319, 'val_kl_Loss_TC': 129.11859, 'val_kl_Loss_MI': 5.85766}
3 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00157, 'val_kl_Loss_Z': 1.8942, 'val_kl_Loss_FC': 0.013, 'val_kl_Loss_TC': 129.65229, 'val_kl_Loss_MI': 5.9468}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00154, 'val_kl_Loss_Z': 4.7916, 'val_kl_Loss_FC': 0.01359, 'val_kl_Loss_TC': 129.97344, 'val_kl_Loss_MI': 5.99447}
5 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00174, 'val_kl_Loss_Z': 11.52083, 'val_kl_Loss_FC': 0.01454, 'val_kl_Loss_TC': 130.15279, 'val_kl_Loss_MI': 6.01811}
6 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 3.66943, 'val_kl_Loss_FC': 0.01393, 'val_kl_Loss_TC': 130.32386, 'val_kl_Loss_MI': 6.03898}
7 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00144, 'val_kl_Loss_Z': 2.14693, 'val_kl_Loss_FC': 0.01427, 'val_kl_Loss_TC': 130.32224, 'val_kl_Loss_MI': 6.03565}
8 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00142, 'val_kl_Loss_Z': 1.9033, 'val_kl_Loss_FC': 0.01452, 'val_kl_Loss_TC': 130.29006, 'val_kl_Loss_MI': 6.02889}
9 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 5.86442, 'val_kl_Loss_FC': 0.01427, 'val_kl_Loss_TC': 130.41691, 'val_kl_Loss_MI': 6.04357}
10 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00154, 'val_kl_Loss_Z': 7.30152, 'val_kl_Loss_FC': 0.01399, 'val_kl_Loss_TC': 130.29025, 'val_kl_Loss_MI': 6.02738}
11 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 11.66427, 'val_kl_Loss_FC': 0.01275, 'val_kl_Loss_TC': 130.07486, 'val_kl_Loss_MI': 5.99418}
12 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 2.53385, 'val_kl_Loss_FC': 0.01272, 'val_kl_Loss_TC': 130.48944, 'val_kl_Loss_MI': 6.04572}
13 saved {'val_OrigRecLoss': 0.01136, 'val_FeatRecLoss': 0.00143, 'val_kl_Loss_Z': 7.59069, 'val_kl_Loss_FC': 0.01272, 'val_kl_Loss_TC': 130.40072, 'val_kl_Loss_MI': 6.03635}
