1 saved {'val_OrigRecLoss': 0.01179, 'val_FeatRecLoss': 0.00315, 'val_kl_Loss_Z': 2.91136, 'val_kl_Loss_FC': 0.00041, 'val_kl_Loss_TC': 0.00504, 'val_kl_Loss_DTC': 0.01}
2 saved {'val_OrigRecLoss': 0.01157, 'val_FeatRecLoss': 0.00302, 'val_kl_Loss_Z': 1.07348, 'val_kl_Loss_FC': 0.00078, 'val_kl_Loss_TC': 0.00502, 'val_kl_Loss_DTC': 0.01}
3 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.71667, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 0.00785, 'val_kl_Loss_DTC': 0.01}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.57239, 'val_kl_Loss_FC': 0.00036, 'val_kl_Loss_TC': 0.00243, 'val_kl_Loss_DTC': 0.00998}
5 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.51309, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 0.00767, 'val_kl_Loss_DTC': 0.00998}
6 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.49098, 'val_kl_Loss_FC': 0.00079, 'val_kl_Loss_TC': 0.00843, 'val_kl_Loss_DTC': 0.01}
7 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.44582, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 0.00127, 'val_kl_Loss_DTC': 0.00997}
8 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.44513, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 0.00051, 'val_kl_Loss_DTC': 0.00995}
9 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.42703, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 0.00358, 'val_kl_Loss_DTC': 0.00996}
10 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.42136, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 0.00336, 'val_kl_Loss_DTC': 0.00996}
11 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.39039, 'val_kl_Loss_FC': 0.00076, 'val_kl_Loss_TC': 0.00488, 'val_kl_Loss_DTC': 0.00995}
12 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.37746, 'val_kl_Loss_FC': 0.0005, 'val_kl_Loss_TC': 0.00523, 'val_kl_Loss_DTC': 0.0099}
13 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.35647, 'val_kl_Loss_FC': 0.00055, 'val_kl_Loss_TC': 0.00194, 'val_kl_Loss_DTC': 0.00988}
14 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.35886, 'val_kl_Loss_FC': 0.00032, 'val_kl_Loss_TC': 0.00075, 'val_kl_Loss_DTC': 0.00982}
15 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.33573, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 0.00058, 'val_kl_Loss_DTC': 0.0096}
16 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.32154, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 0.00309, 'val_kl_Loss_DTC': 0.00903}
17 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.32837, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 0.00375, 'val_kl_Loss_DTC': 0.00303}
18 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.32585, 'val_kl_Loss_FC': 0.0002, 'val_kl_Loss_TC': 0.00337, 'val_kl_Loss_DTC': 0.00134}
19 saved {'val_OrigRecLoss': 0.01134, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.31037, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 0.00077, 'val_kl_Loss_DTC': 0.00091}
20 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.00294, 'val_kl_Loss_Z': 0.30638, 'val_kl_Loss_FC': 0.00128, 'val_kl_Loss_TC': 0.00459, 'val_kl_Loss_DTC': 0.00111}
21 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.29797, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 0.00525, 'val_kl_Loss_DTC': 0.00155}
22 saved {'val_OrigRecLoss': 0.01124, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.28473, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 0.01074, 'val_kl_Loss_DTC': 0.00075}
23 saved {'val_OrigRecLoss': 0.01104, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.28526, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 0.00297, 'val_kl_Loss_DTC': 0.00107}
24 saved {'val_OrigRecLoss': 0.01071, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.28576, 'val_kl_Loss_FC': 0.00055, 'val_kl_Loss_TC': 0.003, 'val_kl_Loss_DTC': 0.00152}
25 saved {'val_OrigRecLoss': 0.01056, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.29066, 'val_kl_Loss_FC': 0.00067, 'val_kl_Loss_TC': 0.00257, 'val_kl_Loss_DTC': 0.00131}
26 saved {'val_OrigRecLoss': 0.01037, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.26488, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 0.00037, 'val_kl_Loss_DTC': 0.00077}
27 saved {'val_OrigRecLoss': 0.01023, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.26248, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 0.00864, 'val_kl_Loss_DTC': 0.00104}
28 saved {'val_OrigRecLoss': 0.0095, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.26087, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00805, 'val_kl_Loss_DTC': 0.00067}
29 saved {'val_OrigRecLoss': 0.00878, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.25743, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 0.00894, 'val_kl_Loss_DTC': 0.00118}
30 saved {'val_OrigRecLoss': 0.0076, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.25284, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 0.0064, 'val_kl_Loss_DTC': 0.0008}
31 saved {'val_OrigRecLoss': 0.00667, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.24883, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 0.00034, 'val_kl_Loss_DTC': 0.00066}
32 saved {'val_OrigRecLoss': 0.00586, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.24686, 'val_kl_Loss_FC': 0.00045, 'val_kl_Loss_TC': 0.00042, 'val_kl_Loss_DTC': 0.00132}
33 saved {'val_OrigRecLoss': 0.00577, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.23463, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.0009, 'val_kl_Loss_DTC': 0.00135}
34 saved {'val_OrigRecLoss': 0.00518, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.24021, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 0.00133, 'val_kl_Loss_DTC': 0.00359}
35 saved {'val_OrigRecLoss': 0.00483, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.22709, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 0.00619, 'val_kl_Loss_DTC': 0.00076}
36 saved {'val_OrigRecLoss': 0.00418, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.22881, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00475, 'val_kl_Loss_DTC': 0.00137}
37 saved {'val_OrigRecLoss': 0.00398, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.22894, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 0.0033, 'val_kl_Loss_DTC': 0.00095}
38 saved {'val_OrigRecLoss': 0.0037, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.21812, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 0.00406, 'val_kl_Loss_DTC': 0.00161}
39 saved {'val_OrigRecLoss': 0.00352, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.21999, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 0.0026, 'val_kl_Loss_DTC': 0.00075}
40 saved {'val_OrigRecLoss': 0.00338, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.20728, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 0.00394, 'val_kl_Loss_DTC': 0.00077}
41 saved {'val_OrigRecLoss': 0.00335, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.20725, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 0.00624, 'val_kl_Loss_DTC': 0.00107}
42 saved {'val_OrigRecLoss': 0.00335, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.2183, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 0.00102, 'val_kl_Loss_DTC': 0.00101}
43 saved {'val_OrigRecLoss': 0.00305, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.23067, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 0.00377, 'val_kl_Loss_DTC': 0.00118}
44 not saved {'val_OrigRecLoss': 0.00307, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.20901, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 0.00022, 'val_kl_Loss_DTC': 0.00077}
45 saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.22331, 'val_kl_Loss_FC': 0.00042, 'val_kl_Loss_TC': 0.00388, 'val_kl_Loss_DTC': 0.001}
46 not saved {'val_OrigRecLoss': 0.00282, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.21605, 'val_kl_Loss_FC': 0.00031, 'val_kl_Loss_TC': 0.0007, 'val_kl_Loss_DTC': 0.0008}
47 not saved {'val_OrigRecLoss': 0.00276, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.21515, 'val_kl_Loss_FC': 0.00028, 'val_kl_Loss_TC': 0.00144, 'val_kl_Loss_DTC': 0.00226}
48 not saved {'val_OrigRecLoss': 0.00287, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.19624, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 0.00016, 'val_kl_Loss_DTC': 0.00152}
49 not saved {'val_OrigRecLoss': 0.00285, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.21985, 'val_kl_Loss_FC': 0.00024, 'val_kl_Loss_TC': 0.00291, 'val_kl_Loss_DTC': 0.00138}
50 not saved {'val_OrigRecLoss': 0.00273, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.20838, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 0.00025, 'val_kl_Loss_DTC': 0.00169}
51 not saved {'val_OrigRecLoss': 0.00259, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.23436, 'val_kl_Loss_FC': 0.00035, 'val_kl_Loss_TC': 0.00338, 'val_kl_Loss_DTC': 0.00206}
52 not saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.20611, 'val_kl_Loss_FC': 0.00029, 'val_kl_Loss_TC': 0.00165, 'val_kl_Loss_DTC': 0.0019}
53 saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.19925, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 0.00418, 'val_kl_Loss_DTC': 0.00286}
54 not saved {'val_OrigRecLoss': 0.00249, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.19843, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00449, 'val_kl_Loss_DTC': 0.00188}
55 saved {'val_OrigRecLoss': 0.00247, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.20408, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 0.00134, 'val_kl_Loss_DTC': 0.00118}
56 saved {'val_OrigRecLoss': 0.00271, 'val_FeatRecLoss': 0.00294, 'val_kl_Loss_Z': 0.19822, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 0.00046, 'val_kl_Loss_DTC': 0.0027}
57 saved {'val_OrigRecLoss': 0.00252, 'val_FeatRecLoss': 0.00294, 'val_kl_Loss_Z': 0.19494, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 0.00173, 'val_kl_Loss_DTC': 0.00096}
58 not saved {'val_OrigRecLoss': 0.00245, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.19312, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 0.00143, 'val_kl_Loss_DTC': 0.00191}
59 not saved {'val_OrigRecLoss': 0.00248, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.201, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00363, 'val_kl_Loss_DTC': 0.00136}
60 not saved {'val_OrigRecLoss': 0.0024, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.20364, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 0.0002, 'val_kl_Loss_DTC': 0.0029}
61 not saved {'val_OrigRecLoss': 0.00243, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.19881, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 0.00132, 'val_kl_Loss_DTC': 0.00071}
62 not saved {'val_OrigRecLoss': 0.00229, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.18625, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 0.00063, 'val_kl_Loss_DTC': 0.00088}
63 not saved {'val_OrigRecLoss': 0.0023, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.20545, 'val_kl_Loss_FC': 0.00015, 'val_kl_Loss_TC': 0.00099, 'val_kl_Loss_DTC': 0.00123}
64 not saved {'val_OrigRecLoss': 0.0023, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.20345, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 0.0032, 'val_kl_Loss_DTC': 0.00063}
