1 saved {'val_OrigRecLoss': 0.01161, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_Z': 0.36632, 'val_kl_Loss_FC': 0.1105}
2 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00033, 'val_kl_Loss_Z': 0.29415, 'val_kl_Loss_FC': 0.11054}
3 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.25347, 'val_kl_Loss_FC': 0.11052}
4 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.255, 'val_kl_Loss_FC': 0.11053}
5 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.21048, 'val_kl_Loss_FC': 0.11053}
6 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.20583, 'val_kl_Loss_FC': 0.11052}
7 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.2024, 'val_kl_Loss_FC': 0.11052}
8 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.18957, 'val_kl_Loss_FC': 0.11052}
9 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.18076, 'val_kl_Loss_FC': 0.11053}
10 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.16784, 'val_kl_Loss_FC': 0.11054}
11 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.17115, 'val_kl_Loss_FC': 0.11052}
12 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.1608, 'val_kl_Loss_FC': 0.11053}
13 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.15591, 'val_kl_Loss_FC': 0.11054}
14 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.14883, 'val_kl_Loss_FC': 0.11052}
15 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.14452, 'val_kl_Loss_FC': 0.11053}
16 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.16605, 'val_kl_Loss_FC': 0.11053}
17 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.1432, 'val_kl_Loss_FC': 0.11053}
