1 saved {'val_OrigRecLoss': 0.01155, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.21655}
2 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.19917}
3 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 9e-05, 'val_kl_Loss_Z': 0.19782}
4 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 0.19976}
5 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.19611}
6 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 0.18611}
7 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.18124}
8 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 9e-05, 'val_kl_Loss_Z': 0.1995}
9 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.18196}
10 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.17568}
11 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.1813}
12 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.17289}
13 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.16797}
14 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.16559}
15 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.15939}
