1 saved {'val_OrigRecLoss': 0.01173, 'val_FeatRecLoss': 0.00362, 'val_kl_Loss_Z': 6.58371, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 126.99288, 'val_kl_Loss_MI': 5.17283}
2 saved {'val_OrigRecLoss': 0.01153, 'val_FeatRecLoss': 0.00336, 'val_kl_Loss_Z': 6.55861, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 127.37618, 'val_kl_Loss_MI': 5.39283}
3 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00332, 'val_kl_Loss_Z': 3.90208, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 127.77211, 'val_kl_Loss_MI': 5.54406}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00324, 'val_kl_Loss_Z': 9.7048, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 128.14943, 'val_kl_Loss_MI': 5.65406}
5 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00316, 'val_kl_Loss_Z': 6.13663, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 128.28908, 'val_kl_Loss_MI': 5.6911}
6 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00321, 'val_kl_Loss_Z': 3.54724, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 128.43821, 'val_kl_Loss_MI': 5.72792}
7 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00314, 'val_kl_Loss_Z': 2.09869, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 128.55936, 'val_kl_Loss_MI': 5.75603}
8 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00316, 'val_kl_Loss_Z': 1.74729, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 128.64987, 'val_kl_Loss_MI': 5.77671}
9 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00317, 'val_kl_Loss_Z': 5.08277, 'val_kl_Loss_FC': 0.00015, 'val_kl_Loss_TC': 128.86281, 'val_kl_Loss_MI': 5.82015}
10 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00314, 'val_kl_Loss_Z': 2.46741, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 128.94419, 'val_kl_Loss_MI': 5.83637}
11 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00322, 'val_kl_Loss_Z': 3.38785, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 129.00884, 'val_kl_Loss_MI': 5.84866}
12 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00323, 'val_kl_Loss_Z': 1.79319, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 129.17099, 'val_kl_Loss_MI': 5.87816}
13 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0036, 'val_kl_Loss_Z': 9.13831, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 129.27397, 'val_kl_Loss_MI': 5.8965}
14 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00316, 'val_kl_Loss_Z': 3.93889, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 129.41748, 'val_kl_Loss_MI': 5.91983}
15 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00349, 'val_kl_Loss_Z': 1.90879, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 129.323, 'val_kl_Loss_MI': 5.90422}
16 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00333, 'val_kl_Loss_Z': 3.36241, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 129.25358, 'val_kl_Loss_MI': 5.89372}
17 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 9.30021, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 129.30722, 'val_kl_Loss_MI': 5.90429}
18 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.0032, 'val_kl_Loss_Z': 10.38833, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 129.37126, 'val_kl_Loss_MI': 5.91465}
19 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 3.95271, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 129.4966, 'val_kl_Loss_MI': 5.93289}
20 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00312, 'val_kl_Loss_Z': 10.39889, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 129.48823, 'val_kl_Loss_MI': 5.93159}
21 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00312, 'val_kl_Loss_Z': 5.90488, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 129.6025, 'val_kl_Loss_MI': 5.94351}
22 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 3.14437, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 129.47574, 'val_kl_Loss_MI': 5.92378}
23 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.0032, 'val_kl_Loss_Z': 6.54428, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 129.83322, 'val_kl_Loss_MI': 5.97514}
24 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00319, 'val_kl_Loss_Z': 8.19356, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 129.71526, 'val_kl_Loss_MI': 5.95432}
25 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00325, 'val_kl_Loss_Z': 1.98624, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 129.72684, 'val_kl_Loss_MI': 5.95321}
26 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 14.9177, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 129.66588, 'val_kl_Loss_MI': 5.94323}
27 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.00312, 'val_kl_Loss_Z': 9.61219, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 129.6412, 'val_kl_Loss_MI': 5.93358}
28 not saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 3.02365, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 130.02514, 'val_kl_Loss_MI': 5.98159}
29 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00314, 'val_kl_Loss_Z': 11.9463, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 129.76665, 'val_kl_Loss_MI': 5.94686}
30 saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.00342, 'val_kl_Loss_Z': 5.35391, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 130.05909, 'val_kl_Loss_MI': 5.98776}
31 saved {'val_OrigRecLoss': 0.0113, 'val_FeatRecLoss': 0.00316, 'val_kl_Loss_Z': 10.38298, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 130.1215, 'val_kl_Loss_MI': 5.98203}
32 saved {'val_OrigRecLoss': 0.01128, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 3.79735, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 130.40359, 'val_kl_Loss_MI': 6.01283}
33 saved {'val_OrigRecLoss': 0.01124, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 3.0347, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 130.31641, 'val_kl_Loss_MI': 6.00318}
34 saved {'val_OrigRecLoss': 0.0111, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 4.43617, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 129.94296, 'val_kl_Loss_MI': 5.95684}
35 saved {'val_OrigRecLoss': 0.01072, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 6.48218, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 130.14531, 'val_kl_Loss_MI': 5.97772}
36 saved {'val_OrigRecLoss': 0.00977, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 4.16068, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 129.81621, 'val_kl_Loss_MI': 5.92886}
37 saved {'val_OrigRecLoss': 0.00919, 'val_FeatRecLoss': 0.00315, 'val_kl_Loss_Z': 11.81868, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 130.39655, 'val_kl_Loss_MI': 6.01219}
38 saved {'val_OrigRecLoss': 0.00794, 'val_FeatRecLoss': 0.00322, 'val_kl_Loss_Z': 7.18389, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 130.4869, 'val_kl_Loss_MI': 6.01757}
