1 saved {'val_OrigRecLoss': 0.01158, 'val_FeatRecLoss': 0.00316, 'val_kl_Loss_Z': 0.36781, 'val_kl_Loss_FC': 0.00019}
2 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00305, 'val_kl_Loss_Z': 0.2341, 'val_kl_Loss_FC': 0.00018}
3 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.20427, 'val_kl_Loss_FC': 0.00077}
4 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.19551, 'val_kl_Loss_FC': 0.00042}
5 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.17898, 'val_kl_Loss_FC': 7e-05}
6 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 0.17238, 'val_kl_Loss_FC': 0.00029}
7 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 0.16796, 'val_kl_Loss_FC': 0.00013}
8 not saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.15717, 'val_kl_Loss_FC': 0.00061}
9 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 0.15367, 'val_kl_Loss_FC': 0.00022}
10 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.14523, 'val_kl_Loss_FC': 0.00063}
11 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.14678, 'val_kl_Loss_FC': 0.00029}
12 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.14114, 'val_kl_Loss_FC': 6e-05}
13 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.13389, 'val_kl_Loss_FC': 0.00022}
14 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.12993, 'val_kl_Loss_FC': 8e-05}
15 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.12933, 'val_kl_Loss_FC': 0.00051}
16 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.12248, 'val_kl_Loss_FC': 6e-05}
17 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.12049, 'val_kl_Loss_FC': 0.00018}
18 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.12066, 'val_kl_Loss_FC': 0.00063}
19 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.1147, 'val_kl_Loss_FC': 0.00012}
20 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.11652, 'val_kl_Loss_FC': 0.00028}
21 not saved {'val_OrigRecLoss': 0.01152, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.10978, 'val_kl_Loss_FC': 3e-05}
22 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.10976, 'val_kl_Loss_FC': 0.00025}
23 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.10583, 'val_kl_Loss_FC': 0.00025}
24 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09974, 'val_kl_Loss_FC': 9e-05}
25 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.10552, 'val_kl_Loss_FC': 0.00097}
26 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.09735, 'val_kl_Loss_FC': 0.00041}
27 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.10535, 'val_kl_Loss_FC': 0.00058}
28 not saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09849, 'val_kl_Loss_FC': 0.00013}
29 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.10238, 'val_kl_Loss_FC': 0.00093}
30 saved {'val_OrigRecLoss': 0.01122, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09475, 'val_kl_Loss_FC': 7e-05}
31 saved {'val_OrigRecLoss': 0.01107, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.09626, 'val_kl_Loss_FC': 0.00033}
32 saved {'val_OrigRecLoss': 0.01081, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.09017, 'val_kl_Loss_FC': 0.0003}
33 saved {'val_OrigRecLoss': 0.01039, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.08981, 'val_kl_Loss_FC': 0.00015}
34 saved {'val_OrigRecLoss': 0.00979, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09292, 'val_kl_Loss_FC': 0.0005}
35 saved {'val_OrigRecLoss': 0.00874, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09299, 'val_kl_Loss_FC': 0.00012}
36 saved {'val_OrigRecLoss': 0.00735, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08797, 'val_kl_Loss_FC': 0.0002}
37 saved {'val_OrigRecLoss': 0.00646, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.09022, 'val_kl_Loss_FC': 6e-05}
38 saved {'val_OrigRecLoss': 0.00571, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.09125, 'val_kl_Loss_FC': 7e-05}
39 saved {'val_OrigRecLoss': 0.00527, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09121, 'val_kl_Loss_FC': 0.00013}
40 saved {'val_OrigRecLoss': 0.00505, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.08356, 'val_kl_Loss_FC': 0.00035}
41 saved {'val_OrigRecLoss': 0.0047, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.08963, 'val_kl_Loss_FC': 0.00112}
42 saved {'val_OrigRecLoss': 0.00424, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.09085, 'val_kl_Loss_FC': 4e-05}
43 saved {'val_OrigRecLoss': 0.00377, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.08038, 'val_kl_Loss_FC': 0.00018}
44 saved {'val_OrigRecLoss': 0.00358, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.09471, 'val_kl_Loss_FC': 0.00036}
45 saved {'val_OrigRecLoss': 0.00344, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08463, 'val_kl_Loss_FC': 0.00028}
46 saved {'val_OrigRecLoss': 0.0034, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.082, 'val_kl_Loss_FC': 0.00029}
47 saved {'val_OrigRecLoss': 0.00328, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.0836, 'val_kl_Loss_FC': 0.00031}
48 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.08, 'val_kl_Loss_FC': 0.0002}
49 saved {'val_OrigRecLoss': 0.00294, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08003, 'val_kl_Loss_FC': 6e-05}
50 saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.08222, 'val_kl_Loss_FC': 3e-05}
51 saved {'val_OrigRecLoss': 0.00276, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.08787, 'val_kl_Loss_FC': 0.00043}
52 not saved {'val_OrigRecLoss': 0.00269, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.08422, 'val_kl_Loss_FC': 6e-05}
