1 saved {'val_OrigRecLoss': 0.01155, 'val_FeatRecLoss': 0.00047, 'val_kl_Loss_Z': 0.25578}
2 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00033, 'val_kl_Loss_Z': 0.21947}
3 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.20671}
4 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00014, 'val_kl_Loss_Z': 0.18844}
5 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 9e-05, 'val_kl_Loss_Z': 0.19329}
6 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00013, 'val_kl_Loss_Z': 0.19874}
7 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 9e-05, 'val_kl_Loss_Z': 0.17004}
8 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 0.16542}
9 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 0.16254}
10 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 0.16046}
11 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 7e-05, 'val_kl_Loss_Z': 0.14992}
12 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 7e-05, 'val_kl_Loss_Z': 0.14358}
13 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 0.13422}
14 not saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 7e-05, 'val_kl_Loss_Z': 0.13071}
15 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 0.13067}
16 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 7e-05, 'val_kl_Loss_Z': 0.12679}
17 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 7e-05, 'val_kl_Loss_Z': 0.11608}
18 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.115}
19 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.11602}
20 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 7e-05, 'val_kl_Loss_Z': 0.1087}
21 not saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 7e-05, 'val_kl_Loss_Z': 0.11064}
22 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 7e-05, 'val_kl_Loss_Z': 0.10823}
23 not saved {'val_OrigRecLoss': 0.01164, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.10791}
24 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 7e-05, 'val_kl_Loss_Z': 0.11213}
25 not saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.10259}
26 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.10047}
27 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.10677}
28 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.10496}
29 not saved {'val_OrigRecLoss': 0.01151, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.0971}
30 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.10649}
31 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09752}
32 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.10182}
33 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09548}
34 not saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.10211}
35 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09339}
36 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 7e-05, 'val_kl_Loss_Z': 0.09469}
37 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09263}
38 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09}
39 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09852}
40 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.10268}
41 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09633}
42 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08478}
43 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.10169}
44 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09152}
45 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09111}
46 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08668}
47 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.0855}
48 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09667}
49 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08823}
50 not saved {'val_OrigRecLoss': 0.01152, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09278}
51 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.0862}
52 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.095}
53 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08608}
54 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08507}
55 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09221}
56 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08391}
57 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08566}
58 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08687}
59 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08101}
60 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.09103}
61 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08281}
62 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08171}
63 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08165}
64 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.0861}
65 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08171}
66 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.07379}
67 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09404}
68 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08149}
69 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.09111}
70 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08447}
71 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08486}
72 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08005}
73 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08372}
74 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.08125}
75 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.10021}
76 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07778}
77 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08667}
78 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08379}
79 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.0755}
80 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.07331}
81 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 6e-05, 'val_kl_Loss_Z': 0.09042}
82 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08266}
83 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 0.08083}
