1 saved {'val_OrigRecLoss': 0.01182, 'val_FeatRecLoss': 0.00402, 'val_kl_Loss_Z': 3.74216, 'val_kl_Loss_FC': 0.00081, 'val_kl_Loss_TC': 215.88229, 'val_kl_Loss_MI': 4.97534}
2 saved {'val_OrigRecLoss': 0.01156, 'val_FeatRecLoss': 0.00365, 'val_kl_Loss_Z': 7.68215, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 216.2378, 'val_kl_Loss_MI': 5.20505}
3 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00346, 'val_kl_Loss_Z': 6.52323, 'val_kl_Loss_FC': 0.00049, 'val_kl_Loss_TC': 216.79503, 'val_kl_Loss_MI': 5.41413}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00409, 'val_kl_Loss_Z': 6.04787, 'val_kl_Loss_FC': 0.00024, 'val_kl_Loss_TC': 217.1395, 'val_kl_Loss_MI': 5.51097}
5 not saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00339, 'val_kl_Loss_Z': 1.09762, 'val_kl_Loss_FC': 0.00024, 'val_kl_Loss_TC': 217.31746, 'val_kl_Loss_MI': 5.56088}
6 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00316, 'val_kl_Loss_Z': 8.80356, 'val_kl_Loss_FC': 0.00042, 'val_kl_Loss_TC': 217.68334, 'val_kl_Loss_MI': 5.63166}
7 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00305, 'val_kl_Loss_Z': 10.82299, 'val_kl_Loss_FC': 0.00042, 'val_kl_Loss_TC': 218.02553, 'val_kl_Loss_MI': 5.67625}
8 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 2.70303, 'val_kl_Loss_FC': 0.0002, 'val_kl_Loss_TC': 217.77114, 'val_kl_Loss_MI': 5.62988}
9 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00303, 'val_kl_Loss_Z': 2.16356, 'val_kl_Loss_FC': 0.0005, 'val_kl_Loss_TC': 218.5968, 'val_kl_Loss_MI': 5.74303}
10 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00303, 'val_kl_Loss_Z': 9.35132, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 218.29893, 'val_kl_Loss_MI': 5.70092}
11 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 14.09983, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 218.4352, 'val_kl_Loss_MI': 5.72544}
