1 saved {'val_OrigRecLoss': 0.01171, 'val_FeatRecLoss': 0.00331, 'val_kl_Loss_Z': 0.27505, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 0.00076, 'val_kl_Loss_DTC': 0.00989}
2 saved {'val_OrigRecLoss': 0.01155, 'val_FeatRecLoss': 0.0032, 'val_kl_Loss_Z': 0.23215, 'val_kl_Loss_FC': 0.00036, 'val_kl_Loss_TC': 0.00348, 'val_kl_Loss_DTC': 0.00978}
3 saved {'val_OrigRecLoss': 0.01151, 'val_FeatRecLoss': 0.00315, 'val_kl_Loss_Z': 0.21462, 'val_kl_Loss_FC': 0.00033, 'val_kl_Loss_TC': 0.01048, 'val_kl_Loss_DTC': 0.00932}
4 not saved {'val_OrigRecLoss': 0.01151, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 0.20764, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 0.00873, 'val_kl_Loss_DTC': 0.00108}
5 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00315, 'val_kl_Loss_Z': 0.19853, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00257, 'val_kl_Loss_DTC': 0.00188}
6 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00312, 'val_kl_Loss_Z': 0.19815, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 0.00037, 'val_kl_Loss_DTC': 0.00297}
7 not saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00314, 'val_kl_Loss_Z': 0.18367, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 0.00435, 'val_kl_Loss_DTC': 0.00315}
8 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.16816, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 0.00053, 'val_kl_Loss_DTC': 0.00317}
9 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 0.16686, 'val_kl_Loss_FC': 0.00036, 'val_kl_Loss_TC': 0.00799, 'val_kl_Loss_DTC': 0.00073}
10 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 0.16346, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00241, 'val_kl_Loss_DTC': 0.00195}
11 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.15061, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00074, 'val_kl_Loss_DTC': 0.00085}
12 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 0.1448, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00611, 'val_kl_Loss_DTC': 0.00106}
13 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 0.13622, 'val_kl_Loss_FC': 0.00015, 'val_kl_Loss_TC': 0.0116, 'val_kl_Loss_DTC': 0.00236}
14 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 0.1287, 'val_kl_Loss_FC': 0.00038, 'val_kl_Loss_TC': 0.01171, 'val_kl_Loss_DTC': 0.00206}
