1 saved {'val_OrigRecLoss': 0.01179, 'val_FeatRecLoss': 0.00142, 'val_kl_Loss_Z': 1.97889, 'val_kl_Loss_FC': 0.02402, 'val_kl_Loss_TC': 0.00245, 'val_kl_Loss_DTC': 0.1424}
2 saved {'val_OrigRecLoss': 0.01153, 'val_FeatRecLoss': 0.00177, 'val_kl_Loss_Z': 0.6485, 'val_kl_Loss_FC': 0.00074, 'val_kl_Loss_TC': 0.00334, 'val_kl_Loss_DTC': 0.03703}
3 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00129, 'val_kl_Loss_Z': 0.70196, 'val_kl_Loss_FC': 0.02378, 'val_kl_Loss_TC': 0.00302, 'val_kl_Loss_DTC': 0.01527}
4 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00169, 'val_kl_Loss_Z': 0.45825, 'val_kl_Loss_FC': 0.00087, 'val_kl_Loss_TC': 0.0032, 'val_kl_Loss_DTC': 0.01214}
5 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 0.4815, 'val_kl_Loss_FC': 0.01666, 'val_kl_Loss_TC': 0.00034, 'val_kl_Loss_DTC': 0.0011}
6 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0011, 'val_kl_Loss_Z': 0.66467, 'val_kl_Loss_FC': 0.03676, 'val_kl_Loss_TC': 0.00086, 'val_kl_Loss_DTC': 0.00094}
7 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00157, 'val_kl_Loss_Z': 0.47719, 'val_kl_Loss_FC': 0.00319, 'val_kl_Loss_TC': 0.00023, 'val_kl_Loss_DTC': 0.00407}
8 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00103, 'val_kl_Loss_Z': 0.67663, 'val_kl_Loss_FC': 0.03661, 'val_kl_Loss_TC': 0.00257, 'val_kl_Loss_DTC': 0.00073}
9 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00149, 'val_kl_Loss_Z': 0.44342, 'val_kl_Loss_FC': 0.00574, 'val_kl_Loss_TC': 0.00187, 'val_kl_Loss_DTC': 0.00292}
10 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 0.34933, 'val_kl_Loss_FC': 0.00103, 'val_kl_Loss_TC': 0.00026, 'val_kl_Loss_DTC': 0.00336}
11 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00104, 'val_kl_Loss_Z': 0.55426, 'val_kl_Loss_FC': 0.03596, 'val_kl_Loss_TC': 0.00054, 'val_kl_Loss_DTC': 0.00156}
12 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 0.42878, 'val_kl_Loss_FC': 0.01331, 'val_kl_Loss_TC': 0.00083, 'val_kl_Loss_DTC': 0.00087}
13 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 0.37029, 'val_kl_Loss_FC': 0.00737, 'val_kl_Loss_TC': 0.00019, 'val_kl_Loss_DTC': 0.00125}
14 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.001, 'val_kl_Loss_Z': 0.50395, 'val_kl_Loss_FC': 0.03745, 'val_kl_Loss_TC': 0.00042, 'val_kl_Loss_DTC': 0.00045}
15 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_Z': 0.41146, 'val_kl_Loss_FC': 0.02189, 'val_kl_Loss_TC': 0.00103, 'val_kl_Loss_DTC': 0.00085}
16 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 0.32313, 'val_kl_Loss_FC': 0.00446, 'val_kl_Loss_TC': 0.00036, 'val_kl_Loss_DTC': 0.00287}
17 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.001, 'val_kl_Loss_Z': 0.44602, 'val_kl_Loss_FC': 0.038, 'val_kl_Loss_TC': 0.00017, 'val_kl_Loss_DTC': 0.00122}
18 saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.00101, 'val_kl_Loss_Z': 0.44676, 'val_kl_Loss_FC': 0.0367, 'val_kl_Loss_TC': 0.00016, 'val_kl_Loss_DTC': 0.00135}
19 saved {'val_OrigRecLoss': 0.01128, 'val_FeatRecLoss': 0.00111, 'val_kl_Loss_Z': 0.43741, 'val_kl_Loss_FC': 0.02709, 'val_kl_Loss_TC': 0.00044, 'val_kl_Loss_DTC': 0.0009}
20 not saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.00125, 'val_kl_Loss_Z': 0.37439, 'val_kl_Loss_FC': 0.01791, 'val_kl_Loss_TC': 0.00029, 'val_kl_Loss_DTC': 0.00118}
21 saved {'val_OrigRecLoss': 0.01126, 'val_FeatRecLoss': 0.00108, 'val_kl_Loss_Z': 0.41927, 'val_kl_Loss_FC': 0.03068, 'val_kl_Loss_TC': 0.0005, 'val_kl_Loss_DTC': 0.00106}
22 saved {'val_OrigRecLoss': 0.01118, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 0.34237, 'val_kl_Loss_FC': 0.01327, 'val_kl_Loss_TC': 0.00028, 'val_kl_Loss_DTC': 0.0021}
23 saved {'val_OrigRecLoss': 0.01112, 'val_FeatRecLoss': 0.00103, 'val_kl_Loss_Z': 0.39942, 'val_kl_Loss_FC': 0.03503, 'val_kl_Loss_TC': 0.00049, 'val_kl_Loss_DTC': 0.00166}
24 saved {'val_OrigRecLoss': 0.01097, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 0.32754, 'val_kl_Loss_FC': 0.01095, 'val_kl_Loss_TC': 0.00049, 'val_kl_Loss_DTC': 0.00063}
25 saved {'val_OrigRecLoss': 0.01049, 'val_FeatRecLoss': 0.00121, 'val_kl_Loss_Z': 0.35005, 'val_kl_Loss_FC': 0.02197, 'val_kl_Loss_TC': 0.00059, 'val_kl_Loss_DTC': 0.00104}
26 saved {'val_OrigRecLoss': 0.00939, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 0.30671, 'val_kl_Loss_FC': 0.00874, 'val_kl_Loss_TC': 0.00032, 'val_kl_Loss_DTC': 0.00223}
27 saved {'val_OrigRecLoss': 0.00766, 'val_FeatRecLoss': 0.00098, 'val_kl_Loss_Z': 0.49485, 'val_kl_Loss_FC': 0.08819, 'val_kl_Loss_TC': 0.00048, 'val_kl_Loss_DTC': 0.0014}
28 saved {'val_OrigRecLoss': 0.00601, 'val_FeatRecLoss': 0.00126, 'val_kl_Loss_Z': 0.39291, 'val_kl_Loss_FC': 0.06674, 'val_kl_Loss_TC': 0.00209, 'val_kl_Loss_DTC': 0.00167}
29 saved {'val_OrigRecLoss': 0.00504, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_Z': 0.27532, 'val_kl_Loss_FC': 0.03972, 'val_kl_Loss_TC': 0.00278, 'val_kl_Loss_DTC': 0.00738}
30 saved {'val_OrigRecLoss': 0.00486, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.26249, 'val_kl_Loss_FC': 0.01, 'val_kl_Loss_TC': 0.00016, 'val_kl_Loss_DTC': 0.00184}
31 saved {'val_OrigRecLoss': 0.00413, 'val_FeatRecLoss': 0.00111, 'val_kl_Loss_Z': 0.42348, 'val_kl_Loss_FC': 0.08554, 'val_kl_Loss_TC': 0.0001, 'val_kl_Loss_DTC': 0.00122}
