1 saved {'val_OrigRecLoss': 0.01171, 'val_FeatRecLoss': 0.00174, 'val_kl_Loss_Z': 0.72318, 'val_kl_Loss_FC': 0.00074, 'val_kl_Loss_TC': 0.00091, 'val_kl_Loss_DTC': 0.13949}
2 saved {'val_OrigRecLoss': 0.01152, 'val_FeatRecLoss': 0.00127, 'val_kl_Loss_Z': 0.88033, 'val_kl_Loss_FC': 0.02514, 'val_kl_Loss_TC': 0.0008, 'val_kl_Loss_DTC': 0.03591}
3 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 0.58458, 'val_kl_Loss_FC': 0.00616, 'val_kl_Loss_TC': 0.00253, 'val_kl_Loss_DTC': 0.02089}
4 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00168, 'val_kl_Loss_Z': 0.40961, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 0.00323, 'val_kl_Loss_DTC': 0.01531}
5 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00099, 'val_kl_Loss_Z': 0.61935, 'val_kl_Loss_FC': 0.05181, 'val_kl_Loss_TC': 0.00072, 'val_kl_Loss_DTC': 0.00055}
6 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00149, 'val_kl_Loss_Z': 0.42959, 'val_kl_Loss_FC': 0.00819, 'val_kl_Loss_TC': 0.00239, 'val_kl_Loss_DTC': 0.00594}
7 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00163, 'val_kl_Loss_Z': 0.333, 'val_kl_Loss_FC': 0.00176, 'val_kl_Loss_TC': 0.00057, 'val_kl_Loss_DTC': 0.0028}
8 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00122, 'val_kl_Loss_Z': 0.45364, 'val_kl_Loss_FC': 0.02569, 'val_kl_Loss_TC': 0.00024, 'val_kl_Loss_DTC': 0.00079}
9 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00104, 'val_kl_Loss_Z': 0.61504, 'val_kl_Loss_FC': 0.03463, 'val_kl_Loss_TC': 0.00034, 'val_kl_Loss_DTC': 0.00108}
10 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00103, 'val_kl_Loss_Z': 0.55599, 'val_kl_Loss_FC': 0.03355, 'val_kl_Loss_TC': 0.00118, 'val_kl_Loss_DTC': 0.0014}
11 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00151, 'val_kl_Loss_Z': 0.31638, 'val_kl_Loss_FC': 0.00412, 'val_kl_Loss_TC': 0.00097, 'val_kl_Loss_DTC': 0.00823}
