1 saved {'val_OrigRecLoss': 0.01177, 'val_FeatRecLoss': 0.00176, 'val_kl_Loss_Z': 2.90105, 'val_kl_Loss_FC': 0.0201}
2 saved {'val_OrigRecLoss': 0.01155, 'val_FeatRecLoss': 0.0017, 'val_kl_Loss_Z': 0.73689, 'val_kl_Loss_FC': 0.01748}
3 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00167, 'val_kl_Loss_Z': 0.53629, 'val_kl_Loss_FC': 0.01752}
4 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00148, 'val_kl_Loss_Z': 0.59527, 'val_kl_Loss_FC': 0.02165}
5 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 0.49898, 'val_kl_Loss_FC': 0.02268}
6 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 0.46278, 'val_kl_Loss_FC': 0.02424}
7 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 0.438, 'val_kl_Loss_FC': 0.02708}
8 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 0.41245, 'val_kl_Loss_FC': 0.02273}
9 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00138, 'val_kl_Loss_Z': 0.39081, 'val_kl_Loss_FC': 0.02437}
10 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 0.36287, 'val_kl_Loss_FC': 0.02103}
11 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 0.34314, 'val_kl_Loss_FC': 0.02254}
12 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.33411, 'val_kl_Loss_FC': 0.01982}
13 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.32066, 'val_kl_Loss_FC': 0.02024}
14 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00149, 'val_kl_Loss_Z': 0.31564, 'val_kl_Loss_FC': 0.01876}
15 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00131, 'val_kl_Loss_Z': 0.31404, 'val_kl_Loss_FC': 0.02878}
16 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00139, 'val_kl_Loss_Z': 0.3027, 'val_kl_Loss_FC': 0.02381}
17 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 0.29174, 'val_kl_Loss_FC': 0.02646}
18 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 0.29469, 'val_kl_Loss_FC': 0.0212}
19 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.00143, 'val_kl_Loss_Z': 0.27637, 'val_kl_Loss_FC': 0.02238}
20 saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.00148, 'val_kl_Loss_Z': 0.26818, 'val_kl_Loss_FC': 0.02019}
21 saved {'val_OrigRecLoss': 0.01134, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 0.26519, 'val_kl_Loss_FC': 0.01998}
22 saved {'val_OrigRecLoss': 0.01132, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 0.26722, 'val_kl_Loss_FC': 0.02381}
