1 saved {'val_OrigRecLoss': 0.01171, 'val_FeatRecLoss': 0.0032, 'val_kl_Loss_Z': 0.26593, 'val_kl_Loss_FC': 0.00056}
2 saved {'val_OrigRecLoss': 0.01153, 'val_FeatRecLoss': 0.00307, 'val_kl_Loss_Z': 0.22095, 'val_kl_Loss_FC': 0.0002}
3 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00304, 'val_kl_Loss_Z': 0.20157, 'val_kl_Loss_FC': 1e-05}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.19249, 'val_kl_Loss_FC': 0.0}
5 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.18331, 'val_kl_Loss_FC': 1e-05}
6 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.17166, 'val_kl_Loss_FC': 0.0}
7 not saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 0.16599, 'val_kl_Loss_FC': 0.0}
8 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.18931, 'val_kl_Loss_FC': 0.0}
9 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.15769, 'val_kl_Loss_FC': 0.0}
10 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.15787, 'val_kl_Loss_FC': 0.0}
11 not saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.14484, 'val_kl_Loss_FC': 0.0}
12 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.14136, 'val_kl_Loss_FC': 1e-05}
13 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.13481, 'val_kl_Loss_FC': 0.0}
14 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.1414, 'val_kl_Loss_FC': 1e-05}
15 saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.13175, 'val_kl_Loss_FC': 0.0}
16 saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.12774, 'val_kl_Loss_FC': 0.0}
17 saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.1262, 'val_kl_Loss_FC': 1e-05}
18 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.15494, 'val_kl_Loss_FC': 0.0}
19 saved {'val_OrigRecLoss': 0.01128, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.12415, 'val_kl_Loss_FC': 0.0}
20 saved {'val_OrigRecLoss': 0.01127, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.12317, 'val_kl_Loss_FC': 0.0}
21 saved {'val_OrigRecLoss': 0.01126, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.11984, 'val_kl_Loss_FC': 0.0}
22 saved {'val_OrigRecLoss': 0.01123, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.11955, 'val_kl_Loss_FC': 0.0}
23 saved {'val_OrigRecLoss': 0.01086, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.11918, 'val_kl_Loss_FC': 0.0}
24 saved {'val_OrigRecLoss': 0.01057, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.11576, 'val_kl_Loss_FC': 0.0}
25 saved {'val_OrigRecLoss': 0.01028, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.11731, 'val_kl_Loss_FC': 1e-05}
26 saved {'val_OrigRecLoss': 0.00983, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.11248, 'val_kl_Loss_FC': 0.0}
27 saved {'val_OrigRecLoss': 0.00936, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.12087, 'val_kl_Loss_FC': 0.0}
28 saved {'val_OrigRecLoss': 0.00879, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.1194, 'val_kl_Loss_FC': 2e-05}
29 saved {'val_OrigRecLoss': 0.00808, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.11193, 'val_kl_Loss_FC': 1e-05}
30 saved {'val_OrigRecLoss': 0.00558, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.11436, 'val_kl_Loss_FC': 0.0}
31 saved {'val_OrigRecLoss': 0.00475, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.11313, 'val_kl_Loss_FC': 1e-05}
32 saved {'val_OrigRecLoss': 0.00405, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.10934, 'val_kl_Loss_FC': 1e-05}
33 saved {'val_OrigRecLoss': 0.00356, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.10759, 'val_kl_Loss_FC': 0.0}
34 saved {'val_OrigRecLoss': 0.00329, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.10765, 'val_kl_Loss_FC': 0.0}
35 saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.11476, 'val_kl_Loss_FC': 0.0}
36 saved {'val_OrigRecLoss': 0.00298, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.1069, 'val_kl_Loss_FC': 1e-05}
37 saved {'val_OrigRecLoss': 0.00282, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.10674, 'val_kl_Loss_FC': 1e-05}
38 not saved {'val_OrigRecLoss': 0.00267, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.10436, 'val_kl_Loss_FC': 1e-05}
39 saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.10241, 'val_kl_Loss_FC': 0.0}
40 saved {'val_OrigRecLoss': 0.00249, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.10528, 'val_kl_Loss_FC': 1e-05}
41 not saved {'val_OrigRecLoss': 0.00242, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.1159, 'val_kl_Loss_FC': 1e-05}
42 not saved {'val_OrigRecLoss': 0.00234, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09651, 'val_kl_Loss_FC': 0.0}
43 saved {'val_OrigRecLoss': 0.00229, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.10335, 'val_kl_Loss_FC': 1e-05}
44 not saved {'val_OrigRecLoss': 0.00226, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.09463, 'val_kl_Loss_FC': 0.0}
45 not saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09829, 'val_kl_Loss_FC': 0.0}
46 not saved {'val_OrigRecLoss': 0.00213, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.0957, 'val_kl_Loss_FC': 2e-05}
47 not saved {'val_OrigRecLoss': 0.00211, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09094, 'val_kl_Loss_FC': 0.0}
48 not saved {'val_OrigRecLoss': 0.00205, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09426, 'val_kl_Loss_FC': 0.0}
49 not saved {'val_OrigRecLoss': 0.00202, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09135, 'val_kl_Loss_FC': 0.0}
50 not saved {'val_OrigRecLoss': 0.00201, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09351, 'val_kl_Loss_FC': 0.0}
51 not saved {'val_OrigRecLoss': 0.00196, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09039, 'val_kl_Loss_FC': 0.0}
52 not saved {'val_OrigRecLoss': 0.002, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.0876, 'val_kl_Loss_FC': 0.0}
53 saved {'val_OrigRecLoss': 0.00191, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09158, 'val_kl_Loss_FC': 0.0}
54 not saved {'val_OrigRecLoss': 0.00186, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.09198, 'val_kl_Loss_FC': 0.0}
55 not saved {'val_OrigRecLoss': 0.00184, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.10179, 'val_kl_Loss_FC': 0.0}
56 saved {'val_OrigRecLoss': 0.00182, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.09642, 'val_kl_Loss_FC': 1e-05}
57 not saved {'val_OrigRecLoss': 0.00181, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.08667, 'val_kl_Loss_FC': 1e-05}
58 not saved {'val_OrigRecLoss': 0.00176, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.0946, 'val_kl_Loss_FC': 1e-05}
