1 saved {'val_OrigRecLoss': 0.01171, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.64633}
2 saved {'val_OrigRecLoss': 0.01153, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.39225}
3 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00013, 'val_kl_Loss_Z': 0.3154}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00012, 'val_kl_Loss_Z': 0.2938}
5 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.26572}
6 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.24775}
7 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.23238}
8 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.21148}
9 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.20218}
10 not saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.19639}
11 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.19384}
12 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.18655}
13 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.17798}
14 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.17271}
15 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.17666}
16 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.15916}
17 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.1783}
18 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.16929}
19 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.16507}
20 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.15588}
21 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.15316}
22 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.15295}
23 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.14541}
24 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.14229}
25 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.14878}
26 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.14158}
27 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.15005}
28 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.14456}
29 not saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.15428}
30 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.14152}
31 saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.14159}
32 not saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.15798}
33 not saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.14539}
34 not saved {'val_OrigRecLoss': 0.01136, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.14501}
35 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.1343}
36 not saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.13017}
37 saved {'val_OrigRecLoss': 0.0113, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.15727}
38 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.12717}
39 saved {'val_OrigRecLoss': 0.01127, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.15111}
40 saved {'val_OrigRecLoss': 0.01125, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.14731}
41 not saved {'val_OrigRecLoss': 0.01127, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.12462}
42 saved {'val_OrigRecLoss': 0.01119, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.13533}
43 saved {'val_OrigRecLoss': 0.01111, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.1476}
44 saved {'val_OrigRecLoss': 0.01095, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.12675}
45 saved {'val_OrigRecLoss': 0.01067, 'val_FeatRecLoss': 9e-05, 'val_kl_Loss_Z': 0.13468}
46 saved {'val_OrigRecLoss': 0.01029, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.13634}
47 saved {'val_OrigRecLoss': 0.00974, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.14431}
48 saved {'val_OrigRecLoss': 0.00931, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.13705}
49 saved {'val_OrigRecLoss': 0.00883, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.11758}
50 saved {'val_OrigRecLoss': 0.00849, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.15605}
51 saved {'val_OrigRecLoss': 0.00808, 'val_FeatRecLoss': 0.00012, 'val_kl_Loss_Z': 0.14397}
52 saved {'val_OrigRecLoss': 0.00778, 'val_FeatRecLoss': 0.00012, 'val_kl_Loss_Z': 0.1662}
53 saved {'val_OrigRecLoss': 0.0075, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.25597}
54 saved {'val_OrigRecLoss': 0.0072, 'val_FeatRecLoss': 0.00012, 'val_kl_Loss_Z': 0.17589}
55 saved {'val_OrigRecLoss': 0.00694, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.19467}
56 saved {'val_OrigRecLoss': 0.00672, 'val_FeatRecLoss': 0.00013, 'val_kl_Loss_Z': 0.14795}
57 saved {'val_OrigRecLoss': 0.00656, 'val_FeatRecLoss': 0.00014, 'val_kl_Loss_Z': 0.16857}
58 saved {'val_OrigRecLoss': 0.00571, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_Z': 1.04653}
59 saved {'val_OrigRecLoss': 0.00511, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_Z': 0.37826}
60 saved {'val_OrigRecLoss': 0.0048, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_Z': 0.22803}
61 saved {'val_OrigRecLoss': 0.00435, 'val_FeatRecLoss': 0.00094, 'val_kl_Loss_Z': 0.32828}
62 saved {'val_OrigRecLoss': 0.00401, 'val_FeatRecLoss': 0.00098, 'val_kl_Loss_Z': 0.21941}
63 saved {'val_OrigRecLoss': 0.0039, 'val_FeatRecLoss': 0.00143, 'val_kl_Loss_Z': 0.28111}
64 saved {'val_OrigRecLoss': 0.00359, 'val_FeatRecLoss': 0.00123, 'val_kl_Loss_Z': 0.21937}
65 saved {'val_OrigRecLoss': 0.00352, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.20688}
66 saved {'val_OrigRecLoss': 0.00344, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.21261}
67 not saved {'val_OrigRecLoss': 0.00348, 'val_FeatRecLoss': 0.00109, 'val_kl_Loss_Z': 0.1897}
68 saved {'val_OrigRecLoss': 0.00339, 'val_FeatRecLoss': 0.00114, 'val_kl_Loss_Z': 0.1661}
69 not saved {'val_OrigRecLoss': 0.00391, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_Z': 0.16699}
70 saved {'val_OrigRecLoss': 0.0033, 'val_FeatRecLoss': 0.00126, 'val_kl_Loss_Z': 0.18306}
71 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 0.16669}
