1 saved {'val_OrigRecLoss': 0.01163, 'val_FeatRecLoss': 0.00356, 'val_kl_Loss_Z': 4.10891, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 127.01878, 'val_kl_Loss_MI': 5.24095}
2 saved {'val_OrigRecLoss': 0.01152, 'val_FeatRecLoss': 0.00372, 'val_kl_Loss_Z': 2.86996, 'val_kl_Loss_FC': 0.00043, 'val_kl_Loss_TC': 127.2796, 'val_kl_Loss_MI': 5.40645}
3 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00323, 'val_kl_Loss_Z': 11.46157, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 127.80258, 'val_kl_Loss_MI': 5.60035}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00315, 'val_kl_Loss_Z': 9.20711, 'val_kl_Loss_FC': 0.00101, 'val_kl_Loss_TC': 127.71646, 'val_kl_Loss_MI': 5.55753}
5 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00328, 'val_kl_Loss_Z': 7.46943, 'val_kl_Loss_FC': 0.00037, 'val_kl_Loss_TC': 127.94804, 'val_kl_Loss_MI': 5.61371}
6 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00328, 'val_kl_Loss_Z': 22.46052, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 128.13021, 'val_kl_Loss_MI': 5.64977}
7 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00327, 'val_kl_Loss_Z': 15.90671, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 128.25501, 'val_kl_Loss_MI': 5.66871}
8 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00321, 'val_kl_Loss_Z': 3.64314, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 128.44003, 'val_kl_Loss_MI': 5.70251}
9 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00314, 'val_kl_Loss_Z': 7.17396, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 128.46626, 'val_kl_Loss_MI': 5.70429}
10 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00331, 'val_kl_Loss_Z': 7.44705, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 128.63846, 'val_kl_Loss_MI': 5.75346}
11 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00312, 'val_kl_Loss_Z': 2.86761, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 128.86568, 'val_kl_Loss_MI': 5.78971}
12 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00316, 'val_kl_Loss_Z': 5.59115, 'val_kl_Loss_FC': 0.00061, 'val_kl_Loss_TC': 128.80749, 'val_kl_Loss_MI': 5.78}
13 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 4.08066, 'val_kl_Loss_FC': 0.00135, 'val_kl_Loss_TC': 128.99617, 'val_kl_Loss_MI': 5.8204}
14 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 7.46892, 'val_kl_Loss_FC': 0.00037, 'val_kl_Loss_TC': 128.7886, 'val_kl_Loss_MI': 5.77754}
15 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00314, 'val_kl_Loss_Z': 1.29141, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 129.14948, 'val_kl_Loss_MI': 5.85174}
16 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00319, 'val_kl_Loss_Z': 6.19206, 'val_kl_Loss_FC': 0.0005, 'val_kl_Loss_TC': 129.34274, 'val_kl_Loss_MI': 5.88862}
17 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 3.05802, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 129.0158, 'val_kl_Loss_MI': 5.82594}
18 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 7.62788, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 129.08104, 'val_kl_Loss_MI': 5.84945}
19 saved {'val_OrigRecLoss': 0.01136, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 4.1553, 'val_kl_Loss_FC': 0.00151, 'val_kl_Loss_TC': 129.26424, 'val_kl_Loss_MI': 5.87683}
20 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 5.74687, 'val_kl_Loss_FC': 0.00091, 'val_kl_Loss_TC': 129.02668, 'val_kl_Loss_MI': 5.8364}
21 saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 7.33399, 'val_kl_Loss_FC': 0.00061, 'val_kl_Loss_TC': 129.37547, 'val_kl_Loss_MI': 5.90872}
22 saved {'val_OrigRecLoss': 0.0113, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 13.50659, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 129.13671, 'val_kl_Loss_MI': 5.87112}
23 saved {'val_OrigRecLoss': 0.01129, 'val_FeatRecLoss': 0.00312, 'val_kl_Loss_Z': 10.17583, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 128.86674, 'val_kl_Loss_MI': 5.8127}
24 saved {'val_OrigRecLoss': 0.01128, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 13.44441, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 129.04207, 'val_kl_Loss_MI': 5.861}
25 saved {'val_OrigRecLoss': 0.01127, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 11.12894, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 129.24809, 'val_kl_Loss_MI': 5.89416}
26 saved {'val_OrigRecLoss': 0.01126, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 12.70856, 'val_kl_Loss_FC': 0.00139, 'val_kl_Loss_TC': 128.99259, 'val_kl_Loss_MI': 5.8505}
27 saved {'val_OrigRecLoss': 0.01123, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 1.44118, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 128.86235, 'val_kl_Loss_MI': 5.82798}
28 saved {'val_OrigRecLoss': 0.01119, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 8.57312, 'val_kl_Loss_FC': 0.001, 'val_kl_Loss_TC': 128.89918, 'val_kl_Loss_MI': 5.84067}
29 saved {'val_OrigRecLoss': 0.01114, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 3.09393, 'val_kl_Loss_FC': 0.00048, 'val_kl_Loss_TC': 128.81741, 'val_kl_Loss_MI': 5.82838}
30 not saved {'val_OrigRecLoss': 0.01122, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 2.10792, 'val_kl_Loss_FC': 0.00035, 'val_kl_Loss_TC': 128.65889, 'val_kl_Loss_MI': 5.79365}
31 saved {'val_OrigRecLoss': 0.011, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 2.76352, 'val_kl_Loss_FC': 0.0005, 'val_kl_Loss_TC': 128.57493, 'val_kl_Loss_MI': 5.78329}
32 saved {'val_OrigRecLoss': 0.01091, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 1.33922, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 128.63476, 'val_kl_Loss_MI': 5.80089}
33 saved {'val_OrigRecLoss': 0.01077, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 4.63925, 'val_kl_Loss_FC': 0.00045, 'val_kl_Loss_TC': 128.59118, 'val_kl_Loss_MI': 5.79242}
34 saved {'val_OrigRecLoss': 0.01043, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 2.43237, 'val_kl_Loss_FC': 0.00074, 'val_kl_Loss_TC': 128.51999, 'val_kl_Loss_MI': 5.77791}
35 saved {'val_OrigRecLoss': 0.00993, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 2.58413, 'val_kl_Loss_FC': 0.00048, 'val_kl_Loss_TC': 128.46566, 'val_kl_Loss_MI': 5.77426}
36 saved {'val_OrigRecLoss': 0.00923, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 3.23241, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 128.75301, 'val_kl_Loss_MI': 5.83638}
37 saved {'val_OrigRecLoss': 0.00872, 'val_FeatRecLoss': 0.00313, 'val_kl_Loss_Z': 4.39069, 'val_kl_Loss_FC': 0.00039, 'val_kl_Loss_TC': 128.74917, 'val_kl_Loss_MI': 5.83506}
38 saved {'val_OrigRecLoss': 0.0082, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 4.93227, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 128.60361, 'val_kl_Loss_MI': 5.81138}
39 saved {'val_OrigRecLoss': 0.00707, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 6.67012, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 128.53602, 'val_kl_Loss_MI': 5.79652}
40 saved {'val_OrigRecLoss': 0.00638, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 5.16302, 'val_kl_Loss_FC': 0.00028, 'val_kl_Loss_TC': 128.55289, 'val_kl_Loss_MI': 5.80435}
41 saved {'val_OrigRecLoss': 0.00556, 'val_FeatRecLoss': 0.00316, 'val_kl_Loss_Z': 4.52981, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 128.74821, 'val_kl_Loss_MI': 5.83876}
42 saved {'val_OrigRecLoss': 0.005, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 4.41431, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 128.51945, 'val_kl_Loss_MI': 5.79505}
43 saved {'val_OrigRecLoss': 0.00483, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 6.39514, 'val_kl_Loss_FC': 0.00054, 'val_kl_Loss_TC': 128.30644, 'val_kl_Loss_MI': 5.74747}
44 saved {'val_OrigRecLoss': 0.00442, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 2.17983, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 128.41767, 'val_kl_Loss_MI': 5.77866}
45 saved {'val_OrigRecLoss': 0.0041, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 3.04422, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 128.2506, 'val_kl_Loss_MI': 5.73731}
46 saved {'val_OrigRecLoss': 0.00388, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 3.24911, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 128.22066, 'val_kl_Loss_MI': 5.72722}
47 saved {'val_OrigRecLoss': 0.00374, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 3.24044, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 128.71331, 'val_kl_Loss_MI': 5.85316}
48 saved {'val_OrigRecLoss': 0.00359, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 6.95735, 'val_kl_Loss_FC': 0.00035, 'val_kl_Loss_TC': 128.49415, 'val_kl_Loss_MI': 5.80321}
49 not saved {'val_OrigRecLoss': 0.00364, 'val_FeatRecLoss': 0.00311, 'val_kl_Loss_Z': 5.62201, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 128.35629, 'val_kl_Loss_MI': 5.7695}
50 not saved {'val_OrigRecLoss': 0.00372, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 1.87565, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 128.6675, 'val_kl_Loss_MI': 5.84425}
51 saved {'val_OrigRecLoss': 0.0034, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 4.7726, 'val_kl_Loss_FC': 0.00071, 'val_kl_Loss_TC': 128.45696, 'val_kl_Loss_MI': 5.79968}
52 saved {'val_OrigRecLoss': 0.0033, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 8.77849, 'val_kl_Loss_FC': 0.0003, 'val_kl_Loss_TC': 128.60016, 'val_kl_Loss_MI': 5.83352}
53 saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.0031, 'val_kl_Loss_Z': 1.31776, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 128.2264, 'val_kl_Loss_MI': 5.74809}
54 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 5.77539, 'val_kl_Loss_FC': 0.00041, 'val_kl_Loss_TC': 128.2335, 'val_kl_Loss_MI': 5.7579}
55 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 10.47507, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 128.43216, 'val_kl_Loss_MI': 5.81138}
56 not saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00315, 'val_kl_Loss_Z': 2.40821, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 128.79369, 'val_kl_Loss_MI': 5.89025}
57 saved {'val_OrigRecLoss': 0.00311, 'val_FeatRecLoss': 0.00308, 'val_kl_Loss_Z': 6.72905, 'val_kl_Loss_FC': 0.00021, 'val_kl_Loss_TC': 128.27922, 'val_kl_Loss_MI': 5.77399}
58 saved {'val_OrigRecLoss': 0.00297, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 1.5964, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 128.20823, 'val_kl_Loss_MI': 5.76071}
59 not saved {'val_OrigRecLoss': 0.00292, 'val_FeatRecLoss': 0.00316, 'val_kl_Loss_Z': 3.87039, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 128.38444, 'val_kl_Loss_MI': 5.81904}
60 saved {'val_OrigRecLoss': 0.00288, 'val_FeatRecLoss': 0.00309, 'val_kl_Loss_Z': 3.04616, 'val_kl_Loss_FC': 0.00026, 'val_kl_Loss_TC': 128.29014, 'val_kl_Loss_MI': 5.78541}
