1 saved {'val_OrigRecLoss': 0.0118, 'val_FeatRecLoss': 0.00365, 'val_kl_Loss_Z': 1.24372, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 123.81673, 'val_kl_Loss_MI': 5.02296}
2 saved {'val_OrigRecLoss': 0.01155, 'val_FeatRecLoss': 0.00317, 'val_kl_Loss_Z': 0.77236, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 124.44107, 'val_kl_Loss_MI': 5.35523}
3 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.96558, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.1473, 'val_kl_Loss_MI': 5.56118}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.71155, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 125.52761, 'val_kl_Loss_MI': 5.63986}
5 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 1.13362, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.72928, 'val_kl_Loss_MI': 5.68029}
6 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.82028, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.84399, 'val_kl_Loss_MI': 5.70311}
7 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.95138, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.00934, 'val_kl_Loss_MI': 5.73245}
8 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.52758, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.89382, 'val_kl_Loss_MI': 5.71451}
9 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.5406, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.07813, 'val_kl_Loss_MI': 5.74601}
10 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 1.3925, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.0724, 'val_kl_Loss_MI': 5.74801}
11 not saved {'val_OrigRecLoss': 0.01155, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.52518, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 125.96002, 'val_kl_Loss_MI': 5.72966}
12 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.89619, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.09964, 'val_kl_Loss_MI': 5.75404}
13 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 2.19551, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.03368, 'val_kl_Loss_MI': 5.743}
14 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 2.06835, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.97768, 'val_kl_Loss_MI': 5.7371}
15 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.61276, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.02048, 'val_kl_Loss_MI': 5.74304}
16 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.63958, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.08166, 'val_kl_Loss_MI': 5.75664}
17 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.70879, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.05233, 'val_kl_Loss_MI': 5.75147}
18 not saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.66061, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.36585, 'val_kl_Loss_MI': 5.80377}
19 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 1.39818, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.10259, 'val_kl_Loss_MI': 5.76338}
