1 saved {'val_OrigRecLoss': 0.01169, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 10.44276, 'val_kl_Loss_FC': 0.03188, 'val_kl_Loss_TC': 222.37944, 'val_kl_Loss_MI': 5.62452}
2 saved {'val_OrigRecLoss': 0.0116, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 2.5422, 'val_kl_Loss_FC': 0.00356, 'val_kl_Loss_TC': 222.52638, 'val_kl_Loss_MI': 5.67392}
3 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00179, 'val_kl_Loss_Z': 11.11587, 'val_kl_Loss_FC': 0.00409, 'val_kl_Loss_TC': 222.74526, 'val_kl_Loss_MI': 5.73492}
4 not saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00163, 'val_kl_Loss_Z': 2.5111, 'val_kl_Loss_FC': 0.00466, 'val_kl_Loss_TC': 222.99594, 'val_kl_Loss_MI': 5.78629}
5 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00187, 'val_kl_Loss_Z': 2.46532, 'val_kl_Loss_FC': 0.00528, 'val_kl_Loss_TC': 222.84993, 'val_kl_Loss_MI': 5.7542}
6 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00159, 'val_kl_Loss_Z': 7.22691, 'val_kl_Loss_FC': 0.00587, 'val_kl_Loss_TC': 223.36208, 'val_kl_Loss_MI': 5.82898}
7 not saved {'val_OrigRecLoss': 0.01153, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 6.00853, 'val_kl_Loss_FC': 0.0064, 'val_kl_Loss_TC': 223.66519, 'val_kl_Loss_MI': 5.87099}
8 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00167, 'val_kl_Loss_Z': 6.63735, 'val_kl_Loss_FC': 0.00685, 'val_kl_Loss_TC': 223.83025, 'val_kl_Loss_MI': 5.88211}
9 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 4.44321, 'val_kl_Loss_FC': 0.00719, 'val_kl_Loss_TC': 223.8644, 'val_kl_Loss_MI': 5.88896}
10 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00155, 'val_kl_Loss_Z': 5.46683, 'val_kl_Loss_FC': 0.00744, 'val_kl_Loss_TC': 223.94403, 'val_kl_Loss_MI': 5.88628}
11 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00152, 'val_kl_Loss_Z': 6.45811, 'val_kl_Loss_FC': 0.00758, 'val_kl_Loss_TC': 224.02634, 'val_kl_Loss_MI': 5.89133}
12 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00151, 'val_kl_Loss_Z': 5.08773, 'val_kl_Loss_FC': 0.0076, 'val_kl_Loss_TC': 223.83663, 'val_kl_Loss_MI': 5.86761}
13 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 17.51362, 'val_kl_Loss_FC': 0.00748, 'val_kl_Loss_TC': 223.99916, 'val_kl_Loss_MI': 5.89223}
14 saved {'val_OrigRecLoss': 0.01128, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 2.55752, 'val_kl_Loss_FC': 0.00721, 'val_kl_Loss_TC': 223.741, 'val_kl_Loss_MI': 5.85926}
15 saved {'val_OrigRecLoss': 0.01116, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 3.89711, 'val_kl_Loss_FC': 0.00655, 'val_kl_Loss_TC': 223.7903, 'val_kl_Loss_MI': 5.85537}
16 saved {'val_OrigRecLoss': 0.01072, 'val_FeatRecLoss': 0.00168, 'val_kl_Loss_Z': 9.68098, 'val_kl_Loss_FC': 0.00467, 'val_kl_Loss_TC': 223.78965, 'val_kl_Loss_MI': 5.85956}
17 saved {'val_OrigRecLoss': 0.00971, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_Z': 8.74656, 'val_kl_Loss_FC': 0.00231, 'val_kl_Loss_TC': 224.31031, 'val_kl_Loss_MI': 5.92712}
18 saved {'val_OrigRecLoss': 0.00804, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 2.42301, 'val_kl_Loss_FC': 0.00508, 'val_kl_Loss_TC': 224.25403, 'val_kl_Loss_MI': 5.91045}
19 saved {'val_OrigRecLoss': 0.00649, 'val_FeatRecLoss': 0.00202, 'val_kl_Loss_Z': 5.79532, 'val_kl_Loss_FC': 0.01122, 'val_kl_Loss_TC': 223.77521, 'val_kl_Loss_MI': 5.85267}
20 saved {'val_OrigRecLoss': 0.00561, 'val_FeatRecLoss': 0.00202, 'val_kl_Loss_Z': 2.49089, 'val_kl_Loss_FC': 0.01418, 'val_kl_Loss_TC': 224.49924, 'val_kl_Loss_MI': 5.94497}
21 saved {'val_OrigRecLoss': 0.00527, 'val_FeatRecLoss': 0.00202, 'val_kl_Loss_Z': 2.60626, 'val_kl_Loss_FC': 0.01501, 'val_kl_Loss_TC': 224.17546, 'val_kl_Loss_MI': 5.90226}
22 saved {'val_OrigRecLoss': 0.00482, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_Z': 4.34486, 'val_kl_Loss_FC': 0.01492, 'val_kl_Loss_TC': 224.77573, 'val_kl_Loss_MI': 5.98547}
23 saved {'val_OrigRecLoss': 0.00459, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 13.21513, 'val_kl_Loss_FC': 0.01385, 'val_kl_Loss_TC': 224.91582, 'val_kl_Loss_MI': 5.9951}
24 saved {'val_OrigRecLoss': 0.00444, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 13.8164, 'val_kl_Loss_FC': 0.01269, 'val_kl_Loss_TC': 224.88906, 'val_kl_Loss_MI': 5.99056}
25 saved {'val_OrigRecLoss': 0.0043, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 14.5115, 'val_kl_Loss_FC': 0.01139, 'val_kl_Loss_TC': 224.30359, 'val_kl_Loss_MI': 5.92497}
26 saved {'val_OrigRecLoss': 0.0041, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 6.25232, 'val_kl_Loss_FC': 0.00986, 'val_kl_Loss_TC': 224.37187, 'val_kl_Loss_MI': 5.93509}
27 saved {'val_OrigRecLoss': 0.00404, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 11.48498, 'val_kl_Loss_FC': 0.00797, 'val_kl_Loss_TC': 225.44996, 'val_kl_Loss_MI': 6.05717}
28 saved {'val_OrigRecLoss': 0.00389, 'val_FeatRecLoss': 0.00205, 'val_kl_Loss_Z': 9.8792, 'val_kl_Loss_FC': 0.00617, 'val_kl_Loss_TC': 225.20213, 'val_kl_Loss_MI': 6.01967}
29 saved {'val_OrigRecLoss': 0.00373, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_Z': 6.80261, 'val_kl_Loss_FC': 0.00437, 'val_kl_Loss_TC': 224.12453, 'val_kl_Loss_MI': 5.89973}
30 saved {'val_OrigRecLoss': 0.00367, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_Z': 2.07848, 'val_kl_Loss_FC': 0.00298, 'val_kl_Loss_TC': 224.34829, 'val_kl_Loss_MI': 5.92894}
31 not saved {'val_OrigRecLoss': 0.00377, 'val_FeatRecLoss': 0.0018, 'val_kl_Loss_Z': 15.7657, 'val_kl_Loss_FC': 0.00195, 'val_kl_Loss_TC': 223.92516, 'val_kl_Loss_MI': 5.88644}
32 saved {'val_OrigRecLoss': 0.0035, 'val_FeatRecLoss': 0.00176, 'val_kl_Loss_Z': 6.93188, 'val_kl_Loss_FC': 0.00185, 'val_kl_Loss_TC': 224.0425, 'val_kl_Loss_MI': 5.90333}
33 saved {'val_OrigRecLoss': 0.00331, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_Z': 14.88577, 'val_kl_Loss_FC': 0.00219, 'val_kl_Loss_TC': 224.71658, 'val_kl_Loss_MI': 5.98461}
34 saved {'val_OrigRecLoss': 0.00329, 'val_FeatRecLoss': 0.00174, 'val_kl_Loss_Z': 7.24101, 'val_kl_Loss_FC': 0.00138, 'val_kl_Loss_TC': 223.88701, 'val_kl_Loss_MI': 5.89149}
35 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00165, 'val_kl_Loss_Z': 7.61846, 'val_kl_Loss_FC': 0.00431, 'val_kl_Loss_TC': 224.93633, 'val_kl_Loss_MI': 6.02356}
36 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00167, 'val_kl_Loss_Z': 3.63017, 'val_kl_Loss_FC': 0.00213, 'val_kl_Loss_TC': 224.1793, 'val_kl_Loss_MI': 5.93749}
37 not saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00166, 'val_kl_Loss_Z': 5.98327, 'val_kl_Loss_FC': 0.00168, 'val_kl_Loss_TC': 224.04193, 'val_kl_Loss_MI': 5.93099}
38 saved {'val_OrigRecLoss': 0.00305, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 18.91797, 'val_kl_Loss_FC': 0.00312, 'val_kl_Loss_TC': 223.7624, 'val_kl_Loss_MI': 5.89641}
39 saved {'val_OrigRecLoss': 0.00304, 'val_FeatRecLoss': 0.00167, 'val_kl_Loss_Z': 4.51804, 'val_kl_Loss_FC': 0.00201, 'val_kl_Loss_TC': 223.63283, 'val_kl_Loss_MI': 5.89}
40 saved {'val_OrigRecLoss': 0.0029, 'val_FeatRecLoss': 0.00163, 'val_kl_Loss_Z': 2.14084, 'val_kl_Loss_FC': 0.00214, 'val_kl_Loss_TC': 223.74387, 'val_kl_Loss_MI': 5.91449}
41 saved {'val_OrigRecLoss': 0.0028, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 7.05011, 'val_kl_Loss_FC': 0.00244, 'val_kl_Loss_TC': 223.85745, 'val_kl_Loss_MI': 5.93248}
42 not saved {'val_OrigRecLoss': 0.00283, 'val_FeatRecLoss': 0.00176, 'val_kl_Loss_Z': 6.90262, 'val_kl_Loss_FC': 0.00234, 'val_kl_Loss_TC': 225.01061, 'val_kl_Loss_MI': 6.02697}
43 saved {'val_OrigRecLoss': 0.00273, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 14.6517, 'val_kl_Loss_FC': 0.00294, 'val_kl_Loss_TC': 223.7082, 'val_kl_Loss_MI': 5.91468}
44 saved {'val_OrigRecLoss': 0.00269, 'val_FeatRecLoss': 0.00163, 'val_kl_Loss_Z': 4.95795, 'val_kl_Loss_FC': 0.00282, 'val_kl_Loss_TC': 223.82333, 'val_kl_Loss_MI': 5.93875}
45 saved {'val_OrigRecLoss': 0.00263, 'val_FeatRecLoss': 0.00167, 'val_kl_Loss_Z': 4.31918, 'val_kl_Loss_FC': 0.00325, 'val_kl_Loss_TC': 223.48153, 'val_kl_Loss_MI': 5.89495}
46 saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00161, 'val_kl_Loss_Z': 18.22229, 'val_kl_Loss_FC': 0.00352, 'val_kl_Loss_TC': 223.91208, 'val_kl_Loss_MI': 5.96105}
47 saved {'val_OrigRecLoss': 0.00256, 'val_FeatRecLoss': 0.00159, 'val_kl_Loss_Z': 2.06192, 'val_kl_Loss_FC': 0.00355, 'val_kl_Loss_TC': 223.80855, 'val_kl_Loss_MI': 5.96128}
48 saved {'val_OrigRecLoss': 0.00252, 'val_FeatRecLoss': 0.00159, 'val_kl_Loss_Z': 10.72996, 'val_kl_Loss_FC': 0.00368, 'val_kl_Loss_TC': 223.21893, 'val_kl_Loss_MI': 5.85477}
49 not saved {'val_OrigRecLoss': 0.00255, 'val_FeatRecLoss': 0.00163, 'val_kl_Loss_Z': 3.17453, 'val_kl_Loss_FC': 0.00384, 'val_kl_Loss_TC': 223.49332, 'val_kl_Loss_MI': 5.92393}
50 not saved {'val_OrigRecLoss': 0.00254, 'val_FeatRecLoss': 0.00158, 'val_kl_Loss_Z': 5.44703, 'val_kl_Loss_FC': 0.00383, 'val_kl_Loss_TC': 223.25587, 'val_kl_Loss_MI': 5.8808}
51 saved {'val_OrigRecLoss': 0.00238, 'val_FeatRecLoss': 0.00157, 'val_kl_Loss_Z': 5.9586, 'val_kl_Loss_FC': 0.00385, 'val_kl_Loss_TC': 223.31397, 'val_kl_Loss_MI': 5.90259}
52 not saved {'val_OrigRecLoss': 0.00252, 'val_FeatRecLoss': 0.0016, 'val_kl_Loss_Z': 3.35768, 'val_kl_Loss_FC': 0.0042, 'val_kl_Loss_TC': 223.20152, 'val_kl_Loss_MI': 5.87381}
53 saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.00158, 'val_kl_Loss_Z': 13.05413, 'val_kl_Loss_FC': 0.00402, 'val_kl_Loss_TC': 223.30253, 'val_kl_Loss_MI': 5.91008}
54 not saved {'val_OrigRecLoss': 0.00231, 'val_FeatRecLoss': 0.00156, 'val_kl_Loss_Z': 4.05289, 'val_kl_Loss_FC': 0.00447, 'val_kl_Loss_TC': 223.25399, 'val_kl_Loss_MI': 5.90649}
55 saved {'val_OrigRecLoss': 0.00226, 'val_FeatRecLoss': 0.00158, 'val_kl_Loss_Z': 2.22081, 'val_kl_Loss_FC': 0.00422, 'val_kl_Loss_TC': 223.04895, 'val_kl_Loss_MI': 5.86512}
56 not saved {'val_OrigRecLoss': 0.00232, 'val_FeatRecLoss': 0.00159, 'val_kl_Loss_Z': 8.99074, 'val_kl_Loss_FC': 0.00465, 'val_kl_Loss_TC': 223.32378, 'val_kl_Loss_MI': 5.91567}
