1 saved {'val_OrigRecLoss': 0.01162, 'val_FeatRecLoss': 0.00264, 'val_kl_Loss_Z': 7.10917, 'val_kl_Loss_FC': 0.0132, 'val_kl_Loss_TC': 221.11996, 'val_kl_Loss_MI': 5.05414}
2 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_Z': 8.28189, 'val_kl_Loss_FC': 0.01387, 'val_kl_Loss_TC': 221.74316, 'val_kl_Loss_MI': 5.41251}
3 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00171, 'val_kl_Loss_Z': 5.77862, 'val_kl_Loss_FC': 0.01395, 'val_kl_Loss_TC': 222.34182, 'val_kl_Loss_MI': 5.59868}
4 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00156, 'val_kl_Loss_Z': 2.84898, 'val_kl_Loss_FC': 0.01375, 'val_kl_Loss_TC': 222.65358, 'val_kl_Loss_MI': 5.67252}
5 not saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.0016, 'val_kl_Loss_Z': 26.7012, 'val_kl_Loss_FC': 0.01593, 'val_kl_Loss_TC': 223.14225, 'val_kl_Loss_MI': 5.76645}
6 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00149, 'val_kl_Loss_Z': 5.99967, 'val_kl_Loss_FC': 0.01345, 'val_kl_Loss_TC': 223.06435, 'val_kl_Loss_MI': 5.74928}
7 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00151, 'val_kl_Loss_Z': 5.39877, 'val_kl_Loss_FC': 0.0138, 'val_kl_Loss_TC': 223.91553, 'val_kl_Loss_MI': 5.87891}
8 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 14.54241, 'val_kl_Loss_FC': 0.01545, 'val_kl_Loss_TC': 224.46083, 'val_kl_Loss_MI': 5.94927}
9 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.00144, 'val_kl_Loss_Z': 8.07288, 'val_kl_Loss_FC': 0.01242, 'val_kl_Loss_TC': 224.15178, 'val_kl_Loss_MI': 5.90872}
10 saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 13.27685, 'val_kl_Loss_FC': 0.01397, 'val_kl_Loss_TC': 223.82405, 'val_kl_Loss_MI': 5.86457}
11 saved {'val_OrigRecLoss': 0.01121, 'val_FeatRecLoss': 0.00144, 'val_kl_Loss_Z': 9.54243, 'val_kl_Loss_FC': 0.01248, 'val_kl_Loss_TC': 223.72977, 'val_kl_Loss_MI': 5.85036}
12 saved {'val_OrigRecLoss': 0.01106, 'val_FeatRecLoss': 0.00152, 'val_kl_Loss_Z': 9.72458, 'val_kl_Loss_FC': 0.00864, 'val_kl_Loss_TC': 224.03049, 'val_kl_Loss_MI': 5.89187}
13 saved {'val_OrigRecLoss': 0.01052, 'val_FeatRecLoss': 0.00171, 'val_kl_Loss_Z': 6.71255, 'val_kl_Loss_FC': 0.00298, 'val_kl_Loss_TC': 224.34848, 'val_kl_Loss_MI': 5.93226}
14 saved {'val_OrigRecLoss': 0.00952, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 18.25914, 'val_kl_Loss_FC': 0.01969, 'val_kl_Loss_TC': 224.18038, 'val_kl_Loss_MI': 5.9135}
15 saved {'val_OrigRecLoss': 0.00734, 'val_FeatRecLoss': 0.00219, 'val_kl_Loss_Z': 2.69668, 'val_kl_Loss_FC': 0.0397, 'val_kl_Loss_TC': 224.12727, 'val_kl_Loss_MI': 5.89969}
16 saved {'val_OrigRecLoss': 0.00634, 'val_FeatRecLoss': 0.0021, 'val_kl_Loss_Z': 12.37242, 'val_kl_Loss_FC': 0.04105, 'val_kl_Loss_TC': 223.94511, 'val_kl_Loss_MI': 5.8786}
17 saved {'val_OrigRecLoss': 0.00565, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 3.29428, 'val_kl_Loss_FC': 0.03606, 'val_kl_Loss_TC': 224.19133, 'val_kl_Loss_MI': 5.90626}
18 saved {'val_OrigRecLoss': 0.00506, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 5.75966, 'val_kl_Loss_FC': 0.04101, 'val_kl_Loss_TC': 223.95734, 'val_kl_Loss_MI': 5.87418}
19 saved {'val_OrigRecLoss': 0.00465, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_Z': 3.54517, 'val_kl_Loss_FC': 0.04541, 'val_kl_Loss_TC': 224.67442, 'val_kl_Loss_MI': 5.95962}
20 saved {'val_OrigRecLoss': 0.00448, 'val_FeatRecLoss': 0.00186, 'val_kl_Loss_Z': 2.69228, 'val_kl_Loss_FC': 0.03719, 'val_kl_Loss_TC': 224.25879, 'val_kl_Loss_MI': 5.91157}
21 not saved {'val_OrigRecLoss': 0.00451, 'val_FeatRecLoss': 0.00181, 'val_kl_Loss_Z': 23.20446, 'val_kl_Loss_FC': 0.03795, 'val_kl_Loss_TC': 224.49596, 'val_kl_Loss_MI': 5.9455}
22 saved {'val_OrigRecLoss': 0.0044, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_Z': 12.04934, 'val_kl_Loss_FC': 0.03724, 'val_kl_Loss_TC': 224.57438, 'val_kl_Loss_MI': 5.94519}
23 saved {'val_OrigRecLoss': 0.00406, 'val_FeatRecLoss': 0.00182, 'val_kl_Loss_Z': 9.27072, 'val_kl_Loss_FC': 0.03385, 'val_kl_Loss_TC': 224.72002, 'val_kl_Loss_MI': 5.95975}
24 not saved {'val_OrigRecLoss': 0.00411, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_Z': 9.18874, 'val_kl_Loss_FC': 0.02235, 'val_kl_Loss_TC': 224.18833, 'val_kl_Loss_MI': 5.89428}
25 saved {'val_OrigRecLoss': 0.00398, 'val_FeatRecLoss': 0.00184, 'val_kl_Loss_Z': 5.35998, 'val_kl_Loss_FC': 0.02257, 'val_kl_Loss_TC': 224.21131, 'val_kl_Loss_MI': 5.89315}
26 saved {'val_OrigRecLoss': 0.00388, 'val_FeatRecLoss': 0.0018, 'val_kl_Loss_Z': 13.78407, 'val_kl_Loss_FC': 0.02023, 'val_kl_Loss_TC': 224.2188, 'val_kl_Loss_MI': 5.8939}
27 saved {'val_OrigRecLoss': 0.00378, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 19.9374, 'val_kl_Loss_FC': 0.0206, 'val_kl_Loss_TC': 224.738, 'val_kl_Loss_MI': 5.95939}
28 saved {'val_OrigRecLoss': 0.00372, 'val_FeatRecLoss': 0.00175, 'val_kl_Loss_Z': 16.28854, 'val_kl_Loss_FC': 0.01634, 'val_kl_Loss_TC': 224.73503, 'val_kl_Loss_MI': 5.96439}
29 saved {'val_OrigRecLoss': 0.00369, 'val_FeatRecLoss': 0.00185, 'val_kl_Loss_Z': 5.31036, 'val_kl_Loss_FC': 0.01429, 'val_kl_Loss_TC': 224.7002, 'val_kl_Loss_MI': 5.96212}
30 saved {'val_OrigRecLoss': 0.00362, 'val_FeatRecLoss': 0.00177, 'val_kl_Loss_Z': 12.57728, 'val_kl_Loss_FC': 0.00863, 'val_kl_Loss_TC': 224.65177, 'val_kl_Loss_MI': 5.95951}
31 saved {'val_OrigRecLoss': 0.00353, 'val_FeatRecLoss': 0.00176, 'val_kl_Loss_Z': 19.48147, 'val_kl_Loss_FC': 0.00738, 'val_kl_Loss_TC': 225.15661, 'val_kl_Loss_MI': 6.01901}
32 saved {'val_OrigRecLoss': 0.00338, 'val_FeatRecLoss': 0.00175, 'val_kl_Loss_Z': 5.74664, 'val_kl_Loss_FC': 0.00535, 'val_kl_Loss_TC': 224.96069, 'val_kl_Loss_MI': 5.98831}
33 saved {'val_OrigRecLoss': 0.00328, 'val_FeatRecLoss': 0.00171, 'val_kl_Loss_Z': 15.59839, 'val_kl_Loss_FC': 0.00427, 'val_kl_Loss_TC': 224.72945, 'val_kl_Loss_MI': 5.97829}
34 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 10.79218, 'val_kl_Loss_FC': 0.00347, 'val_kl_Loss_TC': 225.30286, 'val_kl_Loss_MI': 6.0373}
35 saved {'val_OrigRecLoss': 0.00311, 'val_FeatRecLoss': 0.00172, 'val_kl_Loss_Z': 4.02025, 'val_kl_Loss_FC': 0.00535, 'val_kl_Loss_TC': 225.14312, 'val_kl_Loss_MI': 6.01938}
36 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00162, 'val_kl_Loss_Z': 4.45444, 'val_kl_Loss_FC': 0.00454, 'val_kl_Loss_TC': 224.93501, 'val_kl_Loss_MI': 5.99812}
37 saved {'val_OrigRecLoss': 0.00302, 'val_FeatRecLoss': 0.00164, 'val_kl_Loss_Z': 7.84604, 'val_kl_Loss_FC': 0.00334, 'val_kl_Loss_TC': 224.87781, 'val_kl_Loss_MI': 5.98967}
38 saved {'val_OrigRecLoss': 0.00291, 'val_FeatRecLoss': 0.00165, 'val_kl_Loss_Z': 15.18666, 'val_kl_Loss_FC': 0.00427, 'val_kl_Loss_TC': 224.74744, 'val_kl_Loss_MI': 5.97858}
39 not saved {'val_OrigRecLoss': 0.00296, 'val_FeatRecLoss': 0.00157, 'val_kl_Loss_Z': 11.86268, 'val_kl_Loss_FC': 0.00517, 'val_kl_Loss_TC': 225.15243, 'val_kl_Loss_MI': 6.02942}
40 saved {'val_OrigRecLoss': 0.00287, 'val_FeatRecLoss': 0.0016, 'val_kl_Loss_Z': 4.80193, 'val_kl_Loss_FC': 0.0035, 'val_kl_Loss_TC': 224.99975, 'val_kl_Loss_MI': 6.00972}
41 not saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00157, 'val_kl_Loss_Z': 7.78753, 'val_kl_Loss_FC': 0.00481, 'val_kl_Loss_TC': 224.81727, 'val_kl_Loss_MI': 5.99059}
42 saved {'val_OrigRecLoss': 0.00279, 'val_FeatRecLoss': 0.00154, 'val_kl_Loss_Z': 10.62354, 'val_kl_Loss_FC': 0.00639, 'val_kl_Loss_TC': 225.27116, 'val_kl_Loss_MI': 6.04589}
43 saved {'val_OrigRecLoss': 0.00263, 'val_FeatRecLoss': 0.00159, 'val_kl_Loss_Z': 8.2157, 'val_kl_Loss_FC': 0.00415, 'val_kl_Loss_TC': 225.09387, 'val_kl_Loss_MI': 6.02549}
44 saved {'val_OrigRecLoss': 0.00263, 'val_FeatRecLoss': 0.00152, 'val_kl_Loss_Z': 4.06794, 'val_kl_Loss_FC': 0.00614, 'val_kl_Loss_TC': 224.58898, 'val_kl_Loss_MI': 5.97215}
45 saved {'val_OrigRecLoss': 0.00259, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 10.01857, 'val_kl_Loss_FC': 0.00671, 'val_kl_Loss_TC': 224.34647, 'val_kl_Loss_MI': 5.94545}
46 saved {'val_OrigRecLoss': 0.00253, 'val_FeatRecLoss': 0.00156, 'val_kl_Loss_Z': 5.51165, 'val_kl_Loss_FC': 0.0063, 'val_kl_Loss_TC': 224.20751, 'val_kl_Loss_MI': 5.93086}
47 saved {'val_OrigRecLoss': 0.00251, 'val_FeatRecLoss': 0.00151, 'val_kl_Loss_Z': 11.64119, 'val_kl_Loss_FC': 0.00741, 'val_kl_Loss_TC': 224.25391, 'val_kl_Loss_MI': 5.94223}
48 saved {'val_OrigRecLoss': 0.00242, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 3.9389, 'val_kl_Loss_FC': 0.00657, 'val_kl_Loss_TC': 224.01071, 'val_kl_Loss_MI': 5.91184}
49 not saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00149, 'val_kl_Loss_Z': 3.80385, 'val_kl_Loss_FC': 0.00742, 'val_kl_Loss_TC': 223.93225, 'val_kl_Loss_MI': 5.90074}
50 saved {'val_OrigRecLoss': 0.00238, 'val_FeatRecLoss': 0.00152, 'val_kl_Loss_Z': 9.48251, 'val_kl_Loss_FC': 0.00622, 'val_kl_Loss_TC': 223.76342, 'val_kl_Loss_MI': 5.88191}
51 saved {'val_OrigRecLoss': 0.00234, 'val_FeatRecLoss': 0.00152, 'val_kl_Loss_Z': 22.16164, 'val_kl_Loss_FC': 0.00627, 'val_kl_Loss_TC': 223.69447, 'val_kl_Loss_MI': 5.8763}
52 saved {'val_OrigRecLoss': 0.00231, 'val_FeatRecLoss': 0.00149, 'val_kl_Loss_Z': 14.45773, 'val_kl_Loss_FC': 0.00778, 'val_kl_Loss_TC': 224.0056, 'val_kl_Loss_MI': 5.9197}
53 saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.00153, 'val_kl_Loss_Z': 16.95581, 'val_kl_Loss_FC': 0.0063, 'val_kl_Loss_TC': 224.08868, 'val_kl_Loss_MI': 5.9409}
54 not saved {'val_OrigRecLoss': 0.00242, 'val_FeatRecLoss': 0.00147, 'val_kl_Loss_Z': 4.62059, 'val_kl_Loss_FC': 0.0076, 'val_kl_Loss_TC': 224.55235, 'val_kl_Loss_MI': 6.05274}
55 saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.0015, 'val_kl_Loss_Z': 4.71519, 'val_kl_Loss_FC': 0.00601, 'val_kl_Loss_TC': 224.37407, 'val_kl_Loss_MI': 6.02505}
56 not saved {'val_OrigRecLoss': 0.0023, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 6.9524, 'val_kl_Loss_FC': 0.0096, 'val_kl_Loss_TC': 223.95082, 'val_kl_Loss_MI': 6.0915}
57 saved {'val_OrigRecLoss': 0.00217, 'val_FeatRecLoss': 0.00145, 'val_kl_Loss_Z': 2.70792, 'val_kl_Loss_FC': 0.00742, 'val_kl_Loss_TC': 224.48419, 'val_kl_Loss_MI': 6.17096}
58 not saved {'val_OrigRecLoss': 0.00225, 'val_FeatRecLoss': 0.00143, 'val_kl_Loss_Z': 15.33856, 'val_kl_Loss_FC': 0.00928, 'val_kl_Loss_TC': 224.16488, 'val_kl_Loss_MI': 6.13938}
59 not saved {'val_OrigRecLoss': 0.0022, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 10.00767, 'val_kl_Loss_FC': 0.01152, 'val_kl_Loss_TC': 224.36161, 'val_kl_Loss_MI': 6.15957}
60 not saved {'val_OrigRecLoss': 0.00226, 'val_FeatRecLoss': 0.00139, 'val_kl_Loss_Z': 7.06457, 'val_kl_Loss_FC': 0.0109, 'val_kl_Loss_TC': 224.12317, 'val_kl_Loss_MI': 6.12996}
61 saved {'val_OrigRecLoss': 0.00214, 'val_FeatRecLoss': 0.00142, 'val_kl_Loss_Z': 4.83259, 'val_kl_Loss_FC': 0.00909, 'val_kl_Loss_TC': 224.27194, 'val_kl_Loss_MI': 6.14304}
62 not saved {'val_OrigRecLoss': 0.00218, 'val_FeatRecLoss': 0.00137, 'val_kl_Loss_Z': 2.56548, 'val_kl_Loss_FC': 0.01064, 'val_kl_Loss_TC': 223.86103, 'val_kl_Loss_MI': 6.1076}
63 not saved {'val_OrigRecLoss': 0.0022, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 11.00986, 'val_kl_Loss_FC': 0.00832, 'val_kl_Loss_TC': 223.49418, 'val_kl_Loss_MI': 6.04898}
64 saved {'val_OrigRecLoss': 0.00204, 'val_FeatRecLoss': 0.00141, 'val_kl_Loss_Z': 19.5709, 'val_kl_Loss_FC': 0.00961, 'val_kl_Loss_TC': 223.69845, 'val_kl_Loss_MI': 6.09226}
65 not saved {'val_OrigRecLoss': 0.00206, 'val_FeatRecLoss': 0.00139, 'val_kl_Loss_Z': 2.32408, 'val_kl_Loss_FC': 0.00974, 'val_kl_Loss_TC': 223.77542, 'val_kl_Loss_MI': 6.10588}
66 saved {'val_OrigRecLoss': 0.00202, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 5.01427, 'val_kl_Loss_FC': 0.01111, 'val_kl_Loss_TC': 223.40252, 'val_kl_Loss_MI': 6.04384}
67 saved {'val_OrigRecLoss': 0.00198, 'val_FeatRecLoss': 0.00138, 'val_kl_Loss_Z': 3.31168, 'val_kl_Loss_FC': 0.00994, 'val_kl_Loss_TC': 223.62719, 'val_kl_Loss_MI': 6.08192}
68 not saved {'val_OrigRecLoss': 0.002, 'val_FeatRecLoss': 0.00135, 'val_kl_Loss_Z': 6.46531, 'val_kl_Loss_FC': 0.01124, 'val_kl_Loss_TC': 223.863, 'val_kl_Loss_MI': 6.12573}
69 saved {'val_OrigRecLoss': 0.00197, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 2.61133, 'val_kl_Loss_FC': 0.01132, 'val_kl_Loss_TC': 223.33125, 'val_kl_Loss_MI': 6.03759}
70 not saved {'val_OrigRecLoss': 0.00204, 'val_FeatRecLoss': 0.00143, 'val_kl_Loss_Z': 2.48239, 'val_kl_Loss_FC': 0.00866, 'val_kl_Loss_TC': 224.09274, 'val_kl_Loss_MI': 6.14513}
71 not saved {'val_OrigRecLoss': 0.00206, 'val_FeatRecLoss': 0.00138, 'val_kl_Loss_Z': 6.49588, 'val_kl_Loss_FC': 0.01083, 'val_kl_Loss_TC': 223.38398, 'val_kl_Loss_MI': 6.04464}
72 not saved {'val_OrigRecLoss': 0.00198, 'val_FeatRecLoss': 0.00135, 'val_kl_Loss_Z': 6.24482, 'val_kl_Loss_FC': 0.0115, 'val_kl_Loss_TC': 223.91545, 'val_kl_Loss_MI': 6.13439}
73 saved {'val_OrigRecLoss': 0.00188, 'val_FeatRecLoss': 0.00144, 'val_kl_Loss_Z': 5.69179, 'val_kl_Loss_FC': 0.00717, 'val_kl_Loss_TC': 223.89848, 'val_kl_Loss_MI': 6.12841}
74 not saved {'val_OrigRecLoss': 0.00199, 'val_FeatRecLoss': 0.00139, 'val_kl_Loss_Z': 7.19886, 'val_kl_Loss_FC': 0.00957, 'val_kl_Loss_TC': 223.63948, 'val_kl_Loss_MI': 6.10392}
75 not saved {'val_OrigRecLoss': 0.00188, 'val_FeatRecLoss': 0.00142, 'val_kl_Loss_Z': 4.95092, 'val_kl_Loss_FC': 0.00827, 'val_kl_Loss_TC': 223.38309, 'val_kl_Loss_MI': 6.0526}
76 not saved {'val_OrigRecLoss': 0.00189, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 8.07502, 'val_kl_Loss_FC': 0.01228, 'val_kl_Loss_TC': 223.25548, 'val_kl_Loss_MI': 6.05377}
77 not saved {'val_OrigRecLoss': 0.00191, 'val_FeatRecLoss': 0.00126, 'val_kl_Loss_Z': 3.1811, 'val_kl_Loss_FC': 0.01713, 'val_kl_Loss_TC': 223.53065, 'val_kl_Loss_MI': 6.09551}
78 saved {'val_OrigRecLoss': 0.00184, 'val_FeatRecLoss': 0.00138, 'val_kl_Loss_Z': 4.63243, 'val_kl_Loss_FC': 0.00962, 'val_kl_Loss_TC': 223.27258, 'val_kl_Loss_MI': 6.05442}
79 saved {'val_OrigRecLoss': 0.00183, 'val_FeatRecLoss': 0.00131, 'val_kl_Loss_Z': 6.27978, 'val_kl_Loss_FC': 0.01354, 'val_kl_Loss_TC': 223.69786, 'val_kl_Loss_MI': 6.11693}
80 not saved {'val_OrigRecLoss': 0.00195, 'val_FeatRecLoss': 0.00132, 'val_kl_Loss_Z': 4.54813, 'val_kl_Loss_FC': 0.013, 'val_kl_Loss_TC': 223.36212, 'val_kl_Loss_MI': 6.08451}
81 not saved {'val_OrigRecLoss': 0.00183, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 10.79391, 'val_kl_Loss_FC': 0.01188, 'val_kl_Loss_TC': 223.36104, 'val_kl_Loss_MI': 6.06893}
82 saved {'val_OrigRecLoss': 0.00179, 'val_FeatRecLoss': 0.00133, 'val_kl_Loss_Z': 3.71013, 'val_kl_Loss_FC': 0.0125, 'val_kl_Loss_TC': 223.30439, 'val_kl_Loss_MI': 6.06933}
