1 saved {'val_OrigRecLoss': 0.01169, 'val_FeatRecLoss': 0.00319, 'val_kl_Loss_Z': 0.34716, 'val_kl_Loss_FC': 0.00034, 'val_kl_Loss_TC': 0.01568, 'val_kl_Loss_DTC': 0.00996}
2 saved {'val_OrigRecLoss': 0.01153, 'val_FeatRecLoss': 0.00305, 'val_kl_Loss_Z': 0.22082, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 0.00497, 'val_kl_Loss_DTC': 0.00989}
3 saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00302, 'val_kl_Loss_Z': 0.19535, 'val_kl_Loss_FC': 0.00037, 'val_kl_Loss_TC': 0.00751, 'val_kl_Loss_DTC': 0.00958}
4 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.18501, 'val_kl_Loss_FC': 0.00044, 'val_kl_Loss_TC': 0.00925, 'val_kl_Loss_DTC': 0.00701}
5 not saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.17065, 'val_kl_Loss_FC': 0.00061, 'val_kl_Loss_TC': 0.0031, 'val_kl_Loss_DTC': 0.00085}
6 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 0.16375, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 0.00634, 'val_kl_Loss_DTC': 0.0012}
7 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.15561, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 0.00286, 'val_kl_Loss_DTC': 0.00119}
8 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.14875, 'val_kl_Loss_FC': 0.00035, 'val_kl_Loss_TC': 0.00765, 'val_kl_Loss_DTC': 0.00088}
9 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.14211, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 0.00455, 'val_kl_Loss_DTC': 0.00177}
10 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.13981, 'val_kl_Loss_FC': 0.00061, 'val_kl_Loss_TC': 0.00042, 'val_kl_Loss_DTC': 0.00098}
11 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.13835, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 0.00112, 'val_kl_Loss_DTC': 0.00157}
12 saved {'val_OrigRecLoss': 0.0114, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.13621, 'val_kl_Loss_FC': 0.00039, 'val_kl_Loss_TC': 0.00047, 'val_kl_Loss_DTC': 0.00214}
