1 saved {'val_OrigRecLoss': 0.01176, 'val_FeatRecLoss': 0.00307, 'val_kl_Loss_Z': 0.2286, 'val_kl_Loss_FC': 0.00023}
2 saved {'val_OrigRecLoss': 0.01154, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.1997, 'val_kl_Loss_FC': 0.00012}
3 saved {'val_OrigRecLoss': 0.0115, 'val_FeatRecLoss': 0.003, 'val_kl_Loss_Z': 0.19314, 'val_kl_Loss_FC': 0.00016}
4 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.19241, 'val_kl_Loss_FC': 0.00017}
5 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 0.20328, 'val_kl_Loss_FC': 0.00046}
6 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.17458, 'val_kl_Loss_FC': 0.00072}
7 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.16841, 'val_kl_Loss_FC': 0.0002}
8 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.16116, 'val_kl_Loss_FC': 0.0002}
9 not saved {'val_OrigRecLoss': 0.01153, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.15531, 'val_kl_Loss_FC': 0.00027}
10 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.14773, 'val_kl_Loss_FC': 0.0001}
11 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.14707, 'val_kl_Loss_FC': 0.0005}
12 saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.14448, 'val_kl_Loss_FC': 6e-05}
13 saved {'val_OrigRecLoss': 0.01139, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.14193, 'val_kl_Loss_FC': 0.00111}
14 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.13311, 'val_kl_Loss_FC': 2e-05}
15 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.12906, 'val_kl_Loss_FC': 0.00011}
16 saved {'val_OrigRecLoss': 0.01137, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.12638, 'val_kl_Loss_FC': 0.00013}
17 saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.00299, 'val_kl_Loss_Z': 0.1265, 'val_kl_Loss_FC': 0.00017}
18 saved {'val_OrigRecLoss': 0.01131, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.11991, 'val_kl_Loss_FC': 0.00013}
