1 saved {'val_OrigRecLoss': 0.00081, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_Z': 2.23732, 'val_kl_Loss_FC': 0.00032, 'val_kl_Loss_TC': 0.01437, 'val_kl_Loss_DTC': 0.1}
2 saved {'val_OrigRecLoss': 0.00071, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_Z': 2.60883, 'val_kl_Loss_FC': 0.00108, 'val_kl_Loss_TC': 0.00484, 'val_kl_Loss_DTC': 0.1}
3 saved {'val_OrigRecLoss': 0.00069, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 3.0447, 'val_kl_Loss_FC': 0.00084, 'val_kl_Loss_TC': 0.01609, 'val_kl_Loss_DTC': 0.1}
4 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.34341, 'val_kl_Loss_FC': 0.00156, 'val_kl_Loss_TC': 0.02121, 'val_kl_Loss_DTC': 0.1}
5 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.51136, 'val_kl_Loss_FC': 0.00315, 'val_kl_Loss_TC': 0.01457, 'val_kl_Loss_DTC': 0.1}
6 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.02036, 'val_kl_Loss_FC': 0.00331, 'val_kl_Loss_TC': 0.01092, 'val_kl_Loss_DTC': 0.1}
7 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.96882, 'val_kl_Loss_FC': 0.00201, 'val_kl_Loss_TC': 0.05193, 'val_kl_Loss_DTC': 0.1}
8 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.76008, 'val_kl_Loss_FC': 0.00241, 'val_kl_Loss_TC': 0.0232, 'val_kl_Loss_DTC': 0.1}
9 not saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.08476, 'val_kl_Loss_FC': 0.00136, 'val_kl_Loss_TC': 0.01358, 'val_kl_Loss_DTC': 0.00804}
10 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.81357, 'val_kl_Loss_FC': 0.00226, 'val_kl_Loss_TC': 0.02301, 'val_kl_Loss_DTC': 0.04285}
11 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.9095, 'val_kl_Loss_FC': 0.00408, 'val_kl_Loss_TC': 0.01176, 'val_kl_Loss_DTC': 0.04911}
12 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.59539, 'val_kl_Loss_FC': 0.00306, 'val_kl_Loss_TC': 0.00281, 'val_kl_Loss_DTC': 0.02812}
13 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.59543, 'val_kl_Loss_FC': 0.00283, 'val_kl_Loss_TC': 0.01974, 'val_kl_Loss_DTC': 0.02608}
14 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.38954, 'val_kl_Loss_FC': 0.00297, 'val_kl_Loss_TC': 0.00693, 'val_kl_Loss_DTC': 0.03579}
15 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.27853, 'val_kl_Loss_FC': 0.00245, 'val_kl_Loss_TC': 0.00217, 'val_kl_Loss_DTC': 0.01332}
16 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.13928, 'val_kl_Loss_FC': 0.00307, 'val_kl_Loss_TC': 0.00129, 'val_kl_Loss_DTC': 0.01507}
17 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.9858, 'val_kl_Loss_FC': 0.00244, 'val_kl_Loss_TC': 0.02202, 'val_kl_Loss_DTC': 0.02099}
18 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.91416, 'val_kl_Loss_FC': 0.0032, 'val_kl_Loss_TC': 0.00391, 'val_kl_Loss_DTC': 0.00571}
19 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.83928, 'val_kl_Loss_FC': 0.0026, 'val_kl_Loss_TC': 0.00664, 'val_kl_Loss_DTC': 0.01602}
20 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.69603, 'val_kl_Loss_FC': 0.00215, 'val_kl_Loss_TC': 0.00674, 'val_kl_Loss_DTC': 0.00709}
21 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.7546, 'val_kl_Loss_FC': 0.00193, 'val_kl_Loss_TC': 0.00091, 'val_kl_Loss_DTC': 0.01613}
22 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.63681, 'val_kl_Loss_FC': 0.00258, 'val_kl_Loss_TC': 0.01127, 'val_kl_Loss_DTC': 0.0161}
23 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.48803, 'val_kl_Loss_FC': 0.00184, 'val_kl_Loss_TC': 0.00897, 'val_kl_Loss_DTC': 0.01162}
24 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.4448, 'val_kl_Loss_FC': 0.00218, 'val_kl_Loss_TC': 0.00256, 'val_kl_Loss_DTC': 0.00642}
25 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.3898, 'val_kl_Loss_FC': 0.00219, 'val_kl_Loss_TC': 0.00087, 'val_kl_Loss_DTC': 0.00793}
26 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.38403, 'val_kl_Loss_FC': 0.00224, 'val_kl_Loss_TC': 0.005, 'val_kl_Loss_DTC': 0.00941}
27 not saved {'val_OrigRecLoss': 0.00071, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 1.85517, 'val_kl_Loss_FC': 0.00143, 'val_kl_Loss_TC': 0.01047, 'val_kl_Loss_DTC': 0.02884}
28 not saved {'val_OrigRecLoss': 0.00071, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 1.74001, 'val_kl_Loss_FC': 0.00117, 'val_kl_Loss_TC': 0.01601, 'val_kl_Loss_DTC': 0.01475}
29 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.89128, 'val_kl_Loss_FC': 0.00133, 'val_kl_Loss_TC': 0.00694, 'val_kl_Loss_DTC': 0.01794}
30 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.83235, 'val_kl_Loss_FC': 0.00201, 'val_kl_Loss_TC': 0.01025, 'val_kl_Loss_DTC': 0.00622}
31 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.74771, 'val_kl_Loss_FC': 0.00197, 'val_kl_Loss_TC': 0.01038, 'val_kl_Loss_DTC': 0.0113}
32 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.69206, 'val_kl_Loss_FC': 0.00184, 'val_kl_Loss_TC': 0.00908, 'val_kl_Loss_DTC': 0.0071}
33 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.6293, 'val_kl_Loss_FC': 0.00234, 'val_kl_Loss_TC': 0.00547, 'val_kl_Loss_DTC': 0.01147}
