1 saved {'val_OrigRecLoss': 0.00071, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_Z': 5.7849, 'val_kl_Loss_FC': 0.00026}
2 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00033, 'val_kl_Loss_Z': 2.11952, 'val_kl_Loss_FC': 0.0}
3 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.69345, 'val_kl_Loss_FC': 9e-05}
4 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 4.15568, 'val_kl_Loss_FC': 0.00012}
5 not saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.80675, 'val_kl_Loss_FC': 8e-05}
6 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.89062, 'val_kl_Loss_FC': 0.00022}
7 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.49515, 'val_kl_Loss_FC': 0.0002}
8 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.24718, 'val_kl_Loss_FC': 0.00011}
9 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.1544, 'val_kl_Loss_FC': 0.00017}
10 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.95862, 'val_kl_Loss_FC': 0.00018}
11 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.83681, 'val_kl_Loss_FC': 0.00015}
12 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.87287, 'val_kl_Loss_FC': 0.00015}
13 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.81409, 'val_kl_Loss_FC': 0.00021}
