1 saved {'val_OrigRecLoss': 0.0007, 'val_FeatRecLoss': 0.00066, 'val_kl_Loss_Z': 2.72594, 'val_kl_Loss_FC': 2e-05}
2 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_Z': 2.37014, 'val_kl_Loss_FC': 0.0}
3 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 3.60462, 'val_kl_Loss_FC': 1e-05}
4 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 3.6892, 'val_kl_Loss_FC': 1e-05}
5 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 3.60379, 'val_kl_Loss_FC': 0.0}
6 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.70508, 'val_kl_Loss_FC': 0.0}
7 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.58815, 'val_kl_Loss_FC': 1e-05}
8 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.40533, 'val_kl_Loss_FC': 0.0}
9 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.41428, 'val_kl_Loss_FC': 1e-05}
10 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.37154, 'val_kl_Loss_FC': 1e-05}
11 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.36747, 'val_kl_Loss_FC': 0.0}
12 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.19024, 'val_kl_Loss_FC': 0.0}
13 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.17398, 'val_kl_Loss_FC': 1e-05}
14 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.17035, 'val_kl_Loss_FC': 0.0}
15 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.09937, 'val_kl_Loss_FC': 1e-05}
16 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.13203, 'val_kl_Loss_FC': 0.0}
17 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.08127, 'val_kl_Loss_FC': 2e-05}
18 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.05409, 'val_kl_Loss_FC': 1e-05}
19 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.10438, 'val_kl_Loss_FC': 1e-05}
20 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.97487, 'val_kl_Loss_FC': 0.0}
21 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.10996, 'val_kl_Loss_FC': 1e-05}
22 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.95556, 'val_kl_Loss_FC': 0.0}
23 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.00076, 'val_kl_Loss_FC': 0.0}
24 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.90614, 'val_kl_Loss_FC': 1e-05}
25 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.85052, 'val_kl_Loss_FC': 0.0}
26 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.83179, 'val_kl_Loss_FC': 0.0}
27 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.95522, 'val_kl_Loss_FC': 0.0}
28 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.78637, 'val_kl_Loss_FC': 1e-05}
29 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.78769, 'val_kl_Loss_FC': 0.0}
30 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.76145, 'val_kl_Loss_FC': 0.0}
31 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.72153, 'val_kl_Loss_FC': 0.0}
32 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.9345, 'val_kl_Loss_FC': 0.0}
33 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.62475, 'val_kl_Loss_FC': 0.0}
34 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.89378, 'val_kl_Loss_FC': 0.0}
35 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.63346, 'val_kl_Loss_FC': 0.0}
36 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.69636, 'val_kl_Loss_FC': 0.0}
37 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.58401, 'val_kl_Loss_FC': 0.0}
38 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.57783, 'val_kl_Loss_FC': 0.0}
39 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.57343, 'val_kl_Loss_FC': 1e-05}
40 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.52992, 'val_kl_Loss_FC': 1e-05}
41 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.5737, 'val_kl_Loss_FC': 1e-05}
