1 saved {'val_OrigRecLoss': 0.00077, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_Z': 0.60617}
2 saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 2.21759}
3 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 3e-05, 'val_kl_Loss_Z': 1.43444}
4 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 1.14864}
5 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 1.00864}
6 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.88745}
7 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.79947}
8 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.79978}
9 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.77141}
10 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.71247}
11 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.70565}
12 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.6963}
13 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.7046}
14 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.69225}
15 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.71437}
16 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.68244}
17 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.70524}
18 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.68015}
19 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.67715}
20 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.67489}
21 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.68742}
22 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.67772}
23 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.64741}
24 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.64206}
25 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.64682}
26 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.69552}
27 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.63352}
28 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.62319}
29 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.63021}
30 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.61382}
31 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.63134}
32 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.64543}
33 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.60034}
34 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.59853}
35 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.62031}
36 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.58776}
37 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.56685}
38 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.57063}
39 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.60207}
40 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.63616}
41 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.58164}
42 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.55138}
43 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.62203}
44 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.54974}
45 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.54229}
46 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.54559}
47 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.73569}
48 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.53889}
49 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.52653}
50 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.5205}
51 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.51283}
52 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.50197}
53 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.50841}
54 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.5079}
55 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.4877}
56 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.47186}
57 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.45467}
58 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.48319}
59 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.4814}
60 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.44989}
61 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.521}
62 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.45601}
63 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.43082}
64 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.41998}
65 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.40408}
66 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.39906}
67 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.37033}
68 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.37546}
69 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 1.58163}
70 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.80876}
71 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.64635}
72 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.5727}
73 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.54225}
74 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.50834}
