1 saved {'val_OrigRecLoss': 0.00072, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_Z': 37.20095, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 123.55, 'val_kl_Loss_MI': 4.51709}
2 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00062, 'val_kl_Loss_Z': 0.34255, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 123.55016, 'val_kl_Loss_MI': 4.52418}
3 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00057, 'val_kl_Loss_Z': 0.64397, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 123.55268, 'val_kl_Loss_MI': 4.56049}
4 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00033, 'val_kl_Loss_Z': 2.91437, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 123.95549, 'val_kl_Loss_MI': 4.98912}
5 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 5.95556, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 124.5776, 'val_kl_Loss_MI': 5.28199}
6 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.41701, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 124.85657, 'val_kl_Loss_MI': 5.36892}
7 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.88678, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.0383, 'val_kl_Loss_MI': 5.42461}
8 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.69628, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.22467, 'val_kl_Loss_MI': 5.47771}
9 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.5827, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 125.33288, 'val_kl_Loss_MI': 5.50711}
10 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.2128, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.45354, 'val_kl_Loss_MI': 5.53954}
11 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.48985, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 125.56714, 'val_kl_Loss_MI': 5.56765}
12 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.5968, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 125.62181, 'val_kl_Loss_MI': 5.57889}
