1 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00058, 'val_kl_Loss_Z': 0.07534, 'val_kl_Loss_FC': 0.00123, 'val_kl_Loss_TC': 0.00126, 'val_kl_Loss_DTC': 0.00999}
2 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00047, 'val_kl_Loss_Z': 0.22645, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 0.00258, 'val_kl_Loss_DTC': 0.01}
3 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.40813, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 0.00101, 'val_kl_Loss_DTC': 0.01}
4 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.40231, 'val_kl_Loss_FC': 0.00021, 'val_kl_Loss_TC': 0.00232, 'val_kl_Loss_DTC': 0.01}
5 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.40377, 'val_kl_Loss_FC': 0.00071, 'val_kl_Loss_TC': 0.00418, 'val_kl_Loss_DTC': 0.01}
6 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.36325, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 0.00396, 'val_kl_Loss_DTC': 0.01}
7 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.34171, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 0.00052, 'val_kl_Loss_DTC': 0.01}
8 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.32626, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 0.00511, 'val_kl_Loss_DTC': 0.01}
9 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.31085, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 0.00321, 'val_kl_Loss_DTC': 0.01}
10 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.31053, 'val_kl_Loss_FC': 0.00055, 'val_kl_Loss_TC': 0.00139, 'val_kl_Loss_DTC': 0.01}
11 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.30379, 'val_kl_Loss_FC': 0.0004, 'val_kl_Loss_TC': 0.00153, 'val_kl_Loss_DTC': 0.00999}
