1 saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00056, 'val_kl_Loss_Z': 0.58967, 'val_kl_Loss_FC': 0.00068}
2 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00055, 'val_kl_Loss_Z': 0.46589, 'val_kl_Loss_FC': 0.0002}
3 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_Z': 1.94384, 'val_kl_Loss_FC': 8e-05}
4 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00055, 'val_kl_Loss_Z': 13.14345, 'val_kl_Loss_FC': 0.00064}
5 not saved {'val_OrigRecLoss': 0.00071, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_Z': 1.29172, 'val_kl_Loss_FC': 0.0003}
6 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.34844, 'val_kl_Loss_FC': 0.00018}
7 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.25225, 'val_kl_Loss_FC': 7e-05}
8 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.10874, 'val_kl_Loss_FC': 0.00012}
9 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.01594, 'val_kl_Loss_FC': 0.00015}
10 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.97152, 'val_kl_Loss_FC': 0.00013}
11 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.87641, 'val_kl_Loss_FC': 0.00016}
12 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.83114, 'val_kl_Loss_FC': 4e-05}
13 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.81906, 'val_kl_Loss_FC': 0.00029}
14 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.79291, 'val_kl_Loss_FC': 0.00038}
15 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.75819, 'val_kl_Loss_FC': 0.00044}
16 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.73596, 'val_kl_Loss_FC': 0.0001}
17 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.73234, 'val_kl_Loss_FC': 0.00053}
18 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.72437, 'val_kl_Loss_FC': 0.00072}
19 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.69911, 'val_kl_Loss_FC': 0.0006}
20 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.65617, 'val_kl_Loss_FC': 0.00084}
21 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.67546, 'val_kl_Loss_FC': 0.00105}
22 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.64664, 'val_kl_Loss_FC': 0.00127}
23 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.6316, 'val_kl_Loss_FC': 0.00089}
24 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.60309, 'val_kl_Loss_FC': 0.00125}
25 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.60196, 'val_kl_Loss_FC': 0.0008}
26 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.58606, 'val_kl_Loss_FC': 0.00077}
27 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.58032, 'val_kl_Loss_FC': 0.00115}
28 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.55772, 'val_kl_Loss_FC': 0.00113}
29 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.55908, 'val_kl_Loss_FC': 0.00086}
30 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.57415, 'val_kl_Loss_FC': 0.0017}
31 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.54103, 'val_kl_Loss_FC': 0.0008}
32 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.52151, 'val_kl_Loss_FC': 0.00068}
33 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.53052, 'val_kl_Loss_FC': 0.00087}
34 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.52294, 'val_kl_Loss_FC': 0.00108}
35 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.50858, 'val_kl_Loss_FC': 0.00109}
36 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.5004, 'val_kl_Loss_FC': 0.00102}
37 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.54448, 'val_kl_Loss_FC': 0.00112}
38 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.5152, 'val_kl_Loss_FC': 0.00134}
39 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.49508, 'val_kl_Loss_FC': 0.00115}
40 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.47072, 'val_kl_Loss_FC': 0.00111}
41 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.47241, 'val_kl_Loss_FC': 0.00058}
42 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.47636, 'val_kl_Loss_FC': 0.00101}
43 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.45443, 'val_kl_Loss_FC': 0.00046}
