1 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00056, 'val_kl_Loss_Z': 0.06096, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 215.65336, 'val_kl_Loss_MI': 4.50874}
2 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00055, 'val_kl_Loss_Z': 0.05961, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 215.65336, 'val_kl_Loss_MI': 4.50883}
3 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_Z': 0.25391, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 215.65336, 'val_kl_Loss_MI': 4.5091}
4 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_Z': 0.23782, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 215.65336, 'val_kl_Loss_MI': 4.50972}
5 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_Z': 0.51563, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 215.65336, 'val_kl_Loss_MI': 4.51072}
6 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_Z': 0.29154, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 215.65338, 'val_kl_Loss_MI': 4.5126}
7 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00053, 'val_kl_Loss_Z': 0.26025, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 215.65345, 'val_kl_Loss_MI': 4.51845}
8 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00045, 'val_kl_Loss_Z': 2.03556, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 215.65851, 'val_kl_Loss_MI': 4.56315}
9 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 1.03644, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 215.9665, 'val_kl_Loss_MI': 4.89103}
10 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.36403, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 216.01569, 'val_kl_Loss_MI': 4.94813}
11 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.4549, 'val_kl_Loss_FC': 0.00037, 'val_kl_Loss_TC': 216.06185, 'val_kl_Loss_MI': 4.98828}
12 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.69271, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 216.0588, 'val_kl_Loss_MI': 4.99515}
13 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.56694, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 216.08471, 'val_kl_Loss_MI': 5.01383}
