1 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00101, 'val_kl_Loss_Z': 1.75601, 'val_kl_Loss_FC': 0.0009, 'val_kl_Loss_TC': 0.02953, 'val_kl_Loss_DTC': 0.01}
2 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 1.53331, 'val_kl_Loss_FC': 0.00053, 'val_kl_Loss_TC': 0.00127, 'val_kl_Loss_DTC': 0.01}
3 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.51351, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 0.00141, 'val_kl_Loss_DTC': 0.01}
4 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.51219, 'val_kl_Loss_FC': 0.00128, 'val_kl_Loss_TC': 0.00057, 'val_kl_Loss_DTC': 0.01}
5 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.33088, 'val_kl_Loss_FC': 0.00018, 'val_kl_Loss_TC': 0.00393, 'val_kl_Loss_DTC': 0.01}
6 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.25727, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 0.00056, 'val_kl_Loss_DTC': 0.01}
7 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.13894, 'val_kl_Loss_FC': 0.00082, 'val_kl_Loss_TC': 0.00243, 'val_kl_Loss_DTC': 0.01}
8 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.0129, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 0.00277, 'val_kl_Loss_DTC': 0.00996}
9 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.9662, 'val_kl_Loss_FC': 0.00012, 'val_kl_Loss_TC': 0.00513, 'val_kl_Loss_DTC': 0.00997}
10 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.90544, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 0.00469, 'val_kl_Loss_DTC': 0.00994}
11 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.87902, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.0015, 'val_kl_Loss_DTC': 0.00992}
12 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.89993, 'val_kl_Loss_FC': 0.00042, 'val_kl_Loss_TC': 0.00328, 'val_kl_Loss_DTC': 0.0099}
13 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.84279, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 0.00045, 'val_kl_Loss_DTC': 0.00978}
14 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.83043, 'val_kl_Loss_FC': 0.00049, 'val_kl_Loss_TC': 0.00575, 'val_kl_Loss_DTC': 0.00952}
15 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.80485, 'val_kl_Loss_FC': 0.00033, 'val_kl_Loss_TC': 0.00607, 'val_kl_Loss_DTC': 0.00924}
16 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.78639, 'val_kl_Loss_FC': 0.0003, 'val_kl_Loss_TC': 0.00288, 'val_kl_Loss_DTC': 0.00653}
