1 saved {'val_OrigRecLoss': 0.00111, 'val_FeatRecLoss': 0.00068, 'val_kl_Loss_Z': 3.27729, 'val_kl_Loss_FC': 0.00419, 'val_kl_Loss_TC': 0.00542, 'val_kl_Loss_DTC': 0.1}
2 saved {'val_OrigRecLoss': 0.00073, 'val_FeatRecLoss': 0.00041, 'val_kl_Loss_Z': 2.10987, 'val_kl_Loss_FC': 0.00208, 'val_kl_Loss_TC': 0.00516, 'val_kl_Loss_DTC': 0.1}
3 saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 2.07941, 'val_kl_Loss_FC': 0.00048, 'val_kl_Loss_TC': 0.00099, 'val_kl_Loss_DTC': 0.1}
4 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.19681, 'val_kl_Loss_FC': 0.00046, 'val_kl_Loss_TC': 0.0034, 'val_kl_Loss_DTC': 0.1}
5 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.23508, 'val_kl_Loss_FC': 0.00038, 'val_kl_Loss_TC': 0.00404, 'val_kl_Loss_DTC': 0.1}
6 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.28257, 'val_kl_Loss_FC': 0.00077, 'val_kl_Loss_TC': 0.00237, 'val_kl_Loss_DTC': 0.1}
7 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.31706, 'val_kl_Loss_FC': 0.00062, 'val_kl_Loss_TC': 0.00327, 'val_kl_Loss_DTC': 0.1}
8 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.19457, 'val_kl_Loss_FC': 0.00136, 'val_kl_Loss_TC': 0.00161, 'val_kl_Loss_DTC': 0.1}
9 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.08773, 'val_kl_Loss_FC': 0.00028, 'val_kl_Loss_TC': 0.00101, 'val_kl_Loss_DTC': 0.1}
10 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.05284, 'val_kl_Loss_FC': 0.00059, 'val_kl_Loss_TC': 0.00107, 'val_kl_Loss_DTC': 0.1}
11 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.06737, 'val_kl_Loss_FC': 0.00149, 'val_kl_Loss_TC': 0.00563, 'val_kl_Loss_DTC': 0.1}
12 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.00216, 'val_kl_Loss_FC': 0.00108, 'val_kl_Loss_TC': 0.00749, 'val_kl_Loss_DTC': 0.1}
13 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.94723, 'val_kl_Loss_FC': 0.00119, 'val_kl_Loss_TC': 0.00381, 'val_kl_Loss_DTC': 0.1}
14 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.90629, 'val_kl_Loss_FC': 0.0011, 'val_kl_Loss_TC': 0.00097, 'val_kl_Loss_DTC': 0.1}
15 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.87461, 'val_kl_Loss_FC': 0.00063, 'val_kl_Loss_TC': 0.00236, 'val_kl_Loss_DTC': 0.1}
16 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.80236, 'val_kl_Loss_FC': 0.00078, 'val_kl_Loss_TC': 0.00199, 'val_kl_Loss_DTC': 0.1}
17 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.74697, 'val_kl_Loss_FC': 0.00066, 'val_kl_Loss_TC': 0.00386, 'val_kl_Loss_DTC': 0.1}
18 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.78798, 'val_kl_Loss_FC': 0.00145, 'val_kl_Loss_TC': 0.0011, 'val_kl_Loss_DTC': 0.1}
19 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.69855, 'val_kl_Loss_FC': 0.00089, 'val_kl_Loss_TC': 0.0059, 'val_kl_Loss_DTC': 0.1}
20 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.69187, 'val_kl_Loss_FC': 0.00206, 'val_kl_Loss_TC': 0.00089, 'val_kl_Loss_DTC': 0.1}
21 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.61249, 'val_kl_Loss_FC': 0.00129, 'val_kl_Loss_TC': 0.0009, 'val_kl_Loss_DTC': 0.1}
22 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.60516, 'val_kl_Loss_FC': 0.00143, 'val_kl_Loss_TC': 0.00596, 'val_kl_Loss_DTC': 0.1}
23 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.57839, 'val_kl_Loss_FC': 0.00106, 'val_kl_Loss_TC': 0.00088, 'val_kl_Loss_DTC': 0.1}
24 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.63653, 'val_kl_Loss_FC': 0.00223, 'val_kl_Loss_TC': 0.00894, 'val_kl_Loss_DTC': 0.1}
25 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.51997, 'val_kl_Loss_FC': 0.00111, 'val_kl_Loss_TC': 0.00801, 'val_kl_Loss_DTC': 0.1}
26 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.57186, 'val_kl_Loss_FC': 0.00145, 'val_kl_Loss_TC': 0.00094, 'val_kl_Loss_DTC': 0.1}
27 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.59537, 'val_kl_Loss_FC': 0.00098, 'val_kl_Loss_TC': 0.00408, 'val_kl_Loss_DTC': 0.1}
28 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.62662, 'val_kl_Loss_FC': 0.00248, 'val_kl_Loss_TC': 0.00543, 'val_kl_Loss_DTC': 0.1}
29 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.63635, 'val_kl_Loss_FC': 0.00283, 'val_kl_Loss_TC': 0.01349, 'val_kl_Loss_DTC': 0.1}
30 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.53801, 'val_kl_Loss_FC': 0.00215, 'val_kl_Loss_TC': 0.00954, 'val_kl_Loss_DTC': 0.1}
31 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.50091, 'val_kl_Loss_FC': 0.00212, 'val_kl_Loss_TC': 0.004, 'val_kl_Loss_DTC': 0.1}
32 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 1.46815, 'val_kl_Loss_FC': 0.0031, 'val_kl_Loss_TC': 0.00962, 'val_kl_Loss_DTC': 0.1}
33 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.46862, 'val_kl_Loss_FC': 0.0022, 'val_kl_Loss_TC': 0.00261, 'val_kl_Loss_DTC': 0.1}
34 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.346, 'val_kl_Loss_FC': 0.00162, 'val_kl_Loss_TC': 0.0023, 'val_kl_Loss_DTC': 0.1}
35 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.41537, 'val_kl_Loss_FC': 0.00176, 'val_kl_Loss_TC': 0.00158, 'val_kl_Loss_DTC': 0.1}
36 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.39401, 'val_kl_Loss_FC': 0.00264, 'val_kl_Loss_TC': 0.00893, 'val_kl_Loss_DTC': 0.1}
37 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 1.40679, 'val_kl_Loss_FC': 0.0029, 'val_kl_Loss_TC': 0.00574, 'val_kl_Loss_DTC': 0.1}
38 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.34831, 'val_kl_Loss_FC': 0.00276, 'val_kl_Loss_TC': 0.00693, 'val_kl_Loss_DTC': 0.1}
39 not saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.33567, 'val_kl_Loss_FC': 0.00255, 'val_kl_Loss_TC': 0.0035, 'val_kl_Loss_DTC': 0.1}
40 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.25036, 'val_kl_Loss_FC': 0.00205, 'val_kl_Loss_TC': 0.00289, 'val_kl_Loss_DTC': 0.09999}
41 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.27564, 'val_kl_Loss_FC': 0.00209, 'val_kl_Loss_TC': 0.01059, 'val_kl_Loss_DTC': 0.1}
42 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.31867, 'val_kl_Loss_FC': 0.0023, 'val_kl_Loss_TC': 0.00664, 'val_kl_Loss_DTC': 0.1}
43 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.27461, 'val_kl_Loss_FC': 0.00277, 'val_kl_Loss_TC': 0.00661, 'val_kl_Loss_DTC': 0.1}
44 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.2583, 'val_kl_Loss_FC': 0.00201, 'val_kl_Loss_TC': 0.00119, 'val_kl_Loss_DTC': 0.1}
45 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.2453, 'val_kl_Loss_FC': 0.00254, 'val_kl_Loss_TC': 0.01225, 'val_kl_Loss_DTC': 0.1}
46 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.19147, 'val_kl_Loss_FC': 0.00217, 'val_kl_Loss_TC': 0.01069, 'val_kl_Loss_DTC': 0.1}
47 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.18065, 'val_kl_Loss_FC': 0.00231, 'val_kl_Loss_TC': 0.00227, 'val_kl_Loss_DTC': 0.1}
