1 saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00048, 'val_kl_Loss_Z': 0.41311, 'val_kl_Loss_FC': 2e-05}
2 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.94621, 'val_kl_Loss_FC': 1e-05}
3 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.97349, 'val_kl_Loss_FC': 3e-05}
4 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.93753, 'val_kl_Loss_FC': 8e-05}
5 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.92187, 'val_kl_Loss_FC': 6e-05}
6 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.89772, 'val_kl_Loss_FC': 0.00016}
7 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.88261, 'val_kl_Loss_FC': 7e-05}
8 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.84534, 'val_kl_Loss_FC': 3e-05}
9 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.86162, 'val_kl_Loss_FC': 0.00025}
10 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.81806, 'val_kl_Loss_FC': 5e-05}
11 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.80687, 'val_kl_Loss_FC': 8e-05}
12 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.8045, 'val_kl_Loss_FC': 3e-05}
13 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.80323, 'val_kl_Loss_FC': 0.00017}
14 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.77894, 'val_kl_Loss_FC': 1e-05}
15 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.77061, 'val_kl_Loss_FC': 2e-05}
16 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.74011, 'val_kl_Loss_FC': 1e-05}
17 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.73503, 'val_kl_Loss_FC': 4e-05}
18 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.72847, 'val_kl_Loss_FC': 5e-05}
19 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.71249, 'val_kl_Loss_FC': 0.00016}
20 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.70334, 'val_kl_Loss_FC': 0.00018}
21 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.7012, 'val_kl_Loss_FC': 9e-05}
22 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.68435, 'val_kl_Loss_FC': 0.00012}
23 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.68183, 'val_kl_Loss_FC': 3e-05}
24 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.68739, 'val_kl_Loss_FC': 0.00016}
25 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.71711, 'val_kl_Loss_FC': 7e-05}
26 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.65543, 'val_kl_Loss_FC': 7e-05}
27 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.64057, 'val_kl_Loss_FC': 7e-05}
28 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.63774, 'val_kl_Loss_FC': 9e-05}
29 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.61304, 'val_kl_Loss_FC': 2e-05}
30 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.61066, 'val_kl_Loss_FC': 0.00012}
31 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.60918, 'val_kl_Loss_FC': 3e-05}
32 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.60116, 'val_kl_Loss_FC': 0.00016}
33 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.60415, 'val_kl_Loss_FC': 1e-05}
