1 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00052, 'val_kl_Loss_Z': 0.57448, 'val_kl_Loss_FC': 0.00037}
2 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 1.0409, 'val_kl_Loss_FC': 0.00026}
3 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.15732, 'val_kl_Loss_FC': 0.00056}
4 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.0541, 'val_kl_Loss_FC': 2e-05}
5 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.94274, 'val_kl_Loss_FC': 0.00012}
6 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.92913, 'val_kl_Loss_FC': 0.00026}
7 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.8714, 'val_kl_Loss_FC': 0.00025}
8 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.8642, 'val_kl_Loss_FC': 8e-05}
9 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.85214, 'val_kl_Loss_FC': 0.00028}
10 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.83648, 'val_kl_Loss_FC': 0.00028}
11 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.82495, 'val_kl_Loss_FC': 0.00018}
12 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.83351, 'val_kl_Loss_FC': 0.0005}
13 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.80597, 'val_kl_Loss_FC': 0.00025}
14 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.79823, 'val_kl_Loss_FC': 0.00034}
15 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.80602, 'val_kl_Loss_FC': 0.00015}
16 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.77098, 'val_kl_Loss_FC': 0.00029}
17 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.76578, 'val_kl_Loss_FC': 0.00022}
18 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.77335, 'val_kl_Loss_FC': 0.00039}
19 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.75322, 'val_kl_Loss_FC': 0.00038}
20 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.77769, 'val_kl_Loss_FC': 4e-05}
21 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.74098, 'val_kl_Loss_FC': 0.00016}
22 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.7387, 'val_kl_Loss_FC': 0.00011}
23 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.79679, 'val_kl_Loss_FC': 0.00021}
24 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.71169, 'val_kl_Loss_FC': 0.00037}
25 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.74415, 'val_kl_Loss_FC': 0.00019}
26 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.73955, 'val_kl_Loss_FC': 0.00049}
27 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.70725, 'val_kl_Loss_FC': 0.00032}
