1 saved {'val_OrigRecLoss': 0.00069, 'val_FeatRecLoss': 0.00063, 'val_kl_Loss_Z': 0.74499, 'val_kl_Loss_FC': 0.00019}
2 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00057, 'val_kl_Loss_Z': 1.68428, 'val_kl_Loss_FC': 0.00014}
3 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.81281, 'val_kl_Loss_FC': 0.0024}
4 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.15922, 'val_kl_Loss_FC': 0.00135}
5 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.3939, 'val_kl_Loss_FC': 0.00191}
6 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.32919, 'val_kl_Loss_FC': 0.00174}
7 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.27197, 'val_kl_Loss_FC': 0.00205}
8 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.14793, 'val_kl_Loss_FC': 0.00188}
9 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.16326, 'val_kl_Loss_FC': 0.00229}
10 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 2.04827, 'val_kl_Loss_FC': 0.00298}
11 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.83927, 'val_kl_Loss_FC': 0.00217}
12 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.73208, 'val_kl_Loss_FC': 0.00207}
13 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.66039, 'val_kl_Loss_FC': 0.00184}
