1 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00058, 'val_kl_Loss_Z': 0.45028}
2 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00056, 'val_kl_Loss_Z': 3.60397}
3 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00049, 'val_kl_Loss_Z': 0.60569}
4 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.90002}
5 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.86825}
6 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.85194}
7 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.82536}
8 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.83727}
9 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.83595}
10 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.81524}
11 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.8202}
12 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00016, 'val_kl_Loss_Z': 0.81342}
13 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00015, 'val_kl_Loss_Z': 0.82973}
14 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00014, 'val_kl_Loss_Z': 0.81792}
15 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00014, 'val_kl_Loss_Z': 0.82425}
16 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00013, 'val_kl_Loss_Z': 0.8012}
17 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00012, 'val_kl_Loss_Z': 0.80804}
18 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00012, 'val_kl_Loss_Z': 0.7968}
19 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.80569}
20 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.80371}
21 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00011, 'val_kl_Loss_Z': 0.79854}
22 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.7744}
23 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.7597}
24 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 9e-05, 'val_kl_Loss_Z': 0.75124}
25 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0001, 'val_kl_Loss_Z': 0.88547}
26 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 0.78696}
27 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 0.74383}
28 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 0.71847}
