1 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.0006, 'val_kl_Loss_Z': 30.43912, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 126.66763, 'val_kl_Loss_MI': 4.61788}
2 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00058, 'val_kl_Loss_Z': 1.26545, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 126.66763, 'val_kl_Loss_MI': 4.61792}
3 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00057, 'val_kl_Loss_Z': 1.44521, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 126.66763, 'val_kl_Loss_MI': 4.61812}
4 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00058, 'val_kl_Loss_Z': 1.33272, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.66763, 'val_kl_Loss_MI': 4.61855}
5 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00055, 'val_kl_Loss_Z': 1.22091, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.66763, 'val_kl_Loss_MI': 4.61937}
6 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00058, 'val_kl_Loss_Z': 1.44243, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.66764, 'val_kl_Loss_MI': 4.62131}
7 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00056, 'val_kl_Loss_Z': 1.72619, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.66784, 'val_kl_Loss_MI': 4.62695}
8 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00045, 'val_kl_Loss_Z': 4.55031, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.6749, 'val_kl_Loss_MI': 4.68131}
9 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 2.29032, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.97748, 'val_kl_Loss_MI': 5.03891}
10 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.35925, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 127.05717, 'val_kl_Loss_MI': 5.10483}
11 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 5.72958, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 127.09027, 'val_kl_Loss_MI': 5.13574}
12 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.208, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 127.07462, 'val_kl_Loss_MI': 5.12915}
13 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.38139, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 127.08286, 'val_kl_Loss_MI': 5.13688}
14 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.80388, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 127.04874, 'val_kl_Loss_MI': 5.11975}
15 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.62607, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 127.01703, 'val_kl_Loss_MI': 5.10362}
16 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.37209, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.99931, 'val_kl_Loss_MI': 5.09273}
17 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.01923, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.98644, 'val_kl_Loss_MI': 5.08369}
18 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 6.38024, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.96918, 'val_kl_Loss_MI': 5.07801}
19 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.44861, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.95433, 'val_kl_Loss_MI': 5.05997}
20 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.7554, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.93418, 'val_kl_Loss_MI': 5.05248}
21 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.72804, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.90582, 'val_kl_Loss_MI': 5.02197}
22 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.27629, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 126.90387, 'val_kl_Loss_MI': 5.02372}
23 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.04745, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.90357, 'val_kl_Loss_MI': 5.02566}
24 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.20002, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.89398, 'val_kl_Loss_MI': 5.02041}
25 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 5.12293, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.88803, 'val_kl_Loss_MI': 5.01723}
26 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.96539, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.89393, 'val_kl_Loss_MI': 5.02284}
27 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 3.73601, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.89238, 'val_kl_Loss_MI': 5.0259}
28 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.49402, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 126.87298, 'val_kl_Loss_MI': 5.00396}
