1 saved {'val_OrigRecLoss': 0.0007, 'val_FeatRecLoss': 0.00055, 'val_kl_Loss_Z': 18.71693, 'val_kl_Loss_FC': 0.00014, 'val_kl_Loss_TC': 215.65362, 'val_kl_Loss_MI': 4.51604}
2 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_Z': 0.40934, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 215.65365, 'val_kl_Loss_MI': 4.51684}
3 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_Z': 0.09631, 'val_kl_Loss_FC': 0.00064, 'val_kl_Loss_TC': 215.65374, 'val_kl_Loss_MI': 4.51804}
4 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00053, 'val_kl_Loss_Z': 0.13253, 'val_kl_Loss_FC': 0.00042, 'val_kl_Loss_TC': 215.65389, 'val_kl_Loss_MI': 4.52038}
5 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00051, 'val_kl_Loss_Z': 0.39682, 'val_kl_Loss_FC': 0.00067, 'val_kl_Loss_TC': 215.65448, 'val_kl_Loss_MI': 4.52675}
6 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00051, 'val_kl_Loss_Z': 1.17855, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 215.6577, 'val_kl_Loss_MI': 4.54781}
7 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_Z': 1.91423, 'val_kl_Loss_FC': 0.00038, 'val_kl_Loss_TC': 215.68126, 'val_kl_Loss_MI': 4.62331}
8 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 2.49143, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 215.8075, 'val_kl_Loss_MI': 4.80171}
9 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.37205, 'val_kl_Loss_FC': 0.00022, 'val_kl_Loss_TC': 215.87395, 'val_kl_Loss_MI': 4.86302}
10 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.11389, 'val_kl_Loss_FC': 0.00029, 'val_kl_Loss_TC': 215.92056, 'val_kl_Loss_MI': 4.90307}
11 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 5.48221, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 215.96216, 'val_kl_Loss_MI': 4.93595}
12 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.66206, 'val_kl_Loss_FC': 0.00055, 'val_kl_Loss_TC': 215.98691, 'val_kl_Loss_MI': 4.95619}
13 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.64667, 'val_kl_Loss_FC': 4e-05, 'val_kl_Loss_TC': 215.99628, 'val_kl_Loss_MI': 4.96533}
14 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.03053, 'val_kl_Loss_FC': 0.00026, 'val_kl_Loss_TC': 215.99797, 'val_kl_Loss_MI': 4.97013}
15 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.35042, 'val_kl_Loss_FC': 0.00025, 'val_kl_Loss_TC': 215.99797, 'val_kl_Loss_MI': 4.96981}
16 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.32434, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 215.97042, 'val_kl_Loss_MI': 4.9523}
17 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.14279, 'val_kl_Loss_FC': 0.00029, 'val_kl_Loss_TC': 215.96709, 'val_kl_Loss_MI': 4.95404}
18 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.66848, 'val_kl_Loss_FC': 0.00044, 'val_kl_Loss_TC': 215.95394, 'val_kl_Loss_MI': 4.94891}
19 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.5857, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 215.92521, 'val_kl_Loss_MI': 4.92763}
20 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.20195, 'val_kl_Loss_FC': 0.00066, 'val_kl_Loss_TC': 215.91083, 'val_kl_Loss_MI': 4.91874}
21 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.11912, 'val_kl_Loss_FC': 0.00105, 'val_kl_Loss_TC': 215.91133, 'val_kl_Loss_MI': 4.92485}
22 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.27857, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 215.89175, 'val_kl_Loss_MI': 4.91256}
23 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.58314, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 215.87952, 'val_kl_Loss_MI': 4.90516}
24 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.76733, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 215.88098, 'val_kl_Loss_MI': 4.90828}
25 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.10932, 'val_kl_Loss_FC': 0.0002, 'val_kl_Loss_TC': 215.88964, 'val_kl_Loss_MI': 4.92139}
26 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.63632, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 215.88642, 'val_kl_Loss_MI': 4.91776}
27 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.4092, 'val_kl_Loss_FC': 0.0007, 'val_kl_Loss_TC': 215.86903, 'val_kl_Loss_MI': 4.90317}
28 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.10233, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 215.86742, 'val_kl_Loss_MI': 4.90606}
29 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.76736, 'val_kl_Loss_FC': 0.0003, 'val_kl_Loss_TC': 215.86599, 'val_kl_Loss_MI': 4.90783}
30 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.35497, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 215.86265, 'val_kl_Loss_MI': 4.90575}
31 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.82835, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 215.86815, 'val_kl_Loss_MI': 4.91352}
