1 saved {'val_OrigRecLoss': 0.00078, 'val_FeatRecLoss': 0.00044, 'val_kl_Loss_Z': 4.12648, 'val_kl_Loss_FC': 0.00075, 'val_kl_Loss_TC': 0.10206, 'val_kl_Loss_DTC': 0.1}
2 saved {'val_OrigRecLoss': 0.0007, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 4.49194, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 0.08561, 'val_kl_Loss_DTC': 0.1}
3 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 4.51574, 'val_kl_Loss_FC': 0.00087, 'val_kl_Loss_TC': 0.03783, 'val_kl_Loss_DTC': 0.09999}
4 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.67065, 'val_kl_Loss_FC': 0.0006, 'val_kl_Loss_TC': 0.00535, 'val_kl_Loss_DTC': 0.09999}
5 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.15147, 'val_kl_Loss_FC': 0.00145, 'val_kl_Loss_TC': 0.00197, 'val_kl_Loss_DTC': 0.09995}
6 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.05031, 'val_kl_Loss_FC': 0.002, 'val_kl_Loss_TC': 0.00237, 'val_kl_Loss_DTC': 0.09987}
7 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 4.01817, 'val_kl_Loss_FC': 0.00154, 'val_kl_Loss_TC': 0.00718, 'val_kl_Loss_DTC': 0.09988}
8 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.67777, 'val_kl_Loss_FC': 0.00164, 'val_kl_Loss_TC': 0.0009, 'val_kl_Loss_DTC': 0.09972}
9 not saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.57102, 'val_kl_Loss_FC': 0.00168, 'val_kl_Loss_TC': 0.0057, 'val_kl_Loss_DTC': 0.09968}
10 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.22571, 'val_kl_Loss_FC': 0.00239, 'val_kl_Loss_TC': 0.00236, 'val_kl_Loss_DTC': 0.09943}
11 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.28224, 'val_kl_Loss_FC': 0.00205, 'val_kl_Loss_TC': 0.00099, 'val_kl_Loss_DTC': 0.09964}
12 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.91654, 'val_kl_Loss_FC': 0.00254, 'val_kl_Loss_TC': 0.0008, 'val_kl_Loss_DTC': 0.09881}
13 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.08663, 'val_kl_Loss_FC': 0.00274, 'val_kl_Loss_TC': 0.00345, 'val_kl_Loss_DTC': 0.09948}
14 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.91765, 'val_kl_Loss_FC': 0.00188, 'val_kl_Loss_TC': 0.00114, 'val_kl_Loss_DTC': 0.09909}
15 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.86924, 'val_kl_Loss_FC': 0.00205, 'val_kl_Loss_TC': 0.00326, 'val_kl_Loss_DTC': 0.09942}
16 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.73877, 'val_kl_Loss_FC': 0.0031, 'val_kl_Loss_TC': 0.00142, 'val_kl_Loss_DTC': 0.09893}
17 not saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.64428, 'val_kl_Loss_FC': 0.00307, 'val_kl_Loss_TC': 0.00113, 'val_kl_Loss_DTC': 0.09875}
18 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.63849, 'val_kl_Loss_FC': 0.00216, 'val_kl_Loss_TC': 0.0023, 'val_kl_Loss_DTC': 0.09897}
19 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.41263, 'val_kl_Loss_FC': 0.00199, 'val_kl_Loss_TC': 0.00191, 'val_kl_Loss_DTC': 0.09856}
20 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.24474, 'val_kl_Loss_FC': 0.00229, 'val_kl_Loss_TC': 0.00355, 'val_kl_Loss_DTC': 0.09782}
21 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.23086, 'val_kl_Loss_FC': 0.00229, 'val_kl_Loss_TC': 0.00617, 'val_kl_Loss_DTC': 0.09779}
