1 saved {'val_OrigRecLoss': 0.00075, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_Z': 2.61716, 'val_kl_Loss_FC': 0.00048}
2 saved {'val_OrigRecLoss': 0.00069, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 2.42016, 'val_kl_Loss_FC': 0.00051}
3 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.4665, 'val_kl_Loss_FC': 0.00122}
4 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.41758, 'val_kl_Loss_FC': 0.00011}
5 not saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.31581, 'val_kl_Loss_FC': 0.00066}
6 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.39152, 'val_kl_Loss_FC': 0.00138}
7 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.21072, 'val_kl_Loss_FC': 0.00242}
8 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.96404, 'val_kl_Loss_FC': 0.00264}
9 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.94726, 'val_kl_Loss_FC': 0.00196}
10 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.70055, 'val_kl_Loss_FC': 0.00214}
11 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.66111, 'val_kl_Loss_FC': 0.00176}
12 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.6206, 'val_kl_Loss_FC': 0.00242}
13 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.58011, 'val_kl_Loss_FC': 0.00172}
14 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.54376, 'val_kl_Loss_FC': 0.00222}
15 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.46251, 'val_kl_Loss_FC': 0.00165}
16 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.38425, 'val_kl_Loss_FC': 0.00233}
17 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.37505, 'val_kl_Loss_FC': 0.00178}
18 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.40217, 'val_kl_Loss_FC': 0.00234}
19 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.35256, 'val_kl_Loss_FC': 0.0017}
20 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.35234, 'val_kl_Loss_FC': 0.00264}
21 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.30992, 'val_kl_Loss_FC': 0.00201}
22 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.2914, 'val_kl_Loss_FC': 0.0023}
23 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.26979, 'val_kl_Loss_FC': 0.00266}
24 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 1.27239, 'val_kl_Loss_FC': 0.00315}
25 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.14467, 'val_kl_Loss_FC': 0.00253}
26 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.21991, 'val_kl_Loss_FC': 0.00231}
