1 saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_Z': 0.07876}
2 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00032, 'val_kl_Loss_Z': 0.04312}
3 saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_Z': 3.55053}
4 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 8e-05, 'val_kl_Loss_Z': 0.61464}
5 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.36646}
6 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.34545}
7 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.39098}
8 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.36039}
9 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.00012, 'val_kl_Loss_Z': 1.04461}
10 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.34401}
11 saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.33559}
12 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.3375}
13 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.35974}
14 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.37637}
15 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.37132}
16 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.35084}
17 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.36759}
18 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.35477}
19 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.3911}
20 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.37978}
21 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.362}
22 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.41878}
23 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.34955}
24 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.3459}
25 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.35879}
26 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.34264}
27 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.34757}
28 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.36629}
29 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.36444}
30 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.35803}
31 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.35683}
32 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.3399}
33 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.36905}
34 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.33327}
35 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.33881}
36 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.32508}
37 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.32434}
38 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 2e-05, 'val_kl_Loss_Z': 0.36873}
39 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.31181}
40 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.30354}
41 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.31434}
42 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.29604}
43 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.3513}
44 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.2874}
45 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.27861}
46 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.28004}
47 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.357}
48 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.27199}
49 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.2569}
50 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.26878}
51 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.26238}
52 not saved {'val_OrigRecLoss': 0.00062, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.24683}
53 saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.26314}
54 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.24188}
55 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.23595}
56 not saved {'val_OrigRecLoss': 0.00061, 'val_FeatRecLoss': 1e-05, 'val_kl_Loss_Z': 0.23778}
57 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.22245}
58 not saved {'val_OrigRecLoss': 0.0006, 'val_FeatRecLoss': 0.0, 'val_kl_Loss_Z': 0.21663}
