1 saved {'val_OrigRecLoss': 0.00072, 'val_FeatRecLoss': 0.00066, 'val_kl_Loss_Z': 26.00696, 'val_kl_Loss_FC': 9e-05, 'val_kl_Loss_TC': 220.92122, 'val_kl_Loss_MI': 4.61982}
2 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_Z': 2.05934, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 220.92122, 'val_kl_Loss_MI': 4.62015}
3 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_Z': 2.20984, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 220.92127, 'val_kl_Loss_MI': 4.62118}
4 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00063, 'val_kl_Loss_Z': 2.13899, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 220.92148, 'val_kl_Loss_MI': 4.62344}
5 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00062, 'val_kl_Loss_Z': 2.50068, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 220.92199, 'val_kl_Loss_MI': 4.63047}
6 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00061, 'val_kl_Loss_Z': 2.05312, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 220.92844, 'val_kl_Loss_MI': 4.66445}
7 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00044, 'val_kl_Loss_Z': 3.7921, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 221.60037, 'val_kl_Loss_MI': 5.16946}
8 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 7.03446, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 223.07495, 'val_kl_Loss_MI': 5.5816}
9 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 7.61892, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 223.96178, 'val_kl_Loss_MI': 5.72355}
10 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 8.90608, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 224.47722, 'val_kl_Loss_MI': 5.7955}
11 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 5.18641, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 224.97434, 'val_kl_Loss_MI': 5.85405}
