1 saved {'val_OrigRecLoss': 0.00075, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_Z': 0.34814, 'val_kl_Loss_FC': 0.00023, 'val_kl_Loss_TC': 215.65338, 'val_kl_Loss_MI': 4.51694}
2 saved {'val_OrigRecLoss': 0.00068, 'val_FeatRecLoss': 0.00062, 'val_kl_Loss_Z': 0.1226, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 215.65343, 'val_kl_Loss_MI': 4.51859}
3 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00061, 'val_kl_Loss_Z': 0.56795, 'val_kl_Loss_FC': 0.00052, 'val_kl_Loss_TC': 215.65371, 'val_kl_Loss_MI': 4.52427}
4 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00059, 'val_kl_Loss_Z': 0.46459, 'val_kl_Loss_FC': 0.00098, 'val_kl_Loss_TC': 215.65576, 'val_kl_Loss_MI': 4.54421}
5 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00066, 'val_kl_Loss_Z': 0.89239, 'val_kl_Loss_FC': 0.00087, 'val_kl_Loss_TC': 215.71431, 'val_kl_Loss_MI': 4.68558}
6 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 0.58544, 'val_kl_Loss_FC': 0.00053, 'val_kl_Loss_TC': 216.63881, 'val_kl_Loss_MI': 5.2005}
7 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 6.65308, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 217.05861, 'val_kl_Loss_MI': 5.33493}
8 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 9.49681, 'val_kl_Loss_FC': 0.00032, 'val_kl_Loss_TC': 217.45633, 'val_kl_Loss_MI': 5.43413}
9 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 3.71673, 'val_kl_Loss_FC': 0.00024, 'val_kl_Loss_TC': 217.71505, 'val_kl_Loss_MI': 5.48391}
10 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.11084, 'val_kl_Loss_FC': 0.00029, 'val_kl_Loss_TC': 217.90802, 'val_kl_Loss_MI': 5.52617}
11 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 15.70538, 'val_kl_Loss_FC': 0.00019, 'val_kl_Loss_TC': 218.0643, 'val_kl_Loss_MI': 5.55853}
12 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 6.34977, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 218.25238, 'val_kl_Loss_MI': 5.58399}
13 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.62159, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 218.4121, 'val_kl_Loss_MI': 5.61339}
14 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.80021, 'val_kl_Loss_FC': 0.0001, 'val_kl_Loss_TC': 218.62009, 'val_kl_Loss_MI': 5.64151}
15 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 5.96856, 'val_kl_Loss_FC': 0.00029, 'val_kl_Loss_TC': 218.81445, 'val_kl_Loss_MI': 5.66871}
