1 saved {'val_OrigRecLoss': 0.00078, 'val_FeatRecLoss': 0.00066, 'val_kl_Loss_Z': 2.4403, 'val_kl_Loss_FC': 0.00033, 'val_kl_Loss_TC': 0.04635, 'val_kl_Loss_DTC': 0.1}
2 saved {'val_OrigRecLoss': 0.00069, 'val_FeatRecLoss': 0.00047, 'val_kl_Loss_Z': 1.89442, 'val_kl_Loss_FC': 0.00109, 'val_kl_Loss_TC': 0.06384, 'val_kl_Loss_DTC': 0.1}
3 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.0238, 'val_kl_Loss_FC': 0.00304, 'val_kl_Loss_TC': 0.0092, 'val_kl_Loss_DTC': 0.1}
4 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.36259, 'val_kl_Loss_FC': 0.0017, 'val_kl_Loss_TC': 0.00214, 'val_kl_Loss_DTC': 0.1}
5 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.40921, 'val_kl_Loss_FC': 0.00236, 'val_kl_Loss_TC': 0.00277, 'val_kl_Loss_DTC': 0.1}
6 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.48192, 'val_kl_Loss_FC': 0.00178, 'val_kl_Loss_TC': 0.00361, 'val_kl_Loss_DTC': 0.1}
7 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.49443, 'val_kl_Loss_FC': 0.00111, 'val_kl_Loss_TC': 0.00321, 'val_kl_Loss_DTC': 0.1}
8 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.40779, 'val_kl_Loss_FC': 0.00218, 'val_kl_Loss_TC': 0.00313, 'val_kl_Loss_DTC': 0.1}
9 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.24487, 'val_kl_Loss_FC': 0.00125, 'val_kl_Loss_TC': 0.00406, 'val_kl_Loss_DTC': 0.1}
10 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.38349, 'val_kl_Loss_FC': 0.00232, 'val_kl_Loss_TC': 0.0071, 'val_kl_Loss_DTC': 0.09999}
11 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.17088, 'val_kl_Loss_FC': 0.00244, 'val_kl_Loss_TC': 0.00234, 'val_kl_Loss_DTC': 0.09999}
12 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.24353, 'val_kl_Loss_FC': 0.00311, 'val_kl_Loss_TC': 0.00181, 'val_kl_Loss_DTC': 0.1}
13 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.23805, 'val_kl_Loss_FC': 0.00302, 'val_kl_Loss_TC': 0.00313, 'val_kl_Loss_DTC': 0.1}
14 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.13246, 'val_kl_Loss_FC': 0.00276, 'val_kl_Loss_TC': 0.00149, 'val_kl_Loss_DTC': 0.09999}
15 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.06914, 'val_kl_Loss_FC': 0.00252, 'val_kl_Loss_TC': 0.00523, 'val_kl_Loss_DTC': 0.09998}
16 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.08366, 'val_kl_Loss_FC': 0.0023, 'val_kl_Loss_TC': 0.00174, 'val_kl_Loss_DTC': 0.09999}
17 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.04632, 'val_kl_Loss_FC': 0.00306, 'val_kl_Loss_TC': 0.00421, 'val_kl_Loss_DTC': 0.09999}
18 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.99995, 'val_kl_Loss_FC': 0.00248, 'val_kl_Loss_TC': 0.00562, 'val_kl_Loss_DTC': 0.09997}
19 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.03937, 'val_kl_Loss_FC': 0.00127, 'val_kl_Loss_TC': 0.01105, 'val_kl_Loss_DTC': 0.09998}
20 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 2.05059, 'val_kl_Loss_FC': 0.00336, 'val_kl_Loss_TC': 0.00102, 'val_kl_Loss_DTC': 0.09997}
21 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.15523, 'val_kl_Loss_FC': 0.00184, 'val_kl_Loss_TC': 0.00333, 'val_kl_Loss_DTC': 0.09999}
22 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.00522, 'val_kl_Loss_FC': 0.00208, 'val_kl_Loss_TC': 0.00359, 'val_kl_Loss_DTC': 0.09996}
23 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.96343, 'val_kl_Loss_FC': 0.00181, 'val_kl_Loss_TC': 0.0079, 'val_kl_Loss_DTC': 0.09996}
24 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.85087, 'val_kl_Loss_FC': 0.00194, 'val_kl_Loss_TC': 0.00478, 'val_kl_Loss_DTC': 0.09997}
25 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.80374, 'val_kl_Loss_FC': 0.00144, 'val_kl_Loss_TC': 0.00683, 'val_kl_Loss_DTC': 0.09996}
26 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.79459, 'val_kl_Loss_FC': 0.00218, 'val_kl_Loss_TC': 0.00682, 'val_kl_Loss_DTC': 0.09995}
27 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 1.78811, 'val_kl_Loss_FC': 0.00316, 'val_kl_Loss_TC': 0.00274, 'val_kl_Loss_DTC': 0.09997}
28 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.72124, 'val_kl_Loss_FC': 0.00182, 'val_kl_Loss_TC': 0.00828, 'val_kl_Loss_DTC': 0.09992}
