1 saved {'val_OrigRecLoss': 0.00085, 'val_FeatRecLoss': 0.00067, 'val_kl_Loss_Z': 3.20237, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.02624, 'val_kl_Loss_DTC': 0.1}
2 saved {'val_OrigRecLoss': 0.00071, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_Z': 1.45751, 'val_kl_Loss_FC': 0.00136, 'val_kl_Loss_TC': 0.00086, 'val_kl_Loss_DTC': 0.1}
3 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 2.40921, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 0.0085, 'val_kl_Loss_DTC': 0.1}
4 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 2.29732, 'val_kl_Loss_FC': 0.00017, 'val_kl_Loss_TC': 0.00338, 'val_kl_Loss_DTC': 0.1}
5 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 2.20304, 'val_kl_Loss_FC': 0.00046, 'val_kl_Loss_TC': 0.00693, 'val_kl_Loss_DTC': 0.1}
6 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.2147, 'val_kl_Loss_FC': 0.00044, 'val_kl_Loss_TC': 0.00484, 'val_kl_Loss_DTC': 0.1}
7 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.24119, 'val_kl_Loss_FC': 0.00067, 'val_kl_Loss_TC': 0.0095, 'val_kl_Loss_DTC': 0.1}
8 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.13134, 'val_kl_Loss_FC': 0.00048, 'val_kl_Loss_TC': 0.01191, 'val_kl_Loss_DTC': 0.1}
9 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.10352, 'val_kl_Loss_FC': 0.00084, 'val_kl_Loss_TC': 0.00968, 'val_kl_Loss_DTC': 0.1}
10 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 2.04156, 'val_kl_Loss_FC': 0.00093, 'val_kl_Loss_TC': 0.0051, 'val_kl_Loss_DTC': 0.1}
11 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.88188, 'val_kl_Loss_FC': 0.00024, 'val_kl_Loss_TC': 0.00152, 'val_kl_Loss_DTC': 0.1}
12 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.88462, 'val_kl_Loss_FC': 0.00036, 'val_kl_Loss_TC': 0.00761, 'val_kl_Loss_DTC': 0.1}
13 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.85417, 'val_kl_Loss_FC': 0.00087, 'val_kl_Loss_TC': 0.00299, 'val_kl_Loss_DTC': 0.1}
14 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.76399, 'val_kl_Loss_FC': 0.00036, 'val_kl_Loss_TC': 0.00184, 'val_kl_Loss_DTC': 0.1}
15 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.76996, 'val_kl_Loss_FC': 0.00064, 'val_kl_Loss_TC': 0.00432, 'val_kl_Loss_DTC': 0.1}
16 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.71965, 'val_kl_Loss_FC': 0.00106, 'val_kl_Loss_TC': 0.0033, 'val_kl_Loss_DTC': 0.1}
17 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.64888, 'val_kl_Loss_FC': 0.00087, 'val_kl_Loss_TC': 0.00903, 'val_kl_Loss_DTC': 0.1}
18 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.60553, 'val_kl_Loss_FC': 0.00067, 'val_kl_Loss_TC': 0.00146, 'val_kl_Loss_DTC': 0.1}
19 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.56336, 'val_kl_Loss_FC': 0.0003, 'val_kl_Loss_TC': 0.00726, 'val_kl_Loss_DTC': 0.1}
20 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.55067, 'val_kl_Loss_FC': 0.00069, 'val_kl_Loss_TC': 0.0091, 'val_kl_Loss_DTC': 0.1}
