1 saved {'val_OrigRecLoss': 0.00072, 'val_FeatRecLoss': 0.0006, 'val_kl_Loss_Z': 1.41793, 'val_kl_Loss_FC': 6e-05}
2 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 2.34605, 'val_kl_Loss_FC': 0.00016}
3 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.75925, 'val_kl_Loss_FC': 0.00049}
4 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.46945, 'val_kl_Loss_FC': 0.00037}
5 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.17473, 'val_kl_Loss_FC': 0.00019}
6 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.93968, 'val_kl_Loss_FC': 7e-05}
7 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.84222, 'val_kl_Loss_FC': 9e-05}
8 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.72267, 'val_kl_Loss_FC': 7e-05}
9 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.60847, 'val_kl_Loss_FC': 0.00012}
10 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.55891, 'val_kl_Loss_FC': 0.00015}
11 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.49869, 'val_kl_Loss_FC': 0.00015}
12 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.4107, 'val_kl_Loss_FC': 0.00015}
13 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.36961, 'val_kl_Loss_FC': 0.00032}
14 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.30355, 'val_kl_Loss_FC': 0.00015}
15 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.28759, 'val_kl_Loss_FC': 0.00016}
16 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.25882, 'val_kl_Loss_FC': 5e-05}
17 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.19965, 'val_kl_Loss_FC': 7e-05}
18 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.20959, 'val_kl_Loss_FC': 0.0002}
19 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.15356, 'val_kl_Loss_FC': 0.00018}
20 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.09655, 'val_kl_Loss_FC': 0.00012}
21 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.09532, 'val_kl_Loss_FC': 0.00018}
22 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.10797, 'val_kl_Loss_FC': 0.00025}
23 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.05105, 'val_kl_Loss_FC': 0.00026}
24 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.09265, 'val_kl_Loss_FC': 0.00023}
25 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.00314, 'val_kl_Loss_FC': 0.00021}
26 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.96697, 'val_kl_Loss_FC': 0.00014}
27 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.93688, 'val_kl_Loss_FC': 0.00012}
28 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.95796, 'val_kl_Loss_FC': 0.00017}
29 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.94636, 'val_kl_Loss_FC': 0.0003}
30 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.94271, 'val_kl_Loss_FC': 0.00021}
31 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.8911, 'val_kl_Loss_FC': 0.00011}
32 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.87834, 'val_kl_Loss_FC': 0.0002}
33 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.86553, 'val_kl_Loss_FC': 0.0002}
34 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.85192, 'val_kl_Loss_FC': 0.00025}
35 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.84308, 'val_kl_Loss_FC': 0.00025}
36 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.81918, 'val_kl_Loss_FC': 0.00016}
37 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.8329, 'val_kl_Loss_FC': 0.0004}
38 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.8041, 'val_kl_Loss_FC': 0.00041}
39 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.85106, 'val_kl_Loss_FC': 0.00087}
40 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.83735, 'val_kl_Loss_FC': 0.00092}
41 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.88189, 'val_kl_Loss_FC': 0.00153}
42 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.86767, 'val_kl_Loss_FC': 0.00183}
43 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.82851, 'val_kl_Loss_FC': 0.00148}
44 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.25267, 'val_kl_Loss_FC': 0.00232}
45 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.8965, 'val_kl_Loss_FC': 0.00181}
46 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.87386, 'val_kl_Loss_FC': 0.00262}
47 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.81991, 'val_kl_Loss_FC': 0.00206}
48 not saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.84949, 'val_kl_Loss_FC': 0.00257}
49 saved {'val_OrigRecLoss': 0.00063, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.74888, 'val_kl_Loss_FC': 0.00221}
