1 saved {'val_OrigRecLoss': 0.00082, 'val_FeatRecLoss': 0.00062, 'val_kl_Loss_Z': 2.20371, 'val_kl_Loss_FC': 0.00339, 'val_kl_Loss_TC': 0.03232, 'val_kl_Loss_DTC': 0.09985}
2 saved {'val_OrigRecLoss': 0.00069, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 2.00434, 'val_kl_Loss_FC': 6e-05, 'val_kl_Loss_TC': 0.00847, 'val_kl_Loss_DTC': 0.09871}
3 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 2.47814, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00102, 'val_kl_Loss_DTC': 0.0995}
4 saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.68269, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00109, 'val_kl_Loss_DTC': 0.09966}
5 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.68246, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00365, 'val_kl_Loss_DTC': 0.09939}
6 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.62065, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.004, 'val_kl_Loss_DTC': 0.09899}
7 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.47142, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00369, 'val_kl_Loss_DTC': 0.09882}
8 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.39802, 'val_kl_Loss_FC': 1e-05, 'val_kl_Loss_TC': 0.00251, 'val_kl_Loss_DTC': 0.09864}
9 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.26758, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00413, 'val_kl_Loss_DTC': 0.09812}
10 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.20721, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 0.0057, 'val_kl_Loss_DTC': 0.09808}
11 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.11749, 'val_kl_Loss_FC': 0.0, 'val_kl_Loss_TC': 0.00637, 'val_kl_Loss_DTC': 0.09774}
