1 saved {'val_OrigRecLoss': 0.00073, 'val_FeatRecLoss': 0.00064, 'val_kl_Loss_Z': 43.03444, 'val_kl_Loss_FC': 5e-05, 'val_kl_Loss_TC': 126.6677, 'val_kl_Loss_MI': 4.62415}
2 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00063, 'val_kl_Loss_Z': 1.772, 'val_kl_Loss_FC': 2e-05, 'val_kl_Loss_TC': 126.6677, 'val_kl_Loss_MI': 4.6252}
3 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00061, 'val_kl_Loss_Z': 1.4955, 'val_kl_Loss_FC': 0.00036, 'val_kl_Loss_TC': 126.66788, 'val_kl_Loss_MI': 4.63337}
4 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00052, 'val_kl_Loss_Z': 3.36831, 'val_kl_Loss_FC': 0.0003, 'val_kl_Loss_TC': 126.67913, 'val_kl_Loss_MI': 4.70541}
5 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00033, 'val_kl_Loss_Z': 1.6201, 'val_kl_Loss_FC': 0.00037, 'val_kl_Loss_TC': 127.08026, 'val_kl_Loss_MI': 5.09504}
6 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 4.51432, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 127.59486, 'val_kl_Loss_MI': 5.36428}
7 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 5.10005, 'val_kl_Loss_FC': 0.00066, 'val_kl_Loss_TC': 127.83127, 'val_kl_Loss_MI': 5.45959}
8 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 4.76451, 'val_kl_Loss_FC': 0.00032, 'val_kl_Loss_TC': 127.96859, 'val_kl_Loss_MI': 5.51842}
9 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.07998, 'val_kl_Loss_FC': 8e-05, 'val_kl_Loss_TC': 128.14076, 'val_kl_Loss_MI': 5.57305}
10 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.82657, 'val_kl_Loss_FC': 0.00135, 'val_kl_Loss_TC': 128.18773, 'val_kl_Loss_MI': 5.58173}
11 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.94039, 'val_kl_Loss_FC': 0.00011, 'val_kl_Loss_TC': 128.38093, 'val_kl_Loss_MI': 5.63672}
12 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.53156, 'val_kl_Loss_FC': 0.00072, 'val_kl_Loss_TC': 128.46818, 'val_kl_Loss_MI': 5.66048}
13 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.74058, 'val_kl_Loss_FC': 0.0006, 'val_kl_Loss_TC': 128.55749, 'val_kl_Loss_MI': 5.68096}
14 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 5.64567, 'val_kl_Loss_FC': 0.00117, 'val_kl_Loss_TC': 128.51853, 'val_kl_Loss_MI': 5.66889}
15 not saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 2.91093, 'val_kl_Loss_FC': 0.00188, 'val_kl_Loss_TC': 128.64053, 'val_kl_Loss_MI': 5.70111}
16 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 3.01228, 'val_kl_Loss_FC': 0.00118, 'val_kl_Loss_TC': 128.78777, 'val_kl_Loss_MI': 5.73019}
17 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.995, 'val_kl_Loss_FC': 0.00152, 'val_kl_Loss_TC': 128.81662, 'val_kl_Loss_MI': 5.72864}
18 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 1.9222, 'val_kl_Loss_FC': 0.00139, 'val_kl_Loss_TC': 129.00285, 'val_kl_Loss_MI': 5.76179}
19 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 3.30791, 'val_kl_Loss_FC': 0.002, 'val_kl_Loss_TC': 129.16536, 'val_kl_Loss_MI': 5.77257}
20 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 7.62749, 'val_kl_Loss_FC': 0.00165, 'val_kl_Loss_TC': 129.32935, 'val_kl_Loss_MI': 5.81068}
21 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 6.42943, 'val_kl_Loss_FC': 0.00412, 'val_kl_Loss_TC': 129.27098, 'val_kl_Loss_MI': 5.77857}
22 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 1.91015, 'val_kl_Loss_FC': 0.00296, 'val_kl_Loss_TC': 129.35273, 'val_kl_Loss_MI': 5.79508}
