1 saved {'val_OrigRecLoss': 0.00074, 'val_FeatRecLoss': 0.00065, 'val_kl_Loss_Z': 33.9979, 'val_kl_Loss_FC': 0.00061, 'val_kl_Loss_TC': 215.65345, 'val_kl_Loss_MI': 4.50989}
2 saved {'val_OrigRecLoss': 0.00067, 'val_FeatRecLoss': 0.00063, 'val_kl_Loss_Z': 0.62264, 'val_kl_Loss_FC': 0.00035, 'val_kl_Loss_TC': 215.65345, 'val_kl_Loss_MI': 4.50985}
3 saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00063, 'val_kl_Loss_Z': 0.1175, 'val_kl_Loss_FC': 7e-05, 'val_kl_Loss_TC': 215.65341, 'val_kl_Loss_MI': 4.50986}
4 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00062, 'val_kl_Loss_Z': 0.42287, 'val_kl_Loss_FC': 0.00086, 'val_kl_Loss_TC': 215.65343, 'val_kl_Loss_MI': 4.51025}
5 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00062, 'val_kl_Loss_Z': 0.07507, 'val_kl_Loss_FC': 0.00068, 'val_kl_Loss_TC': 215.65341, 'val_kl_Loss_MI': 4.51093}
6 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00062, 'val_kl_Loss_Z': 0.24817, 'val_kl_Loss_FC': 0.00016, 'val_kl_Loss_TC': 215.65345, 'val_kl_Loss_MI': 4.51275}
7 not saved {'val_OrigRecLoss': 0.00065, 'val_FeatRecLoss': 0.00062, 'val_kl_Loss_Z': 0.45887, 'val_kl_Loss_FC': 0.00052, 'val_kl_Loss_TC': 215.65357, 'val_kl_Loss_MI': 4.5201}
8 saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00052, 'val_kl_Loss_Z': 4.28395, 'val_kl_Loss_FC': 0.00071, 'val_kl_Loss_TC': 215.66649, 'val_kl_Loss_MI': 4.60211}
9 not saved {'val_OrigRecLoss': 0.00066, 'val_FeatRecLoss': 0.00057, 'val_kl_Loss_Z': 20.16684, 'val_kl_Loss_FC': 0.00013, 'val_kl_Loss_TC': 215.99299, 'val_kl_Loss_MI': 4.88074}
10 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 11.46331, 'val_kl_Loss_FC': 3e-05, 'val_kl_Loss_TC': 216.92128, 'val_kl_Loss_MI': 5.24946}
11 not saved {'val_OrigRecLoss': 0.00064, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 4.36831, 'val_kl_Loss_FC': 0.00041, 'val_kl_Loss_TC': 217.60576, 'val_kl_Loss_MI': 5.42134}
