1 saved {'val_ReconOut_gen': 0.00161, 'val_ReconOut_ext': 0.00133, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_Z': 0.79711, 'val_kl_Loss_FC': 0.8895}
2 saved {'val_ReconOut_gen': 0.00158, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_Z': 0.8178, 'val_kl_Loss_FC': 0.933}
3 saved {'val_ReconOut_gen': 0.00158, 'val_ReconOut_ext': 0.00132, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_Z': 0.79391, 'val_kl_Loss_FC': 0.88529}
4 not saved {'val_ReconOut_gen': 0.00159, 'val_ReconOut_ext': 0.00135, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_Z': 0.80735, 'val_kl_Loss_FC': 0.87012}
5 saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00133, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_Z': 0.80992, 'val_kl_Loss_FC': 0.88119}
6 not saved {'val_ReconOut_gen': 0.0016, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_Z': 0.79491, 'val_kl_Loss_FC': 0.89559}
7 not saved {'val_ReconOut_gen': 0.0016, 'val_ReconOut_ext': 0.00133, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_Z': 0.81546, 'val_kl_Loss_FC': 0.88537}
8 not saved {'val_ReconOut_gen': 0.00167, 'val_ReconOut_ext': 0.00137, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_Z': 0.82265, 'val_kl_Loss_FC': 0.89474}
9 not saved {'val_ReconOut_gen': 0.0016, 'val_ReconOut_ext': 0.00132, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_Z': 0.82951, 'val_kl_Loss_FC': 0.9201}
10 not saved {'val_ReconOut_gen': 0.00157, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_Z': 0.80682, 'val_kl_Loss_FC': 0.90922}
11 not saved {'val_ReconOut_gen': 0.00158, 'val_ReconOut_ext': 0.00131, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_Z': 0.81258, 'val_kl_Loss_FC': 0.90543}
